timestamp,gpu_percent,vram_used_mb,vram_total_mb,mclk_ghz,sclk_ghz
1782235091.737700003,0.83,194.70,487.1,90.02,11.11
1782235094.768614596,14.17,197.57,487.1,90.02,11.11
1782235097.807133384,16.67,197.57,487.1,88.94,11.11
1782235100.849177508,27.50,197.57,487.1,86.52,11.11
1782235103.885356023,14.17,197.58,487.1,89.77,11.11
1782235106.925962020,14.17,197.57,487.1,90.02,11.11
1782235109.962112019,17.50,208.77,487.1,90.02,11.11
1782235113.002374002,29.17,209.38,487.0,86.02,11.11
1782235116.035714127,5.83,183.50,487.1,93.51,11.11
1782235119.065927648,0.00,183.50,487.1,90.02,11.11
1782235122.098741161,0.00,183.50,487.1,89.52,11.11
1782235125.130612510,0.00,172.31,487.0,90.02,11.11
1782235128.162473498,0.83,172.31,487.0,89.02,11.11
1782235131.194298866,0.00,172.31,487.0,89.52,11.11
1782235134.227133572,0.00,172.31,487.0,90.02,11.11
1782235137.260797842,0.00,183.50,487.1,89.52,11.11
1782235140.300984980,14.17,186.61,487.1,90.02,11.11
1782235143.345144319,14.17,186.61,487.1,90.02,11.11
1782235146.381795139,0.83,172.31,487.0,90.02,11.11
1782235149.408313663,0.00,172.31,487.0,90.02,11.11
1782235152.438860332,0.00,172.31,487.0,89.52,11.11
1782235155.470664347,0.00,172.31,487.0,90.02,11.11
1782235158.501872694,0.83,172.31,487.0,90.02,11.11
1782235161.535319855,0.00,172.31,487.0,90.02,11.11
1782235164.570286025,0.00,172.31,487.0,90.02,11.11
1782235167.611171131,0.00,172.31,487.0,90.02,11.11
1782235170.642889857,0.00,172.31,487.0,90.02,11.11
1782235173.675612164,0.00,172.31,487.0,90.02,11.11
1782235176.704149762,0.00,172.31,487.0,89.52,11.11
1782235179.735404635,0.83,172.31,487.0,90.02,11.11
1782235182.764238872,0.00,172.31,487.0,90.02,11.11
1782235185.791172216,0.00,172.31,487.0,89.52,21.53
1782235188.820124180,0.00,172.31,487.0,89.52,13.61
1782235191.851616151,0.83,172.31,487.0,90.02,11.11
1782235194.881261944,0.00,172.31,487.0,89.02,21.30
