ts_ns,equity
1735811700000000000,99998.45000000001
1735813500000000000,100018.19
1735815300000000000,100018.19
1735817100000000000,100018.19
1735818900000000000,100018.19
1735820700000000000,100018.19
1735822500000000000,100018.19
1735824300000000000,100018.19
1735826100000000000,100018.19
1735827900000000000,100018.19
1735829700000000000,100018.19
1735831500000000000,100018.19
1735833300000000000,100018.19
1735835100000000000,100018.19
1735836900000000000,100018.19
1735838700000000000,100018.19
1735840500000000000,100458.58
1735842300000000000,100458.58
1735844100000000000,100458.58
1735845900000000000,100458.58
1735847700000000000,100523.05
1735849500000000000,100523.05
1735851300000000000,100523.05
1735853100000000000,100523.05
1735854900000000000,100523.05
1735856700000000000,100523.05
1735858500000000000,100523.05
1735860300000000000,100523.05
1735862100000000000,100523.05
1735863900000000000,100523.05
1735865700000000000,100523.05
1735867500000000000,100523.05
1735869300000000000,100144.61
1735871100000000000,100144.61
1735872900000000000,100144.61
1735874700000000000,100144.61
1735876500000000000,100144.61
1735878300000000000,100144.61
1735880100000000000,100146.64
1735881900000000000,100146.64
1735883700000000000,100146.64
1735885500000000000,100146.64
1735887300000000000,100146.64
1735889100000000000,100146.64
1735890900000000000,100146.64
1735892700000000000,100146.64
1735894500000000000,100146.64
1735896300000000000,100146.64
1735898100000000000,100100.46
1735899900000000000,100100.46
1735901700000000000,100100.46
1735903500000000000,100100.46
1735905300000000000,100005.68
1735907100000000000,100005.68
1735908900000000000,100005.68
1735910700000000000,100005.68
1735912500000000000,100005.68
1735914300000000000,100005.68
1735916100000000000,100005.68
1735917900000000000,100005.68
1735919700000000000,100005.68
1735921500000000000,100005.68
1735923300000000000,100005.68
1735925100000000000,100005.68
1735926900000000000,99999.73000000001
1735928700000000000,99998.86
1735930500000000000,99998.86
1735932300000000000,99998.86
1735934100000000000,99998.86
1735935900000000000,99998.86
1735937700000000000,99998.86
1735939500000000000,99998.86
1735941300000000000,99998.86
1735943100000000000,99998.86
1735944900000000000,99998.86
1735946700000000000,99998.86
1735948500000000000,99998.86
1735950300000000000,99998.86
1735952100000000000,99998.86
1735953900000000000,99998.86
1735955700000000000,99875.44
1735957500000000000,99338.17
1735959300000000000,98990.09999999999
1735961100000000000,98990.09999999999
1735962900000000000,98990.09999999999
1735964700000000000,98990.09999999999
1735966500000000000,98990.09999999999
1735968300000000000,98990.09999999999
1735970100000000000,98990.09999999999
1735971900000000000,98990.09999999999
1735973700000000000,98990.09999999999
1735975500000000000,98990.09999999999
1735977300000000000,98990.09999999999
1735979100000000000,99305.33
1735980900000000000,99305.33
1735982700000000000,99305.33
1735984500000000000,99157.87
1735986300000000000,99157.87
1735988100000000000,99157.87
1735989900000000000,99157.87
1735991700000000000,99157.87
1735993500000000000,99157.87
1735995300000000000,99157.87
1735997100000000000,99157.87
1735998900000000000,99157.87
1736000700000000000,99157.87
1736002500000000000,99157.87
1736004300000000000,99157.87
1736006100000000000,99157.87
1736007900000000000,99157.87
1736009700000000000,99157.87
1736011500000000000,99157.87
1736013300000000000,98894.66
1736015100000000000,98894.66
1736016900000000000,98894.66
1736018700000000000,98894.66
1736020500000000000,98894.66
1736022300000000000,98894.66
1736024100000000000,98894.66
1736025900000000000,98894.66
1736027700000000000,98894.66
1736029500000000000,98894.66
1736031300000000000,98894.66
1736033100000000000,98894.66
1736034900000000000,98894.66
1736036700000000000,98894.66
1736038500000000000,98894.66
1736040300000000000,98894.66
1736042100000000000,98416.19
1736043900000000000,98351.07999999999
1736045700000000000,98351.07999999999
1736047500000000000,98548.42
1736049300000000000,98548.42
1736051100000000000,98548.42
1736052900000000000,98548.42
1736054700000000000,98548.42
1736056500000000000,98548.42
1736058300000000000,98548.42
1736060100000000000,98548.42
1736061900000000000,98548.42
1736063700000000000,98548.42
1736065500000000000,98548.42
1736067300000000000,98548.42
1736069100000000000,98548.42
1736070900000000000,98548.42
1736072700000000000,98247.79
1736074500000000000,98247.79
1736076300000000000,98247.79
1736078100000000000,98247.79
1736079900000000000,98247.79
1736081700000000000,98247.79
1736083500000000000,98247.79
1736085300000000000,98247.79
1736087100000000000,98247.79
1736088900000000000,98247.79
1736090700000000000,98247.79
1736092500000000000,98247.79
1736094300000000000,98247.79
1736096100000000000,98247.79
1736097900000000000,98247.79
1736099700000000000,98077.95
1736101500000000000,97525.88
1736103300000000000,97441.18000000001
1736105100000000000,97441.18000000001
1736106900000000000,97441.18000000001
1736108700000000000,97441.18000000001
1736110500000000000,97441.18000000001
1736112300000000000,97441.18000000001
1736114100000000000,97441.18000000001
1736115900000000000,97441.18000000001
1736117700000000000,97441.18000000001
1736119500000000000,97441.18000000001
1736121300000000000,97441.18000000001
1736123100000000000,97441.18000000001
1736124900000000000,97441.18000000001
1736126700000000000,97441.18000000001
1736128500000000000,97441.18000000001
1736130300000000000,97281.70999999999
1736132100000000000,97281.70999999999
1736133900000000000,97281.70999999999
1736135700000000000,97281.70999999999
1736137500000000000,97281.70999999999
1736139300000000000,97281.70999999999
1736141100000000000,97281.70999999999
1736142900000000000,97281.70999999999
1736144700000000000,97281.70999999999
1736146500000000000,97281.70999999999
1736148300000000000,97281.70999999999
1736150100000000000,97281.70999999999
1736151900000000000,97281.70999999999
1736153700000000000,97281.70999999999
