mode,total_return_pct,max_drawdown_pct,sharpe,final_equity,max_position_usdt,n_fills,n_rebalances,commissions_usdt,grid_span_pct,max_levels_per_side,rebalance_interval_bars,max_exposure_budget_mult,trend_filter_enabled,trend_min_dist_pct
mixed,-14.722,-23.605,-8.89,85275.2,122752.0,2990,409,3646.8,1.0,4,48,3.0,False,1.0
range,17.851,-1.662,30.721,117850.8,95416.0,3963,409,5180.4,1.0,4,48,3.0,False,1.0
mixed,-14.722,-23.605,-8.89,85275.2,122752.0,2990,409,3646.8,1.0,4,48,3.0,False,2.0
range,17.851,-1.662,30.721,117850.8,95416.0,3963,409,5180.4,1.0,4,48,3.0,False,2.0
mixed,-14.722,-23.605,-8.89,85275.2,122752.0,2990,409,3646.8,1.0,4,48,3.0,False,3.0
range,17.851,-1.662,30.721,117850.8,95416.0,3963,409,5180.4,1.0,4,48,3.0,False,3.0
mixed,-1.202,-21.758,-0.641,98794.2,109510.0,2134,384,2596.1,1.0,4,48,3.0,True,1.0
range,-2.266,-4.742,-3.657,97733.9,121922.0,3254,402,4338.8,1.0,4,48,3.0,True,1.0
mixed,5.961,-11.746,3.907,105957.6,134724.0,2596,402,3089.6,1.0,4,48,3.0,True,2.0
range,15.914,-2.213,25.827,115914.2,106059.0,3925,409,5126.0,1.0,4,48,3.0,True,2.0
mixed,-1.668,-13.01,-0.729,98328.9,130441.0,2924,406,3485.4,1.0,4,48,3.0,True,3.0
range,17.851,-1.662,30.721,117850.8,95416.0,3963,409,5180.4,1.0,4,48,3.0,True,3.0
mixed,-0.838,-14.983,-0.147,99158.8,224606.0,3296,409,3983.2,1.0,4,48,6.0,False,1.0
range,20.822,-1.864,27.445,120822.0,171172.0,4159,409,5403.3,1.0,4,48,6.0,False,1.0
mixed,-0.838,-14.983,-0.147,99158.8,224606.0,3296,409,3983.2,1.0,4,48,6.0,False,2.0
range,20.822,-1.864,27.445,120822.0,171172.0,4159,409,5403.3,1.0,4,48,6.0,False,2.0
mixed,-0.838,-14.983,-0.147,99158.8,224606.0,3296,409,3983.2,1.0,4,48,6.0,False,3.0
range,20.822,-1.864,27.445,120822.0,171172.0,4159,409,5403.3,1.0,4,48,6.0,False,3.0
mixed,-8.42,-21.737,-4.711,91575.9,228671.0,2326,399,2813.7,1.0,4,48,6.0,True,1.0
range,-2.562,-5.061,-3.639,97438.3,214084.0,3474,408,4607.9,1.0,4,48,6.0,True,1.0
mixed,-1.932,-12.463,-0.752,98065.0,225123.0,2955,407,3492.7,1.0,4,48,6.0,True,2.0
range,19.04,-2.213,24.853,119039.4,169409.0,4127,409,5369.0,1.0,4,48,6.0,True,2.0
mixed,-2.017,-13.946,-0.9,97979.6,218190.0,3139,408,3730.5,1.0,4,48,6.0,True,3.0
range,20.822,-1.864,27.445,120822.0,171172.0,4159,409,5403.3,1.0,4,48,6.0,True,3.0
mixed,2.252,-14.9,1.439,102248.2,232923.0,3367,409,4071.1,1.0,4,48,10.0,False,1.0
range,19.339,-1.845,28.382,119338.6,221119.0,4195,409,5449.6,1.0,4,48,10.0,False,1.0
mixed,2.252,-14.9,1.439,102248.2,232923.0,3367,409,4071.1,1.0,4,48,10.0,False,2.0
range,19.339,-1.845,28.382,119338.6,221119.0,4195,409,5449.6,1.0,4,48,10.0,False,2.0
mixed,2.252,-14.9,1.439,102248.2,232923.0,3367,409,4071.1,1.0,4,48,10.0,False,3.0
range,19.339,-1.845,28.382,119338.6,221119.0,4195,409,5449.6,1.0,4,48,10.0,False,3.0
mixed,-14.357,-24.235,-6.937,85639.4,299485.0,2407,407,2906.0,1.0,4,48,10.0,True,1.0
range,-0.006,-5.061,0.105,99993.4,309119.0,3529,409,4663.2,1.0,4,48,10.0,True,1.0
mixed,-1.001,-11.759,-0.229,98995.6,298291.0,2999,409,3550.2,1.0,4,48,10.0,True,2.0
range,16.844,-2.213,25.601,116843.5,239906.0,4157,409,5402.1,1.0,4,48,10.0,True,2.0
mixed,-1.197,-12.937,-0.321,98799.4,252051.0,3216,409,3821.7,1.0,4,48,10.0,True,3.0
range,19.339,-1.845,28.382,119338.6,221119.0,4195,409,5449.6,1.0,4,48,10.0,True,3.0
mixed,19.371,-5.057,14.756,119367.2,114448.0,1623,205,2010.3,1.0,4,96,3.0,False,1.0
range,11.905,-1.656,19.302,111904.8,120796.0,2035,205,2659.9,1.0,4,96,3.0,False,1.0
mixed,19.371,-5.057,14.756,119367.2,114448.0,1623,205,2010.3,1.0,4,96,3.0,False,2.0
range,11.905,-1.656,19.302,111904.8,120796.0,2035,205,2659.9,1.0,4,96,3.0,False,2.0
mixed,19.371,-5.057,14.756,119367.2,114448.0,1623,205,2010.3,1.0,4,96,3.0,False,3.0
range,11.905,-1.656,19.302,111904.8,120796.0,2035,205,2659.9,1.0,4,96,3.0,False,3.0
mixed,1.682,-9.862,1.65,101677.8,105129.0,1112,196,1358.1,1.0,4,96,3.0,True,1.0
range,3.928,-3.015,7.695,103927.6,119304.0,1753,201,2307.9,1.0,4,96,3.0,True,1.0
mixed,6.88,-9.033,5.893,106876.8,89711.0,1441,202,1732.3,1.0,4,96,3.0,True,2.0
range,10.285,-1.671,17.275,110285.0,120480.0,2009,205,2632.9,1.0,4,96,3.0,True,2.0
mixed,11.394,-9.262,9.462,111389.9,104322.0,1486,201,1806.0,1.0,4,96,3.0,True,3.0
range,11.905,-1.656,19.302,111904.8,120796.0,2035,205,2659.9,1.0,4,96,3.0,True,3.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,6.0,False,1.0
range,14.326,-2.147,22.892,114325.5,160886.0,2239,205,2905.3,1.0,4,96,6.0,False,1.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,6.0,False,2.0
range,14.326,-2.147,22.892,114325.5,160886.0,2239,205,2905.3,1.0,4,96,6.0,False,2.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,6.0,False,3.0
range,14.326,-2.147,22.892,114325.5,160886.0,2239,205,2905.3,1.0,4,96,6.0,False,3.0
