total_return_pct,max_drawdown_pct,n_fills,commissions_usdt,final_equity_usdt,grid_atr_mult,max_levels_per_side,rebalance_interval_bars,max_exposure_budget_mult,trend_enter_pct,trend_exit_pct,split
5.9588,-3.169,949,1689.88,105958.83,2.0,3,192,3.0,1.5,0.7,train
5.9514,-3.169,949,1690.22,105951.39,2.0,3,192,4.0,1.5,0.7,train
4.5795,-2.5964,729,1353.89,104579.46,2.0,2,192,3.0,1.5,0.7,train
4.5795,-2.5964,729,1353.89,104579.46,2.0,2,192,4.0,1.5,0.7,train
2.8459,-6.6515,958,1729.26,102845.87,2.0,3,144,4.0,1.5,0.7,train
2.5184,-6.6515,952,1725.74,102518.43,2.0,3,144,3.0,1.5,0.7,train
1.8664,-5.4792,752,1442.6,101866.4,2.0,2,144,4.0,1.5,0.7,train
1.8664,-5.4792,752,1442.6,101866.4,2.0,2,144,3.0,1.5,0.7,train
1.3527,-6.1081,1059,1857.1,101352.7,2.0,3,96,3.0,1.5,0.7,train
1.3224,-6.1568,1061,1862.07,101322.41,2.0,3,96,4.0,1.5,0.7,train
1.0499,-3.2103,655,1045.32,101049.93,3.0,3,192,3.0,1.5,0.7,train
1.0499,-3.2103,655,1045.32,101049.93,3.0,3,192,4.0,1.5,0.7,train
0.2041,-4.2747,659,1075.01,100204.14,3.0,3,144,4.0,1.5,0.7,train
0.2041,-4.2747,659,1075.01,100204.14,3.0,3,144,3.0,1.5,0.7,train
-0.3773,-3.2028,550,949.04,99622.66,3.0,2,192,3.0,1.5,0.7,train
-0.3773,-3.2028,550,949.04,99622.66,3.0,2,192,4.0,1.5,0.7,train
-0.6741,-3.572,586,1129.77,99325.87,2.5,2,144,3.0,1.0,0.5,train
-0.6741,-3.572,586,1129.77,99325.87,2.5,2,144,4.0,1.0,0.5,train
-0.994,-3.9772,677,1242.87,99005.99,2.5,3,144,4.0,1.0,0.5,train
-0.994,-3.9772,677,1242.87,99005.99,2.5,3,144,3.0,1.0,0.5,train
-1.0057,-5.6161,815,1493.45,98994.32,2.0,2,96,4.0,1.5,0.7,train
-1.0057,-5.6161,815,1493.45,98994.32,2.0,2,96,3.0,1.5,0.7,train
-1.2635,-3.5077,586,1158.96,98736.48,2.5,2,192,3.0,1.0,0.5,train
-1.2635,-3.5077,586,1158.96,98736.48,2.5,2,192,4.0,1.0,0.5,train
-1.365,-4.179,557,966.95,98635.02,3.0,2,144,4.0,1.5,0.7,train
-1.365,-4.179,557,966.95,98635.02,3.0,2,144,3.0,1.5,0.7,train
-1.749,-4.1211,679,1267.48,98251.01,2.5,3,192,3.0,1.0,0.5,train
-1.749,-4.1211,679,1267.48,98251.01,2.5,3,192,4.0,1.0,0.5,train
-1.9746,-4.8165,706,1436.45,98025.43,2.0,2,192,4.0,1.0,0.5,train
-1.9746,-4.8165,706,1436.45,98025.43,2.0,2,192,3.0,1.0,0.5,train
-2.1369,-5.2679,870,1731.04,97863.14,2.0,3,192,4.0,1.0,0.5,train
-2.1369,-5.2679,870,1731.04,97863.14,2.0,3,192,3.0,1.0,0.5,train
-2.221,-3.429,486,936.82,97778.96,3.0,2,192,3.0,1.0,0.5,train
-2.221,-3.429,486,936.82,97778.96,3.0,2,192,4.0,1.0,0.5,train
-2.2834,-5.8557,772,1315.98,97716.58,2.5,3,144,4.0,1.5,0.7,train
-2.304,-3.4494,494,912.53,97696.01,3.0,2,144,3.0,1.0,0.5,train
-2.304,-3.4494,494,912.53,97696.01,3.0,2,144,4.0,1.0,0.5,train
-2.4468,-5.8557,769,1313.82,97553.18,2.5,3,144,3.0,1.5,0.7,train
-2.5443,-5.4774,881,1707.47,97455.75,2.0,3,144,3.0,1.0,0.5,train
-2.5443,-5.4774,881,1707.47,97455.75,2.0,3,144,4.0,1.0,0.5,train
-2.6075,-5.211,765,1273.7,97392.46,2.5,3,192,3.0,1.5,0.7,train
-2.6195,-3.6535,552,989.44,97380.55,3.0,3,144,3.0,1.0,0.5,train
-2.6195,-3.6535,552,989.44,97380.55,3.0,3,144,4.0,1.0,0.5,train
-2.6271,-5.211,765,1274.34,97372.86,2.5,3,192,4.0,1.5,0.7,train
-2.6297,-4.9269,713,1430.46,97370.25,2.0,2,144,3.0,1.0,0.5,train
-2.6297,-4.9269,713,1430.46,97370.25,2.0,2,144,4.0,1.0,0.5,train
-2.6323,-3.6738,525,971.63,97367.73,3.0,2,96,4.0,1.0,0.5,train
-2.6323,-3.6738,525,971.63,97367.73,3.0,2,96,3.0,1.0,0.5,train
-2.7094,-3.7432,540,996.02,97290.62,3.0,3,192,4.0,1.0,0.5,train
-2.7094,-3.7432,540,996.02,97290.62,3.0,3,192,3.0,1.0,0.5,train
-2.7859,-4.1886,621,1183.51,97214.12,2.5,2,96,4.0,1.0,0.5,train
-2.7859,-4.1886,621,1183.51,97214.12,2.5,2,96,3.0,1.0,0.5,train
-2.9078,-5.4744,724,1194.36,97092.2,3.0,3,96,3.0,1.5,0.7,train
-2.9078,-5.4744,724,1194.36,97092.2,3.0,3,96,4.0,1.5,0.7,train
-3.007,-4.9736,602,1060.21,96992.97,3.0,2,96,4.0,1.5,0.7,train
-3.007,-4.9736,602,1060.21,96992.97,3.0,2,96,3.0,1.5,0.7,train
-3.2276,-4.1376,594,1063.51,96772.38,3.0,3,96,4.0,1.0,0.5,train
