total_return_pct,max_drawdown_pct,n_fills,commissions_usdt,final_equity_usdt,grid_atr_mult,max_levels_per_side,rebalance_interval_bars,max_exposure_budget_mult,trend_enter_pct,trend_exit_pct,split
11.8828,-2.7975,1507,1872.51,111882.81,2.5,2,192,4.0,1.5,0.7,train
8.7458,-10.6149,3453,4020.98,108744.84,2.0,3,96,4.0,1.5,0.7,train
8.2945,-3.8352,1671,2069.66,108294.47,2.0,2,192,4.0,1.5,0.7,train
7.0076,-6.5979,2114,2701.69,107007.61,2.5,3,192,4.0,1.5,0.7,train
6.8032,-6.2295,1888,2267.24,106803.19,3.0,3,192,4.0,1.5,0.7,train
6.054,-3.853,1479,1865.87,106053.97,2.5,2,192,3.0,1.5,0.7,train
5.798,-3.6115,1659,2057.56,105798.02,2.0,2,192,3.0,1.5,0.7,train
5.5675,-9.27,2249,2711.76,105566.46,2.5,2,96,4.0,1.5,0.7,train
4.5672,-6.731,2410,2760.2,104567.24,3.0,3,96,4.0,1.5,0.7,train
4.0816,-9.1005,2867,3215.76,104080.56,2.5,3,96,4.0,1.5,0.7,train
4.0594,-6.9617,1875,2292.45,104059.42,3.0,2,96,3.0,1.5,0.7,train
3.7355,-10.4819,2566,3111.78,103734.46,2.0,2,96,3.0,1.5,0.7,train
3.7192,-5.7205,1364,1705.32,103719.15,3.0,2,192,4.0,1.5,0.7,train
3.4066,-8.8518,2190,2630.56,103405.53,2.5,2,96,3.0,1.5,0.7,train
3.3067,-11.689,2625,3193.55,103305.64,2.0,2,96,4.0,1.5,0.7,train
2.8799,-7.2967,1844,2260.86,102879.89,3.0,3,192,3.0,1.5,0.7,train
2.6625,-8.3637,1897,2334.15,102662.55,3.0,2,96,4.0,1.5,0.7,train
1.1526,-7.4583,1343,1707.2,101152.6,3.0,2,192,3.0,1.5,0.7,train
0.2763,-9.1818,2798,3135.31,100275.34,2.5,3,96,3.0,1.5,0.7,train
-0.5471,-9.0362,2061,2501.94,99452.86,2.5,3,192,3.0,1.5,0.7,train
-0.7504,-9.5488,2490,2990.95,99249.58,2.0,3,192,4.0,1.5,0.7,train
-2.7697,-10.3725,2407,2919.95,97230.33,2.0,3,192,3.0,1.5,0.7,train
-3.6143,-6.6322,2324,2637.95,96385.68,3.0,3,96,3.0,1.5,0.7,train
-5.2847,-11.1798,3370,3846.24,94714.43,2.0,3,96,3.0,1.5,0.7,train
-5.8557,-7.1589,2762,3971.82,94143.33,2.0,2,96,4.0,1.0,0.5,train
-6.805,-8.108,2731,3938.02,93194.09,2.0,2,96,3.0,1.0,0.5,train
-7.4343,-9.2869,1517,2411.23,92565.66,3.0,2,192,4.0,1.0,0.5,train
-7.4343,-9.2869,1517,2411.23,92565.66,3.0,2,192,3.0,1.0,0.5,train
-9.1114,-10.5318,1742,2795.52,90888.57,2.5,2,192,4.0,1.0,0.5,train
-9.4002,-10.0501,2389,3502.33,90598.85,2.5,2,96,3.0,1.0,0.5,train
-9.4109,-10.8288,1736,2783.71,90589.08,2.5,2,192,3.0,1.0,0.5,train
-9.4243,-11.1032,2063,3113.43,90575.66,3.0,3,192,4.0,1.0,0.5,train
-9.5059,-10.1557,2396,3506.95,90493.22,2.5,2,96,4.0,1.0,0.5,train
-9.7118,-10.8989,2018,2931.0,90288.24,3.0,2,96,3.0,1.0,0.5,train
-9.8487,-11.0356,2020,2937.63,90151.34,3.0,2,96,4.0,1.0,0.5,train
-9.9464,-12.0233,3793,5401.07,90052.82,2.0,3,96,4.0,1.0,0.5,train
-9.962,-12.2581,2031,3070.77,90037.98,3.0,3,192,3.0,1.0,0.5,train
-10.2644,-13.0922,1906,3063.61,89735.59,2.0,2,192,3.0,1.0,0.5,train
-10.7362,-13.153,1912,3081.34,89263.79,2.0,2,192,4.0,1.0,0.5,train
-11.4833,-13.0277,3700,5194.13,88515.94,2.0,3,96,3.0,1.0,0.5,train
-12.3906,-13.762,2599,3581.56,87609.43,3.0,3,96,4.0,1.0,0.5,train
-12.5287,-13.8998,2592,3586.67,87471.26,3.0,3,96,3.0,1.0,0.5,train
-13.2711,-17.0834,1684,2075.58,86728.92,3.0,2,144,3.0,1.5,0.7,train
-13.4435,-20.2579,2095,2591.44,86556.53,2.0,2,144,3.0,1.5,0.7,train
-13.8537,-14.03,2165,3234.48,86146.27,2.0,2,144,3.0,1.0,0.5,train
-13.9872,-14.1245,1659,2473.8,86012.83,3.0,2,144,4.0,1.0,0.5,train
-13.9872,-14.1245,1659,2473.8,86012.83,3.0,2,144,3.0,1.0,0.5,train
-14.0015,-14.1775,2172,3238.57,85998.48,2.0,2,144,4.0,1.0,0.5,train
-14.3069,-17.6327,2511,2923.25,85693.13,2.5,3,144,3.0,1.5,0.7,train
-14.3274,-16.1052,2375,3597.75,85672.6,2.5,3,192,3.0,1.0,0.5,train
-15.2522,-18.9576,1896,2400.21,84747.83,2.5,2,144,4.0,1.5,0.7,train
-15.3643,-19.782,1708,2112.46,84635.73,3.0,2,144,4.0,1.5,0.7,train
-15.6907,-15.9882,1932,2903.79,84309.27,2.5,2,144,4.0,1.0,0.5,train
-15.6907,-15.9882,1932,2903.79,84309.27,2.5,2,144,3.0,1.0,0.5,train
-16.1555,-19.44,1855,2311.91,83844.53,2.5,2,144,3.0,1.5,0.7,train
-16.309,-18.4241,2433,3760.88,83690.99,2.5,3,192,4.0,1.0,0.5,train
-16.5686,-17.9037,3080,4355.97,83430.61,2.5,3,96,3.0,1.0,0.5,train
-16.8183,-16.9939,2237,3143.16,83181.7,3.0,3,144,4.0,1.0,0.5,train
-16.8208,-18.1554,3150,4450.33,83178.42,2.5,3,96,4.0,1.0,0.5,train
-17.0672,-23.2172,2147,2656.99,82932.8,2.0,2,144,4.0,1.5,0.7,train
-18.0018,-21.7037,2754,4360.13,81998.2,2.0,3,192,4.0,1.0,0.5,train
-18.2829,-18.4554,2216,3135.96,81717.09,3.0,3,144,3.0,1.0,0.5,train
-18.5621,-20.3511,2669,4100.44,81437.9,2.0,3,192,3.0,1.0,0.5,train
-18.6754,-23.5546,2668,3113.46,81324.56,2.5,3,144,4.0,1.5,0.7,train
-19.4412,-24.1718,2303,2606.74,80558.84,3.0,3,144,3.0,1.5,0.7,train
-19.9355,-25.1648,2327,2635.44,80064.48,3.0,3,144,4.0,1.5,0.7,train
-20.7059,-21.4689,3019,4550.82,79294.1,2.0,3,144,3.0,1.0,0.5,train
-22.8159,-23.503,2633,3810.16,77184.13,2.5,3,144,3.0,1.0,0.5,train
-23.8747,-24.5583,2672,3872.14,76125.31,2.5,3,144,4.0,1.0,0.5,train
-23.9743,-31.3409,2942,3498.88,76025.68,2.0,3,144,3.0,1.5,0.7,train
-24.2966,-24.6463,3109,4675.32,75703.43,2.0,3,144,4.0,1.0,0.5,train
-28.0449,-35.4999,3120,3634.91,71955.06,2.0,3,144,4.0,1.5,0.7,train
