ts_ns,btc_qty,usdt_free,equity,price
1735811700000000000,0.104197,99999.39,99999.39,29204.84
1735813500000000000,0.425595,99997.52,99997.52,28998.38
1735815300000000000,0.617182,99996.41,99996.41,29198.32
1735817100000000000,0.617182,99996.41,99996.41,28960.57
1735818900000000000,1.52994,100146.42,100146.42,29310.769999999997
1735820700000000000,2.609797,100140.06,100140.06,29309.89
1735822500000000000,2.609797,100140.06,100140.06,29654.579999999998
1735824300000000000,2.609797,100140.06,100140.06,29563.11
1735826100000000000,2.609797,100140.06,100140.06,29871.449999999997
1735827900000000000,2.609797,100140.06,100140.06,29803.289999999997
1735829700000000000,2.609797,100140.06,100140.06,29357.63
1735831500000000000,2.609797,100140.06,100140.06,29051.46
1735833300000000000,2.609797,100140.06,100140.06,28888.69
1735835100000000000,1.981275,100543.2,100543.2,28844.59
1735836900000000000,1.981275,100543.2,100543.2,28905.09
1735838700000000000,1.981275,100543.2,100543.2,28859.969999999998
1735840500000000000,1.809672,100589.06999999999,100589.06999999999,29301.289999999997
1735842300000000000,1.809672,100589.06999999999,100589.06999999999,29608.79
1735844100000000000,1.809672,100589.06999999999,100589.06999999999,29409.34
1735845900000000000,1.809672,100589.06999999999,100589.06999999999,29415.04
1735847700000000000,1.63772,100645.2,100645.2,29147.390000000003
1735849500000000000,1.63772,100645.2,100645.2,29620.659999999996
1735851300000000000,1.63772,100645.2,100645.2,29641.489999999998
1735853100000000000,1.63772,100645.2,100645.2,29743.219999999998
1735854900000000000,1.63772,100645.2,100645.2,29664.84
1735856700000000000,1.63772,100645.2,100645.2,29545.459999999995
1735858500000000000,1.63772,100645.2,100645.2,29582.56
1735860300000000000,1.63772,100645.2,100645.2,29550.220000000005
1735862100000000000,1.63772,100645.2,100645.2,29526.140000000003
1735863900000000000,1.63772,100645.2,100645.2,29662.179999999997
1735865700000000000,1.63772,100645.2,100645.2,29786.42
1735867500000000000,1.63772,100645.2,100645.2,29714.899999999998
1735869300000000000,1.307765,100518.73999999999,100518.73999999999,29854.620000000003
1735871100000000000,1.307765,100518.73999999999,100518.73999999999,29931.63
1735872900000000000,1.307765,100518.73999999999,100518.73999999999,29991.95
1735874700000000000,1.139752,100459.0,100459.0,29789.56
1735876500000000000,0.802202,100384.36,100384.36,29709.43
1735878300000000000,0.802202,100384.36,100384.36,29578.47
1735880100000000000,0.802202,100384.36,100384.36,29763.68
1735881900000000000,0.802202,100384.36,100384.36,29813.74
1735883700000000000,0.802202,100384.36,100384.36,30057.25
1735885500000000000,0.802202,100384.36,100384.36,30097.059999999998
1735887300000000000,0.802202,100384.36,100384.36,30006.25
1735889100000000000,0.802202,100384.36,100384.36,30397.15
1735890900000000000,0.802202,100384.36,100384.36,30506.16
1735892700000000000,0.802202,100384.36,100384.36,30781.2
1735894500000000000,0.802202,100384.36,100384.36,30413.820000000003
1735896300000000000,0.802202,100384.36,100384.36,30609.510000000002
1735898100000000000,0.897643,100105.36,100105.36,30457.459999999995
1735899900000000000,0.658459,99983.01000000001,99983.01000000001,30385.859999999997
1735901700000000000,1.130439,99980.12000000001,99980.12000000001,30497.900000000005
1735903500000000000,1.130439,99980.12000000001,99980.12000000001,30645.17
1735905300000000000,1.130439,99980.12000000001,99980.12000000001,30794.31
1735907100000000000,1.249971,99979.37999999999,99979.37999999999,30826.780000000002
1735908900000000000,1.249971,99979.37999999999,99979.37999999999,31109.539999999997
1735910700000000000,1.249971,99979.37999999999,99979.37999999999,31513.52
1735912500000000000,1.249971,99979.37999999999,99979.37999999999,32206.24
1735914300000000000,1.249971,99979.37999999999,99979.37999999999,32349.59
1735916100000000000,1.249971,99979.37999999999,99979.37999999999,32452.36
1735917900000000000,1.249971,99979.37999999999,99979.37999999999,33101.64
1735919700000000000,1.249971,99979.37999999999,99979.37999999999,33359.32
1735921500000000000,1.249971,99979.37999999999,99979.37999999999,33031.15
1735923300000000000,1.249971,99979.37999999999,99979.37999999999,33344.1
1735925100000000000,1.249971,99979.37999999999,99979.37999999999,33162.86
1735926900000000000,0.948603,99159.93,99159.93,33043.939999999995
1735928700000000000,0.948603,99159.93,99159.93,32734.52
1735930500000000000,0.948603,99159.93,99159.93,32851.66
1735932300000000000,0.948603,99159.93,99159.93,32987.71
1735934100000000000,0.948603,99159.93,99159.93,33231.420000000006
1735935900000000000,0.948603,99159.93,99159.93,33014.57
