total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.42000000,0.00000000,99998.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.55000000,0.00000000,99998.55000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.09000000,0.00000000,99998.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100008.05000000,0.00000000,100008.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100008.05000000,0.00000000,100008.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100007.26000000,0.00000000,100007.26000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.75000000,0.00000000,100006.75000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.00000000,0.00000000,100006.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100005.54000000,0.00000000,100005.54000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.86000000,0.00000000,100004.86000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.51000000,0.00000000,100004.51000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.99000000,0.00000000,100003.99000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.77000000,0.00000000,100003.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.45000000,0.00000000,100003.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.45000000,0.00000000,100003.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.45000000,0.00000000,100003.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.45000000,0.00000000,100003.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
