ts_ns,equity
1735811700000000000,99998.09
1735813500000000000,100003.99
1735815300000000000,100003.45
1735817100000000000,100003.45
1735818900000000000,100003.45
1735820700000000000,100003.45
1735822500000000000,100201.41
1735824300000000000,100201.41
1735826100000000000,100201.41
1735827900000000000,100201.41
1735829700000000000,100201.41
1735831500000000000,100201.41
1735833300000000000,100201.41
1735835100000000000,100201.41
1735836900000000000,100201.41
1735838700000000000,100201.41
1735840500000000000,100237.62
1735842300000000000,100233.62
1735844100000000000,100229.76
1735845900000000000,100226.87
1735847700000000000,100226.87
1735849500000000000,100511.82
1735851300000000000,100511.82
1735853100000000000,100511.82
1735854900000000000,100511.82
1735856700000000000,100511.82
1735858500000000000,100511.82
1735860300000000000,100511.82
1735862100000000000,100511.82
1735863900000000000,100511.82
1735865700000000000,100511.82
1735867500000000000,100511.82
1735869300000000000,100846.61
1735871100000000000,100891.06999999999
1735872900000000000,100891.06999999999
1735874700000000000,100891.06999999999
1735876500000000000,100891.06999999999
1735878300000000000,100891.06999999999
1735880100000000000,100891.06999999999
1735881900000000000,100891.06999999999
1735883700000000000,100891.06999999999
1735885500000000000,100891.06999999999
1735887300000000000,100891.06999999999
1735889100000000000,100891.06999999999
1735890900000000000,100891.06999999999
1735892700000000000,100891.06999999999
1735894500000000000,100891.06999999999
1735896300000000000,100891.06999999999
1735898100000000000,100856.24
1735899900000000000,100853.31
1735901700000000000,100853.31
1735903500000000000,100853.31
1735905300000000000,100853.31
1735907100000000000,100853.31
1735908900000000000,100853.31
1735910700000000000,100853.31
1735912500000000000,100853.31
1735914300000000000,100853.31
1735916100000000000,100853.31
1735917900000000000,100853.31
1735919700000000000,100853.31
1735921500000000000,100853.31
1735923300000000000,100853.31
1735925100000000000,100853.31
1735926900000000000,100685.57
1735928700000000000,100685.57
1735930500000000000,100654.34
1735932300000000000,100654.34
1735934100000000000,100654.34
1735935900000000000,100654.34
1735937700000000000,100654.34
1735939500000000000,100654.34
1735941300000000000,100654.34
1735943100000000000,100642.13
1735944900000000000,100642.13
1735946700000000000,100642.13
1735948500000000000,100642.13
1735950300000000000,100642.13
1735952100000000000,100642.13
1735953900000000000,100642.13
1735955700000000000,100509.43000000001
1735957500000000000,100532.79000000001
1735959300000000000,100532.79000000001
1735961100000000000,100530.36
1735962900000000000,100527.95
1735964700000000000,100527.95
1735966500000000000,100527.95
1735968300000000000,100527.95
1735970100000000000,100527.95
1735971900000000000,100527.95
1735973700000000000,100527.95
1735975500000000000,100527.95
1735977300000000000,100527.95
1735979100000000000,100527.95
1735980900000000000,100527.95
1735982700000000000,100527.95
1735984500000000000,100506.73999999999
1735986300000000000,100506.73999999999
1735988100000000000,100506.73999999999
1735989900000000000,100506.73999999999
1735991700000000000,100506.73999999999
1735993500000000000,100452.81
1735995300000000000,100447.79
1735997100000000000,100447.79
1735998900000000000,100447.79
1736000700000000000,100464.37000000001
1736002500000000000,100464.37000000001
1736004300000000000,100464.37000000001
1736006100000000000,100464.37000000001
1736007900000000000,100464.37000000001
1736009700000000000,100464.37000000001
1736011500000000000,100464.37000000001
1736013300000000000,100463.73000000001
1736015100000000000,100461.19
1736016900000000000,100459.87
1736018700000000000,100459.87
1736020500000000000,100459.87
1736022300000000000,100459.87
1736024100000000000,100695.92
1736025900000000000,100695.92
1736027700000000000,100695.92
1736029500000000000,100695.92
1736031300000000000,100695.92
1736033100000000000,100689.27
1736034900000000000,100664.59
1736036700000000000,100664.59
1736038500000000000,100664.59
1736040300000000000,100664.59
1736042100000000000,100421.39
1736043900000000000,100421.39
1736045700000000000,100414.49
1736047500000000000,100414.49
1736049300000000000,100414.49
1736051100000000000,100414.49
1736052900000000000,100414.49
1736054700000000000,100414.49
1736056500000000000,100414.49
1736058300000000000,100414.49
1736060100000000000,100414.49
1736061900000000000,100414.49
1736063700000000000,100414.49
1736065500000000000,100414.49
1736067300000000000,100414.49
1736069100000000000,100414.49
1736070900000000000,99865.03
1736072700000000000,99865.03
1736074500000000000,99865.03
1736076300000000000,99865.03
1736078100000000000,99746.41
1736079900000000000,99746.41
1736081700000000000,99746.41
1736083500000000000,99746.41
1736085300000000000,99746.41
1736087100000000000,99746.41
1736088900000000000,99746.41
1736090700000000000,99746.41
1736092500000000000,99746.41
1736094300000000000,99746.41
1736096100000000000,99746.41
1736097900000000000,99746.41
1736099700000000000,99379.54999999999
1736101500000000000,99379.54999999999
1736103300000000000,99379.54999999999
1736105100000000000,99379.54999999999
1736106900000000000,99379.54999999999
1736108700000000000,99379.54999999999
1736110500000000000,99379.54999999999
1736112300000000000,99379.54999999999
1736114100000000000,99379.54999999999
1736115900000000000,99379.54999999999
1736117700000000000,99379.54999999999
1736119500000000000,99379.54999999999
1736121300000000000,99379.54999999999
1736123100000000000,99379.54999999999
1736124900000000000,99379.54999999999
1736126700000000000,99379.54999999999
1736128500000000000,98919.28
1736130300000000000,98919.28
1736132100000000000,98866.15000000001
1736133900000000000,98866.15000000001
1736135700000000000,98866.15000000001
1736137500000000000,98866.15000000001
1736139300000000000,98866.15000000001
1736141100000000000,98866.15000000001
1736142900000000000,98866.15000000001
1736144700000000000,98866.15000000001
1736146500000000000,98866.15000000001
1736148300000000000,98866.15000000001
1736150100000000000,98866.15000000001
1736151900000000000,98866.15000000001
1736153700000000000,98866.15000000001
1736155500000000000,98866.15000000001
1736157300000000000,98162.51
1736159100000000000,98162.51
1736160900000000000,98162.51
1736162700000000000,98162.51
1736164500000000000,98162.51
1736166300000000000,98162.51
1736168100000000000,98162.51
1736169900000000000,98162.51
1736171700000000000,98162.51
1736173500000000000,98162.51
1736175300000000000,98103.51
1736177100000000000,98103.51
1736178900000000000,98103.51
1736180700000000000,98103.51
1736182500000000000,98103.51
1736184300000000000,98103.51
