ts_ns,btc_qty,usdt_free,equity,price
1735811700000000000,0.083439,99998.09,99998.09,29099.44
1735813500000000000,0.7014,100003.99,100003.99,29244.510000000002
1735815300000000000,0.793672,100003.45,100003.45,29188.11
1735817100000000000,0.793672,100003.45,100003.45,29301.98
1735818900000000000,0.793672,100003.45,100003.45,29102.98
1735820700000000000,0.793672,100003.45,100003.45,29075.74
1735822500000000000,0.06812,100201.41,100201.41,29179.66
1735824300000000000,0.06812,100201.41,100201.41,29510.230000000003
1735826100000000000,0.06812,100201.41,100201.41,29836.56
1735827900000000000,0.06812,100201.41,100201.41,29662.769999999997
1735829700000000000,0.06812,100201.41,100201.41,29619.939999999995
1735831500000000000,0.06812,100201.41,100201.41,29730.15
1735833300000000000,0.06812,100201.41,100201.41,29927.68
1735835100000000000,0.06812,100201.41,100201.41,29927.91
1735836900000000000,0.06812,100201.41,100201.41,29739.020000000004
1735838700000000000,0.06812,100201.41,100201.41,29895.27
1735840500000000000,0.183298,100237.62,100237.62,29955.2
1735842300000000000,0.85361,100233.62,100233.62,29811.32
1735844100000000000,1.503143,100229.76,100229.76,29771.37
1735845900000000000,1.990207,100226.87,100226.87,29795.420000000002
1735847700000000000,1.990207,100226.87,100226.87,29843.89
1735849500000000000,0.861387,100511.82,100511.82,29987.24
1735851300000000000,0.861387,100511.82,100511.82,29926.710000000003
1735853100000000000,0.861387,100511.82,100511.82,29746.390000000003
1735854900000000000,0.861387,100511.82,100511.82,29731.27
1735856700000000000,0.861387,100511.82,100511.82,29886.060000000005
1735858500000000000,0.861387,100511.82,100511.82,29995.219999999998
1735860300000000000,0.861387,100511.82,100511.82,29750.32
1735862100000000000,0.861387,100511.82,100511.82,29828.32
1735863900000000000,0.861387,100511.82,100511.82,30155.390000000003
1735865700000000000,0.861387,100511.82,100511.82,30249.820000000003
1735867500000000000,0.861387,100511.82,100511.82,30423.63
1735869300000000000,0.288771,100846.61,100846.61,30348.36
1735871100000000000,0.229467,100891.06999999999,100891.06999999999,30497.59
1735872900000000000,0.229467,100891.06999999999,100891.06999999999,30206.710000000003
1735874700000000000,0.229467,100891.06999999999,100891.06999999999,30512.36
1735876500000000000,0.229467,100891.06999999999,100891.06999999999,30384.070000000003
1735878300000000000,0.229467,100891.06999999999,100891.06999999999,30447.63
1735880100000000000,0.229467,100891.06999999999,100891.06999999999,30363.129999999997
1735881900000000000,0.229467,100891.06999999999,100891.06999999999,30222.16
1735883700000000000,0.229467,100891.06999999999,100891.06999999999,30308.32
1735885500000000000,0.229467,100891.06999999999,100891.06999999999,29996.76
1735887300000000000,0.229467,100891.06999999999,100891.06999999999,29776.08
1735889100000000000,0.229467,100891.06999999999,100891.06999999999,29757.100000000002
1735890900000000000,0.229467,100891.06999999999,100891.06999999999,29700.070000000003
1735892700000000000,0.229467,100891.06999999999,100891.06999999999,29685.510000000002
1735894500000000000,0.229467,100891.06999999999,100891.06999999999,29571.41
1735896300000000000,0.229467,100891.06999999999,100891.06999999999,29437.22
1735898100000000000,0.479126,100856.24,100856.24,29626.68
1735899900000000000,0.973905,100853.31,100853.31,29309.94
1735901700000000000,0.973905,100853.31,100853.31,29623.15
1735903500000000000,0.973905,100853.31,100853.31,29478.06
1735905300000000000,0.973905,100853.31,100853.31,29554.510000000002
1735907100000000000,0.973905,100853.31,100853.31,29728.499999999996
1735908900000000000,0.973905,100853.31,100853.31,29666.31
1735910700000000000,0.973905,100853.31,100853.31,29498.25
1735912500000000000,0.973905,100853.31,100853.31,29520.179999999997
1735914300000000000,0.973905,100853.31,100853.31,29430.88
1735916100000000000,0.973905,100853.31,100853.31,29334.54
1735917900000000000,0.973905,100853.31,100853.31,29113.929999999997
1735919700000000000,0.973905,100853.31,100853.31,29122.47
