trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250102-095000-001-000-8,O-20250102-095000-001-000-10,BUY,FLAT,0.000000,0.090501,1735811400000000000,2025-01-02 09:50:00+00:00,1735812000000000000,2025-01-02 10:00:00+00:00,600000000000.0,28985.236092834282,29067.259182071542,['3.02444088 USDT'],0.00283,8.09000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250102-095000-001-000-10,O-20250102-103500-001-000-49,SELL,FLAT,0.000000,0.793672,1735812000000000000,2025-01-02 10:00:00+00:00,1735821000000000000,2025-01-02 12:30:00+00:00,9000000000000.0,29222.058827576126,28966.37,['9.24092137 USDT'],0.00875,193.70000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250102-103500-001-000-49,O-20250103-175000-001-000-102,BUY,FLAT,0.000000,1.990207,1735821000000000000,2025-01-02 12:30:00+00:00,1735941600000000000,2025-01-03 22:00:00+00:00,120600000000000.0,29614.705527094153,29853.56765475444,['70.46175087 USDT'],0.00807,441.54000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250103-175000-001-000-102,O-20250104-015000-001-000-107,SELL,FLAT,0.000000,0.205003,1735941600000000000,2025-01-03 22:00:00+00:00,1735955400000000000,2025-01-04 01:50:00+00:00,13800000000000.0,29582.14265186363,30152.76999999999,['4.92656392 USDT'],-0.01929,-121.90000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250104-015000-001-000-107,O-20250104-015000-001-000-113,BUY,FLAT,0.000000,0.160065,1735955400000000000,2025-01-04 01:50:00+00:00,1735955400000000000,2025-01-04 01:50:00+00:00,,30152.769999999993,30152.769999999993,['5.78787585 USDT'],0.0,-5.79000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250104-015000-001-000-113,O-20250104-184500-001-000-181,SELL,FLAT,0.000000,1.294959,1735955400000000000,2025-01-04 01:50:00+00:00,1736023800000000000,2025-01-04 20:50:00+00:00,68400000000000.0,30445.966384816278,30337.290711425805,['38.07989353 USDT'],0.00357,182.20000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250104-184500-001-000-181,O-20250107-015500-001-000-279,BUY,FLAT,0.000000,5.562661,1736023800000000000,2025-01-04 20:50:00+00:00,1736216700000000000,2025-01-07 02:25:00+00:00,192900000000000.0,28756.698741396645,29216.974438487632,['145.70188385 USDT'],0.01601,-3098.23000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250107-015500-001-000-279,O-20250108-015000-001-000-348,SELL,FLAT,0.000000,1.325951,1736216700000000000,2025-01-07 02:25:00+00:00,1736301000000000000,2025-01-08 01:50:00+00:00,84300000000000.0,29137.149123922674,29387.60842593797,['30.97474302 USDT'],-0.0086,-429.72000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-015000-001-000-348,O-20250108-015000-001-000-356,BUY,FLAT,0.000000,0.075153,1736301000000000000,2025-01-08 01:50:00+00:00,1736301000000000000,2025-01-08 01:50:00+00:00,,29472.619999999995,29472.62,['2.66037403 USDT'],0.0,-2.66000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-015000-001-000-356,O-20250108-020000-001-000-368,SELL,FLAT,0.000000,0.981397,1736301000000000000,2025-01-08 01:50:00+00:00,1736306100000000000,2025-01-08 03:15:00+00:00,5100000000000.0,29513.273305461495,29335.368157473476,['17.20948817 USDT'],0.00603,157.38000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-020000-001-000-368,O-20250108-095500-001-000-391,BUY,FLAT,0.000000,0.773477,1736306100000000000,2025-01-08 03:15:00+00:00,1736333700000000000,2025-01-08 10:55:00+00:00,27600000000000.0,29333.731635912194,29451.442246000108,['24.72952451 USDT'],0.00401,197.22000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-095500-001-000-391,O-20250108-103000-001-000-396,SELL,FLAT,0.000000,0.357007,1736333700000000000,2025-01-08 10:55:00+00:00,1736347500000000000,2025-01-08 14:45:00+00:00,13800000000000.0,29580.12,29274.43,['4.20499670 USDT'],0.01033,104.93000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-103000-001-000-396,O-20250108-175000-001-000-412,BUY,FLAT,0.000000,0.441162,1736347500000000000,2025-01-08 14:45:00+00:00,1736358600000000000,2025-01-08 17:50:00+00:00,11100000000000.0,29410.21857483192,29670.56,['12.24356179 USDT'],0.00885,102.61000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-175000-001-000-412,O-20250108-175000-001-000-405,SELL,FLAT,0.000000,0.149464,1736358600000000000,2025-01-08 17:50:00+00:00,1736358900000000000,2025-01-08 17:55:00+00:00,300000000000.0,29670.56,29651.139999999996,['3.55033490 USDT'],0.00065,-0.64000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-175000-001-000-405,O-20250108-180500-001-000-417,BUY,FLAT,0.000000,0.357592,1736358900000000000,2025-01-08 17:55:00+00:00,1736360400000000000,2025-01-08 18:20:00+00:00,1500000000000.0,29553.887093671,29703.219999999994,['4.24079273 USDT'],0.00505,49.16000000 USDT,True
