ts_ns,btc_qty,usdt_free,equity,price
1661295600000000000,0.057114,100014.21,100014.21,21529.12
1661317200000000000,0.956799,100020.08,100020.08,21421.18
1661338800000000000,0.956799,100020.08,100020.08,21438.92
1661360400000000000,0.68211,100277.11,100277.11,21633.24
1661382000000000000,1.241499,100274.67,100274.67,21368.08
1661403600000000000,1.241499,100274.67,100274.67,21559.17
1661425200000000000,1.241499,100274.67,100274.67,21720.31
1661446800000000000,1.241499,100274.67,100274.67,21571.16
1661468400000000000,1.241499,100274.67,100274.67,21559.04
1661490000000000000,1.241499,100274.67,100274.67,21404.25
1661511600000000000,0.303204,100844.72,100844.72,21189.769999999997
1661533200000000000,0.588128,101038.78,101038.78,20651.75
1661554800000000000,0.588128,101038.78,101038.78,20241.05
1661576400000000000,0.588128,101038.78,101038.78,20128.38
1661598000000000000,0.588128,101038.78,101038.78,20211.21
1661619600000000000,0.588128,101038.78,101038.78,19985.670000000002
1661641200000000000,0.286527,100716.73999999999,100716.73999999999,20037.6
1661662800000000000,0.037869,100474.56,100474.56,20054.75
1661684400000000000,0.037869,100474.56,100474.56,20034.969999999998
1661706000000000000,0.790881,100471.56,100471.56,19982.09
1661727600000000000,0.970997,100470.85,100470.85,19555.609999999997
1661749200000000000,0.970997,100470.85,100470.85,19753.84
1661770800000000000,0.970997,100470.85,100470.85,19825.09
1661792400000000000,0.970997,100470.85,100470.85,20276.3
1661814000000000000,0.970997,100470.85,100470.85,20285.73
1661835600000000000,0.970997,100470.85,100470.85,20417.59
1661857200000000000,0.970997,100470.85,100470.85,20403.8
1661878800000000000,0.970997,100470.85,100470.85,19685.99
1661900400000000000,0.970997,100470.85,100470.85,19811.66
1661922000000000000,0.970997,100470.85,100470.85,20353.21
1661943600000000000,0.970997,100470.85,100470.85,20314.78
1661965200000000000,0.970997,100470.85,100470.85,19982.31
1661986800000000000,1.393535,100469.15,100469.15,20050.02
1662008400000000000,0.900032,100598.77,100598.77,20038.969999999998
1662030000000000000,1.799258,100595.19,100595.19,20074.01
1662051600000000000,2.190214,100593.64,100593.64,19724.43
1662073200000000000,2.190214,100593.64,100593.64,20131.46
1662094800000000000,0.710896,101124.58,101124.58,20125.289999999997
1662116400000000000,0.710896,101124.58,101124.58,20090.809999999998
1662138000000000000,3.368947,101400.73,101400.73,19802.27
1662159600000000000,3.368947,101400.73,101400.73,19951.86
1662181200000000000,3.368947,101400.73,101400.73,19944.32
1662202800000000000,3.368947,101400.73,101400.73,19798.76
1662224400000000000,3.368947,101400.73,101400.73,19816.0
1662246000000000000,3.368947,101400.73,101400.73,19831.9
1662267600000000000,3.368947,101400.73,101400.73,19768.969999999998
1662289200000000000,3.368947,101400.73,101400.73,19850.79
1662310800000000000,3.368947,101400.73,101400.73,19838.47
1662332400000000000,3.871427,101398.73,101398.73,20000.3
1662354000000000000,2.853813,102153.99,102153.99,19726.04
1662375600000000000,2.090508,102629.91,102629.91,19701.95
1662397200000000000,2.090508,102629.91,102629.91,19826.489999999998
1662418800000000000,2.090508,102629.91,102629.91,19796.84
1662440400000000000,3.58008,102623.91,102623.91,19780.9
1662462000000000000,3.58008,102623.91,102623.91,19918.329999999998
1662483600000000000,1.392671,104062.56999999999,104062.56999999999,19102.32
1662505200000000000,0.582701,104627.23,104627.23,18790.609999999997
1662526800000000000,0.582701,104627.23,104627.23,18759.070000000003
1662548400000000000,0.582701,104627.23,104627.23,18739.59
1662570000000000000,0.582701,104627.23,104627.23,18998.95
1662591600000000000,0.582701,104627.23,104627.23,19292.84
1662613200000000000,0.582701,104627.23,104627.23,19302.79
1662634800000000000,0.582701,104627.23,104627.23,19311.15
1662656400000000000,0.582701,104627.23,104627.23,19199.28
1662678000000000000,0.582701,104627.23,104627.23,19319.769999999997
1662699600000000000,1.64613,104623.06,104623.06,20534.0
1662721200000000000,1.64613,104623.06,104623.06,20937.72
1662742800000000000,1.64613,104623.06,104623.06,21246.72
1662764400000000000,1.64613,104623.06,104623.06,21360.11
1662786000000000000,1.64613,104623.06,104623.06,21543.98
1662807600000000000,1.64613,104623.06,104623.06,21285.11
1662829200000000000,1.64613,104623.06,104623.06,21287.12
1662850800000000000,1.64613,104623.06,104623.06,21648.34
1662872400000000000,1.64613,104623.06,104623.06,21590.3
1662894000000000000,1.64613,104623.06,104623.06,21613.030000000002
1662915600000000000,1.64613,104623.06,104623.06,21628.350000000002
1662937200000000000,1.64613,104623.06,104623.06,21826.870000000003
1662958800000000000,1.64613,104623.06,104623.06,21785.59
1662980400000000000,1.64613,104623.06,104623.06,22312.75
1663002000000000000,1.64613,104623.06,104623.06,22355.8
1663023600000000000,1.851321,104575.87999999999,104575.87999999999,22395.74
1663045200000000000,1.851321,104575.87999999999,104575.87999999999,22385.329999999998
1663066800000000000,1.973699,104575.33,104575.33,22522.74
1663088400000000000,0.006263,101367.89,101367.89,20764.12
1663110000000000000,0.006263,101367.89,101367.89,20173.57
1663131600000000000,0.006263,101367.89,101367.89,20315.56
1663153200000000000,0.006263,101367.89,101367.89,20225.350000000002
1663174800000000000,0.006263,101367.89,101367.89,20105.17
1663196400000000000,0.006263,101367.89,101367.89,20226.710000000003
1663218000000000000,0.006263,101367.89,101367.89,20145.89
1663239600000000000,0.006263,101367.89,101367.89,20148.350000000002
1663261200000000000,0.006263,101367.89,101367.89,19829.86
1663282800000000000,0.006263,101367.89,101367.89,19701.88
1663304400000000000,0.006263,101367.89,101367.89,19752.75
1663326000000000000,0.006263,101367.89,101367.89,19867.82
1663347600000000000,0.006263,101367.89,101367.89,19441.99
1663369200000000000,0.006263,101367.89,101367.89,19803.3
1663390800000000000,0.747854,101352.67,101352.67,19860.26
1663412400000000000,0.747854,101352.67,101352.67,19810.22
1663434000000000000,1.245355,101350.67,101350.67,20079.74
1663455600000000000,1.245355,101350.67,101350.67,20113.62
1663477200000000000,1.245355,101350.67,101350.67,20071.8
1663498800000000000,1.245355,101350.67,101350.67,19922.92
1663520400000000000,0.029255,101795.02,101795.02,19632.42
1663542000000000000,4.979545,101775.71999999999,101775.71999999999,19416.18
1663563600000000000,6.27354,101770.72,101770.72,18459.710000000003
1663585200000000000,6.27354,101770.72,101770.72,18684.870000000003
1663606800000000000,6.27354,101770.72,101770.72,18964.59
1663628400000000000,6.27354,101770.72,101770.72,19537.02
1663650000000000000,6.27354,101770.72,101770.72,19372.870000000003
1663671600000000000,6.27354,101770.72,101770.72,19219.489999999998
1663693200000000000,6.27354,101770.72,101770.72,18766.83
1663714800000000000,6.431134,101770.13,101770.13,18875.0
1663736400000000000,6.431134,101770.13,101770.13,18923.1
1663758000000000000,5.999915,101656.63,101656.63,19165.929999999997
1663779600000000000,4.524123,101657.45,101657.45,19867.929999999997
1663801200000000000,7.017516,101696.69,101696.69,18461.36
1663822800000000000,7.017516,101696.69,101696.69,18669.21
1663844400000000000,7.017516,101696.69,101696.69,19229.809999999998
1663866000000000000,7.017516,101696.69,101696.69,19068.84
1663887600000000000,7.017516,101696.69,101696.69,19401.63
1663909200000000000,7.017516,101696.69,101696.69,19357.390000000003
1663930800000000000,7.017516,101696.69,101696.69,18862.72
1663952400000000000,7.017516,101696.69,101696.69,18770.0
1663974000000000000,7.017516,101696.69,101696.69,19289.91
1663995600000000000,7.017516,101696.69,101696.69,19136.04
1664017200000000000,7.017516,101696.69,101696.69,19051.63
1664038800000000000,7.017516,101696.69,101696.69,19085.649999999998
1664060400000000000,7.54216,101632.77,101632.77,18920.5
1664082000000000000,7.01643,101572.33,101572.33,18992.75
1664103600000000000,6.493844,101572.03,101572.03,19117.94
1664125200000000000,7.554208,101568.03,101568.03,19004.01
1664146800000000000,9.687824,101560.03,101560.03,18807.38
1664168400000000000,9.687824,101560.03,101560.03,18769.809999999998
1664190000000000000,5.787359,102366.38,102366.38,18876.62
1664211600000000000,5.787359,102366.38,102366.38,19115.53
1664233200000000000,5.787359,102366.38,102366.38,19227.82
1664254800000000000,5.787359,102366.38,102366.38,20210.99
1664276400000000000,5.787359,102366.38,102366.38,20229.26
1664298000000000000,5.787359,102366.38,102366.38,18957.2
1664319600000000000,5.787359,102366.38,102366.38,19079.129999999997
1664341200000000000,5.787359,102366.38,102366.38,18824.26
1664362800000000000,5.787359,102366.38,102366.38,18955.43
1664384400000000000,5.787359,102366.38,102366.38,19345.550000000003
1664406000000000000,5.270915,102724.84,102724.84,19412.82
1664427600000000000,4.774419,103575.42,103575.42,19453.94
1664449200000000000,5.811855,103571.42,103571.42,19463.04
1664470800000000000,7.894675,103563.42,103563.42,19261.58
1664492400000000000,7.894675,103563.42,103563.42,19591.510000000002
1664514000000000000,6.115898,104486.43999999999,104486.43999999999,19446.01
1664535600000000000,6.115898,104486.43999999999,104486.43999999999,19436.289999999997
1664557200000000000,6.115898,104486.43999999999,104486.43999999999,19679.329999999998
1664578800000000000,6.115898,104486.43999999999,104486.43999999999,19422.609999999997
1664600400000000000,6.115898,104486.43999999999,104486.43999999999,19317.92
1664622000000000000,6.115898,104486.43999999999,104486.43999999999,19312.04
1664643600000000000,6.115898,104486.43999999999,104486.43999999999,19277.7
1664665200000000000,6.115898,104486.43999999999,104486.43999999999,19310.95
1664686800000000000,6.115898,104486.43999999999,104486.43999999999,19330.58
1664708400000000000,6.115898,104486.43999999999,104486.43999999999,19192.43
1664730000000000000,6.115898,104486.43999999999,104486.43999999999,19196.21
1664751600000000000,6.377656,104490.38,104490.38,19056.8
1664773200000000000,5.863893,104619.29,104619.29,19244.02
1664794800000000000,5.863893,104619.29,104619.29,19245.41
1664816400000000000,3.537309,105085.58,105085.58,19547.0
1664838000000000000,3.537309,105085.58,105085.58,19629.08
