total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.84000000,0.00000000,99998.84000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.84000000,0.00000000,99998.84000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99997.77000000,0.00000000,99997.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99997.77000000,0.00000000,99997.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99996.80000000,0.00000000,99996.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99996.80000000,0.00000000,99996.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.92000000,0.00000000,99995.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.92000000,0.00000000,99995.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.13000000,0.00000000,99995.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.13000000,0.00000000,99995.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99994.41000000,0.00000000,99994.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99994.41000000,0.00000000,99994.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99993.75000000,0.00000000,99993.75000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99993.75000000,0.00000000,99993.75000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99992.66000000,0.00000000,99992.66000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99992.66000000,0.00000000,99992.66000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99991.55000000,0.00000000,99991.55000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99991.55000000,0.00000000,99991.55000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99990.46000000,0.00000000,99990.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99990.46000000,0.00000000,99990.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99989.42000000,0.00000000,99989.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99989.42000000,0.00000000,99989.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99988.46000000,0.00000000,99988.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99988.46000000,0.00000000,99988.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99987.60000000,0.00000000,99987.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99987.60000000,0.00000000,99987.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.85000000,0.00000000,99986.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.85000000,0.00000000,99986.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.85000000,0.00000000,99986.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.22000000,0.00000000,99986.22000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.02000000,0.00000000,99986.02000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.02000000,0.00000000,99986.02000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.71000000,0.00000000,99983.71000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.71000000,0.00000000,99983.71000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.71000000,0.00000000,99983.71000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99981.56000000,0.00000000,99981.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99981.56000000,0.00000000,99981.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99979.77000000,0.00000000,99979.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99979.77000000,0.00000000,99979.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99978.33000000,0.00000000,99978.33000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99978.33000000,0.00000000,99978.33000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99977.17000000,0.00000000,99977.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99977.17000000,0.00000000,99977.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99976.23000000,0.00000000,99976.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99976.23000000,0.00000000,99976.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99975.48000000,0.00000000,99975.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99975.48000000,0.00000000,99975.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99974.92000000,0.00000000,99974.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99974.92000000,0.00000000,99974.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99974.92000000,0.00000000,99974.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99972.75000000,0.00000000,99972.75000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99972.75000000,0.00000000,99972.75000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99970.76000000,0.00000000,99970.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99970.76000000,0.00000000,99970.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99969.09000000,0.00000000,99969.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99969.09000000,0.00000000,99969.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99967.80000000,0.00000000,99967.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99967.80000000,0.00000000,99967.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
