total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.58000000,0.00000000,99998.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.58000000,0.00000000,99998.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99997.27000000,0.00000000,99997.27000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99997.27000000,0.00000000,99997.27000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99996.08000000,0.00000000,99996.08000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99996.08000000,0.00000000,99996.08000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.00000000,0.00000000,99995.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99995.00000000,0.00000000,99995.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99994.03000000,0.00000000,99994.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99994.03000000,0.00000000,99994.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99992.69000000,0.00000000,99992.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99992.69000000,0.00000000,99992.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99991.34000000,0.00000000,99991.34000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99991.34000000,0.00000000,99991.34000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99990.01000000,0.00000000,99990.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99990.01000000,0.00000000,99990.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99988.74000000,0.00000000,99988.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99988.74000000,0.00000000,99988.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99987.57000000,0.00000000,99987.57000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99987.57000000,0.00000000,99987.57000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99987.57000000,0.00000000,99987.57000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.52000000,0.00000000,99986.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.27000000,0.00000000,99986.27000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99986.27000000,0.00000000,99986.27000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.85000000,0.00000000,99983.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.85000000,0.00000000,99983.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99983.85000000,0.00000000,99983.85000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99981.36000000,0.00000000,99981.36000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99981.36000000,0.00000000,99981.36000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99978.87000000,0.00000000,99978.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99978.87000000,0.00000000,99978.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99976.69000000,0.00000000,99976.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99976.69000000,0.00000000,99976.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99974.94000000,0.00000000,99974.94000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99974.94000000,0.00000000,99974.94000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99973.52000000,0.00000000,99973.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99973.52000000,0.00000000,99973.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99973.52000000,0.00000000,99973.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99971.02000000,0.00000000,99971.02000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99971.02000000,0.00000000,99971.02000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99968.52000000,0.00000000,99968.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99968.52000000,0.00000000,99968.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99966.06000000,0.00000000,99966.06000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99966.06000000,0.00000000,99966.06000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99964.16000000,0.00000000,99964.16000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99964.16000000,0.00000000,99964.16000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99962.80000000,0.00000000,99962.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99965.17000000,0.00000000,99965.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99965.17000000,0.00000000,99965.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99965.17000000,0.00000000,99965.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99962.97000000,0.00000000,99962.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99962.97000000,0.00000000,99962.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99962.97000000,0.00000000,99962.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99960.47000000,0.00000000,99960.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99960.47000000,0.00000000,99960.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99957.97000000,0.00000000,99957.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99957.97000000,0.00000000,99957.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99955.47000000,0.00000000,99955.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
