ts_ns,btc_qty,usdt_free,equity,price
1754646900000000000,0.000444,99986.26999999999,99986.26999999999,116685.17
1754648700000000000,0.000444,99986.26999999999,99986.26999999999,116500.03
1754650500000000000,0.000444,99986.26999999999,99986.26999999999,116544.39
1754652300000000000,0.000444,99986.26999999999,99986.26999999999,116761.23
1754654100000000000,0.000444,99986.26999999999,99986.26999999999,116891.51
1754655900000000000,0.000444,99986.26999999999,99986.26999999999,116618.0
1754657700000000000,0.000444,99986.26999999999,99986.26999999999,116500.48
1754659500000000000,0.000444,99986.26999999999,99986.26999999999,116742.81
1754661300000000000,0.000444,99986.26999999999,99986.26999999999,116917.97
1754663100000000000,0.000444,99986.26999999999,99986.26999999999,116746.32
1754664900000000000,0.000444,99986.26999999999,99986.26999999999,116491.53
1754666700000000000,0.000444,99986.26999999999,99986.26999999999,116288.4
1754668500000000000,0.000444,99986.26999999999,99986.26999999999,116207.69
1754670300000000000,0.000444,99986.26999999999,99986.26999999999,116096.43
1754672100000000000,0.000444,99986.26999999999,99986.26999999999,116193.62999999999
1754673900000000000,0.000444,99986.26999999999,99986.26999999999,116353.77
1754675700000000000,0.007202,99965.17,99965.17,116708.86
1754677500000000000,0.007202,99965.17,99965.17,116603.18000000001
1754679300000000000,0.007202,99965.17,99965.17,116497.99
1754681100000000000,0.007202,99965.17,99965.17,116486.76
1754682900000000000,0.007202,99965.17,99965.17,116453.41
1754684700000000000,0.007202,99965.17,99965.17,116506.66
1754686500000000000,0.007202,99965.17,99965.17,116888.51999999999
1754688300000000000,0.007202,99965.17,99965.17,116800.0
1754690100000000000,0.007202,99965.17,99965.17,116931.44
1754691900000000000,0.007202,99965.17,99965.17,116959.47
1754693700000000000,0.007202,99965.17,99965.17,116888.9
1754695500000000000,0.007202,99965.17,99965.17,116800.0
1754697300000000000,0.007202,99965.17,99965.17,116674.73999999999
1754699100000000000,0.007202,99965.17,99965.17,116728.6
1754700900000000000,0.007202,99965.17,99965.17,116586.0
1754702700000000000,0.007202,99965.17,99965.17,116547.20999999999
1754704500000000000,0.035107,99937.98000000001,99937.98000000001,116563.26000000001
1754706300000000000,0.035107,99937.98000000001,99937.98000000001,116448.13
1754708100000000000,0.035107,99937.98000000001,99937.98000000001,116404.0
1754709900000000000,0.035107,99937.98000000001,99937.98000000001,116462.61
1754711700000000000,0.035107,99937.98000000001,99937.98000000001,116384.01
1754713500000000000,0.035107,99937.98000000001,99937.98000000001,116472.4
1754715300000000000,0.050639,99936.6,99936.6,116434.76
1754717100000000000,0.050639,99936.6,99936.6,116966.68000000001
1754718900000000000,0.050639,99936.6,99936.6,116739.23
