ts_ns,equity
1735811700000000000,99994.58
1735813500000000000,99993.73000000001
1735815300000000000,99993.73000000001
1735817100000000000,99993.73000000001
1735818900000000000,99993.73000000001
1735820700000000000,99993.73000000001
1735822500000000000,99993.73000000001
1735824300000000000,99993.73000000001
1735826100000000000,99993.73000000001
1735827900000000000,99993.73000000001
1735829700000000000,99993.73000000001
1735831500000000000,99993.73000000001
1735833300000000000,99993.73000000001
1735835100000000000,99993.73000000001
1735836900000000000,100092.05
1735838700000000000,100092.05
1735840500000000000,100092.12000000001
1735842300000000000,100086.93000000001
1735844100000000000,100085.42
1735845900000000000,100085.42
1735847700000000000,100543.3
1735849500000000000,100543.3
1735851300000000000,100543.3
1735853100000000000,100543.3
1735854900000000000,100543.3
1735856700000000000,100543.3
1735858500000000000,100543.3
1735860300000000000,100543.3
1735862100000000000,100543.3
1735863900000000000,100543.3
1735865700000000000,100620.13
1735867500000000000,100603.02
1735869300000000000,100679.22
1735871100000000000,100757.83
1735872900000000000,100847.48000000001
1735874700000000000,100847.48000000001
1735876500000000000,100847.48000000001
1735878300000000000,100847.48000000001
1735880100000000000,100847.48000000001
1735881900000000000,100847.48000000001
1735883700000000000,100847.48000000001
1735885500000000000,100847.48000000001
1735887300000000000,100847.48000000001
1735889100000000000,100847.48000000001
1735890900000000000,100847.48000000001
1735892700000000000,100847.48000000001
1735894500000000000,100847.48000000001
1735896300000000000,100847.48000000001
1735898100000000000,101815.87999999999
1735899900000000000,101964.8
1735901700000000000,102023.95
1735903500000000000,102023.95
1735905300000000000,102023.95
1735907100000000000,102023.95
1735908900000000000,102023.95
1735910700000000000,102023.95
1735912500000000000,102023.95
1735914300000000000,102023.95
1735916100000000000,102023.95
1735917900000000000,102023.95
1735919700000000000,102023.95
1735921500000000000,102023.95
1735923300000000000,102023.95
1735925100000000000,102023.95
1735926900000000000,103017.39
1735928700000000000,103017.39
1735930500000000000,103017.39
1735932300000000000,103017.39
1735934100000000000,103017.39
1735935900000000000,104107.86
1735937700000000000,104107.86
1735939500000000000,104107.86
1735941300000000000,104398.08
1735943100000000000,104646.06
1735944900000000000,104646.06
1735946700000000000,104646.06
1735948500000000000,104646.06
1735950300000000000,104646.06
1735952100000000000,104646.06
1735953900000000000,104646.06
1735955700000000000,105770.98
1735957500000000000,105770.98
1735959300000000000,105770.98
1735961100000000000,105770.98
1735962900000000000,105770.98
1735964700000000000,105770.98
1735966500000000000,105770.98
1735968300000000000,105770.98
1735970100000000000,105770.98
1735971900000000000,105770.98
1735973700000000000,105770.98
1735975500000000000,105770.98
1735977300000000000,105770.98
1735979100000000000,105770.98
1735980900000000000,105770.98
1735982700000000000,105770.98
