ts_ns,btc_qty,usdt_free,equity,price
1735811700000000000,0.404589,99994.58,99994.58,32937.590000000004
1735813500000000000,0.533302,99993.73000000001,99993.73000000001,32987.18
1735815300000000000,0.533302,99993.73000000001,99993.73000000001,33138.46000000001
1735817100000000000,0.533302,99993.73000000001,99993.73000000001,33300.72
1735818900000000000,0.533302,99993.73000000001,99993.73000000001,33331.76
1735820700000000000,0.533302,99993.73000000001,99993.73000000001,33664.310000000005
1735822500000000000,0.533302,99993.73000000001,99993.73000000001,33618.579999999994
1735824300000000000,0.533302,99993.73000000001,99993.73000000001,33753.98
1735826100000000000,0.533302,99993.73000000001,99993.73000000001,33089.24
1735827900000000000,0.533302,99993.73000000001,99993.73000000001,33410.5
1735829700000000000,0.533302,99993.73000000001,99993.73000000001,33654.96
1735831500000000000,0.533302,99993.73000000001,99993.73000000001,33985.96
1735833300000000000,0.533302,99993.73000000001,99993.73000000001,33189.32
1735835100000000000,0.533302,99993.73000000001,99993.73000000001,33004.689999999995
1735836900000000000,0.021814,100092.05,100092.05,33064.75
1735838700000000000,0.021814,100092.05,100092.05,33066.56
1735840500000000000,0.021327,100092.12000000001,100092.12000000001,33542.36
1735842300000000000,0.785743,100086.93000000001,100086.93000000001,33946.94
1735844100000000000,1.007094,100085.42,100085.42,34040.21
1735845900000000000,1.007094,100085.42,100085.42,33764.62
1735847700000000000,0.138745,100543.3,100543.3,33632.79
1735849500000000000,0.138745,100543.3,100543.3,33476.689999999995
1735851300000000000,0.138745,100543.3,100543.3,33815.47
1735853100000000000,0.138745,100543.3,100543.3,33966.64
1735854900000000000,0.138745,100543.3,100543.3,33812.45
1735856700000000000,0.138745,100543.3,100543.3,34359.36
1735858500000000000,0.138745,100543.3,100543.3,34553.049999999996
1735860300000000000,0.138745,100543.3,100543.3,34177.61
1735862100000000000,0.138745,100543.3,100543.3,33629.310000000005
1735863900000000000,0.138745,100543.3,100543.3,33492.259999999995
1735865700000000000,0.685065,100620.13,100620.13,33366.13
1735867500000000000,3.262707,100603.02,100603.02,33085.219999999994
1735869300000000000,2.559103,100679.22,100679.22,33254.13
1735871100000000000,2.264612,100757.83,100757.83,33504.009999999995
1735872900000000000,2.116807,100847.48000000001,100847.48000000001,33727.8
1735874700000000000,2.116807,100847.48000000001,100847.48000000001,33991.93
1735876500000000000,2.116807,100847.48000000001,100847.48000000001,34097.79
1735878300000000000,2.116807,100847.48000000001,100847.48000000001,34263.85999999999
1735880100000000000,2.116807,100847.48000000001,100847.48000000001,34246.74
1735881900000000000,2.116807,100847.48000000001,100847.48000000001,33905.219999999994
1735883700000000000,2.116807,100847.48000000001,100847.48000000001,34168.6
1735885500000000000,2.116807,100847.48000000001,100847.48000000001,34676.53
1735887300000000000,2.116807,100847.48000000001,100847.48000000001,35150.259999999995
1735889100000000000,2.116807,100847.48000000001,100847.48000000001,35257.740000000005
1735890900000000000,2.116807,100847.48000000001,100847.48000000001,34924.86
1735892700000000000,2.116807,100847.48000000001,100847.48000000001,34829.91
1735894500000000000,2.116807,100847.48000000001,100847.48000000001,34504.8
1735896300000000000,2.116807,100847.48000000001,100847.48000000001,34714.25
1735898100000000000,1.395348,101815.87999999999,101815.87999999999,34662.68
1735899900000000000,1.299042,101964.8,101964.8,34845.66
1735901700000000000,1.265006,102023.95,102023.95,35095.83
1735903500000000000,1.265006,102023.95,102023.95,35305.07
1735905300000000000,1.265006,102023.95,102023.95,35893.12
1735907100000000000,1.265006,102023.95,102023.95,36706.579999999994
1735908900000000000,1.265006,102023.95,102023.95,36572.17
1735910700000000000,1.265006,102023.95,102023.95,36738.990000000005
1735912500000000000,1.265006,102023.95,102023.95,36742.49
1735914300000000000,1.265006,102023.95,102023.95,36622.89
1735916100000000000,1.265006,102023.95,102023.95,36538.71
1735917900000000000,1.265006,102023.95,102023.95,36073.45
1735919700000000000,1.265006,102023.95,102023.95,36114.409999999996
1735921500000000000,1.265006,102023.95,102023.95,35297.92
1735923300000000000,1.265006,102023.95,102023.95,35044.84
1735925100000000000,1.265006,102023.95,102023.95,35811.12
1735926900000000000,0.862171,103017.39,103017.39,35469.16
1735928700000000000,0.862171,103017.39,103017.39,35433.75
1735930500000000000,0.862171,103017.39,103017.39,35504.55
1735932300000000000,0.862171,103017.39,103017.39,35365.92
1735934100000000000,0.862171,103017.39,103017.39,35571.07
1735935900000000000,0.450739,104107.86,104107.86,36036.22
1735937700000000000,0.450739,104107.86,104107.86,36086.16
1735939500000000000,0.450739,104107.86,104107.86,35684.4
1735941300000000000,0.353206,104398.08,104398.08,36070.02
1735943100000000000,0.270881,104646.06,104646.06,36471.270000000004
1735944900000000000,0.270881,104646.06,104646.06,36888.630000000005
1735946700000000000,0.270881,104646.06,104646.06,37151.43
1735948500000000000,0.270881,104646.06,104646.06,37231.0
1735950300000000000,0.270881,104646.06,104646.06,37089.85999999999
1735952100000000000,0.270881,104646.06,104646.06,36751.93
1735953900000000000,0.270881,104646.06,104646.06,37268.77
1735955700000000000,0.017182,105770.98,105770.98,37795.729999999996
1735957500000000000,0.017182,105770.98,105770.98,38147.590000000004
1735959300000000000,0.017182,105770.98,105770.98,38354.18
1735961100000000000,0.017182,105770.98,105770.98,38264.83
1735962900000000000,0.017182,105770.98,105770.98,39041.88
1735964700000000000,0.017182,105770.98,105770.98,39303.51
1735966500000000000,0.017182,105770.98,105770.98,40022.21
1735968300000000000,0.017182,105770.98,105770.98,39712.28
1735970100000000000,0.017182,105770.98,105770.98,39402.990000000005
1735971900000000000,0.017182,105770.98,105770.98,40030.310000000005
1735973700000000000,0.017182,105770.98,105770.98,40178.88
1735975500000000000,0.017182,105770.98,105770.98,40398.56
1735977300000000000,0.017182,105770.98,105770.98,40001.09
1735979100000000000,0.017182,105770.98,105770.98,39452.79
1735980900000000000,0.017182,105770.98,105770.98,39545.09
1735982700000000000,0.017182,105770.98,105770.98,39096.45
1735984500000000000,0.035792,105844.90999999999,105844.90999999999,39058.94
1735986300000000000,0.947293,105851.66,105851.66,39586.310000000005
1735988100000000000,0.947293,105851.66,105851.66,39952.47
1735989900000000000,0.947293,105851.66,105851.66,39875.08
1735991700000000000,0.947293,105851.66,105851.66,39517.020000000004
1735993500000000000,0.947293,105851.66,105851.66,39775.17
1735995300000000000,0.947293,105851.66,105851.66,39873.420000000006
1735997100000000000,0.947293,105851.66,105851.66,40031.09
1735998900000000000,0.947293,105851.66,105851.66,40058.25
1736000700000000000,0.947293,105851.66,105851.66,40074.68
1736002500000000000,0.947293,105851.66,105851.66,40285.35
1736004300000000000,0.947293,105851.66,105851.66,40810.84
1736006100000000000,0.947293,105851.66,105851.66,40648.83
1736007900000000000,0.947293,105851.66,105851.66,41021.09
1736009700000000000,0.947293,105851.66,105851.66,41383.26
1736011500000000000,0.947293,105851.66,105851.66,41686.75
1736013300000000000,0.828308,105451.5,105451.5,42722.979999999996
1736015100000000000,0.828308,105451.5,105451.5,42882.579999999994
1736016900000000000,0.828308,105451.5,105451.5,42620.15
1736018700000000000,0.828308,105451.5,105451.5,42908.1
1736020500000000000,0.828308,105451.5,105451.5,42822.590000000004
1736022300000000000,0.828308,105451.5,105451.5,42817.950000000004
1736024100000000000,0.828308,105451.5,105451.5,43508.34
1736025900000000000,0.828308,105451.5,105451.5,43834.16
1736027700000000000,0.828308,105451.5,105451.5,43944.75
1736029500000000000,0.828308,105451.5,105451.5,43772.23
1736031300000000000,0.828308,105451.5,105451.5,43995.72
1736033100000000000,0.828308,105451.5,105451.5,44257.21
1736034900000000000,0.828308,105451.5,105451.5,44105.09
1736036700000000000,0.828308,105451.5,105451.5,45092.689999999995
1736038500000000000,0.828308,105451.5,105451.5,45556.2
1736040300000000000,0.828308,105451.5,105451.5,45231.88
1736042100000000000,0.828308,105451.5,105451.5,45604.43
1736043900000000000,0.828308,105451.5,105451.5,46228.08
1736045700000000000,0.828308,105451.5,105451.5,46370.34
1736047500000000000,0.828308,105451.5,105451.5,45690.03
1736049300000000000,0.828308,105451.5,105451.5,45281.97
1736051100000000000,0.606756,104150.63,104150.63,45175.04
1736052900000000000,0.606756,104150.63,104150.63,45566.91
1736054700000000000,0.495366,103524.3,103524.3,44736.15
1736056500000000000,0.495366,103524.3,103524.3,45214.02
1736058300000000000,0.495366,103524.3,103524.3,45592.12
1736060100000000000,0.495366,103524.3,103524.3,46336.56
1736061900000000000,0.495366,103524.3,103524.3,46159.43
1736063700000000000,0.495366,103524.3,103524.3,46291.64
1736065500000000000,0.495366,103524.3,103524.3,46635.020000000004
1736067300000000000,0.495366,103524.3,103524.3,46291.939999999995
1736069100000000000,0.495366,103524.3,103524.3,47630.979999999996
1736070900000000000,0.389512,102608.73999999999,102608.73999999999,47883.950000000004
1736072700000000000,0.389512,102608.73999999999,102608.73999999999,48545.29
1736074500000000000,0.389512,102608.73999999999,102608.73999999999,49041.04
1736076300000000000,0.389512,102608.73999999999,102608.73999999999,49648.46000000001
1736078100000000000,0.389512,102608.73999999999,102608.73999999999,49701.11
1736079900000000000,0.389512,102608.73999999999,102608.73999999999,49840.2
1736081700000000000,0.389512,102608.73999999999,102608.73999999999,50095.44
1736083500000000000,0.389512,102608.73999999999,102608.73999999999,49972.659999999996
1736085300000000000,0.389512,102608.73999999999,102608.73999999999,49460.54
1736087100000000000,0.389512,102608.73999999999,102608.73999999999,49077.619999999995
1736088900000000000,0.389512,102608.73999999999,102608.73999999999,49657.219999999994
1736090700000000000,0.389512,102608.73999999999,102608.73999999999,49654.79
1736092500000000000,0.389512,102608.73999999999,102608.73999999999,49356.12
1736094300000000000,0.389512,102608.73999999999,102608.73999999999,49378.21
1736096100000000000,0.389512,102608.73999999999,102608.73999999999,49961.33
1736097900000000000,0.389512,102608.73999999999,102608.73999999999,50303.15
1736099700000000000,0.449906,101869.54,101869.54,50534.700000000004
1736101500000000000,0.449906,101869.54,101869.54,51258.579999999994
1736103300000000000,0.449906,101869.54,101869.54,50742.72
1736105100000000000,0.449906,101869.54,101869.54,50728.44
1736106900000000000,0.293224,100648.66,100648.66,50775.89
1736108700000000000,0.093582,99115.86,99115.86,50491.619999999995
1736110500000000000,0.093582,99115.86,99115.86,50101.219999999994
1736112300000000000,0.106372,98403.65000000001,98403.65000000001,50213.79
1736114100000000000,0.306848,98401.65000000001,98401.65000000001,49917.77
1736115900000000000,0.306848,98401.65000000001,98401.65000000001,50376.65
1736117700000000000,0.306848,98401.65000000001,98401.65000000001,50851.32
1736119500000000000,0.306848,98401.65000000001,98401.65000000001,50729.78
1736121300000000000,0.306848,98401.65000000001,98401.65000000001,51149.98
1736123100000000000,0.306848,98401.65000000001,98401.65000000001,50960.04
1736124900000000000,0.306848,98401.65000000001,98401.65000000001,51143.14
1736126700000000000,0.306848,98401.65000000001,98401.65000000001,51135.53999999999
1736128500000000000,0.306848,98401.65000000001,98401.65000000001,51267.46
1736130300000000000,0.209454,98538.11,98538.11,50741.89
1736132100000000000,0.209454,98538.11,98538.11,50707.75
1736133900000000000,0.209454,98538.11,98538.11,50444.55
1736135700000000000,0.209454,98538.11,98538.11,49651.49
1736137500000000000,0.209454,98538.11,98538.11,49542.780000000006
1736139300000000000,0.209454,98538.11,98538.11,49994.11
1736141100000000000,0.209454,98538.11,98538.11,50010.43
1736142900000000000,0.209454,98538.11,98538.11,50254.42
1736144700000000000,0.209454,98538.11,98538.11,49732.369999999995
1736146500000000000,0.209454,98538.11,98538.11,49441.45
1736148300000000000,0.209454,98538.11,98538.11,49948.729999999996
1736150100000000000,0.209454,98538.11,98538.11,49257.48
1736151900000000000,0.209454,98538.11,98538.11,49071.51
1736153700000000000,0.209454,98538.11,98538.11,48703.03
1736155500000000000,0.209454,98538.11,98538.11,48517.5
1736157300000000000,0.512269,98530.04000000001,98530.04000000001,48763.97
1736159100000000000,0.278984,98481.37999999999,98481.37999999999,48709.23
1736160900000000000,0.109866,98466.59,98466.59,49097.66
1736162700000000000,0.109866,98466.59,98466.59,48931.93
1736164500000000000,0.109866,98466.59,98466.59,48950.76
1736166300000000000,0.435414,98463.44,98463.44,48294.77
1736168100000000000,0.435414,98463.44,98463.44,47370.15
1736169900000000000,0.435414,98463.44,98463.44,47031.939999999995
1736171700000000000,0.435414,98463.44,98463.44,47585.65
1736173500000000000,0.435414,98463.44,98463.44,47604.02
1736175300000000000,0.435414,98463.44,98463.44,47823.270000000004
1736177100000000000,0.435414,98463.44,98463.44,47562.91
1736178900000000000,0.435414,98463.44,98463.44,47633.76
1736180700000000000,0.435414,98463.44,98463.44,47362.5
1736182500000000000,0.435414,98463.44,98463.44,47556.21
1736184300000000000,0.435414,98463.44,98463.44,47168.74
1736186100000000000,0.435414,98463.44,98463.44,47026.36
1736187900000000000,0.069148,97954.73,97954.73,47453.04
1736189700000000000,0.141152,97872.51999999999,97872.51999999999,47436.39
1736191500000000000,0.141152,97872.51999999999,97872.51999999999,47413.06
1736193300000000000,0.141152,97872.51999999999,97872.51999999999,47374.72
1736195100000000000,0.141152,97872.51999999999,97872.51999999999,47764.71
1736196900000000000,0.141152,97872.51999999999,97872.51999999999,48246.83
1736198700000000000,0.141152,97872.51999999999,97872.51999999999,48348.72
1736200500000000000,0.141152,97872.51999999999,97872.51999999999,47961.77
1736202300000000000,0.141152,97872.51999999999,97872.51999999999,47971.79
1736204100000000000,0.141152,97872.51999999999,97872.51999999999,47872.29
1736205900000000000,0.141152,97872.51999999999,97872.51999999999,47632.48
1736207700000000000,0.141152,97872.51999999999,97872.51999999999,48439.39
1736209500000000000,0.141152,97872.51999999999,97872.51999999999,48139.71
1736211300000000000,0.141152,97872.51999999999,97872.51999999999,48363.66
1736213100000000000,0.141152,97872.51999999999,97872.51999999999,48020.76
1736214900000000000,0.226695,97871.70999999999,97871.70999999999,47443.299999999996
1736216700000000000,0.068071,97980.03,97980.03,47552.060000000005
1736218500000000000,0.041411,98331.49,98331.49,47893.65
1736220300000000000,1.288137,98319.71999999999,98319.71999999999,47255.68
1736222100000000000,1.288137,98319.71999999999,98319.71999999999,47671.82
1736223900000000000,0.926147,98659.74,98659.74,48585.45
1736225700000000000,0.926147,98659.74,98659.74,49331.81
1736227500000000000,0.926147,98659.74,98659.74,49346.17
1736229300000000000,0.926147,98659.74,98659.74,50327.939999999995
1736231100000000000,0.926147,98659.74,98659.74,50951.65
1736232900000000000,0.926147,98659.74,98659.74,51009.6
1736234700000000000,0.926147,98659.74,98659.74,51309.92
1736236500000000000,0.926147,98659.74,98659.74,51108.86
1736238300000000000,0.926147,98659.74,98659.74,51417.19
1736240100000000000,0.926147,98659.74,98659.74,51246.03
1736241900000000000,0.926147,98659.74,98659.74,50632.34
1736243700000000000,0.678589,99559.71999999999,99559.71999999999,50863.08
1736245500000000000,0.580406,99924.8,99924.8,50467.83
1736247300000000000,0.580406,99924.8,99924.8,50409.09
1736249100000000000,0.580406,99924.8,99924.8,50897.19
1736250900000000000,0.580406,99924.8,99924.8,50447.340000000004
1736252700000000000,0.580406,99924.8,99924.8,50605.219999999994
1736254500000000000,0.580406,99924.8,99924.8,49769.2
1736256300000000000,0.580406,99924.8,99924.8,49810.54
1736258100000000000,0.580406,99924.8,99924.8,50501.25
1736259900000000000,0.580406,99924.8,99924.8,50617.17
1736261700000000000,0.580406,99924.8,99924.8,50584.34
