trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250102-095000-001-000-9,O-20250102-175500-001-000-40,SELL,FLAT,0.000000,1.007094,1735811400000000000,2025-01-02 09:50:00+00:00,1735864200000000000,2025-01-03 00:30:00+00:00,52800000000000.0,33949.758215225665,33204.59844112077,['25.04647156 USDT'],0.02195,624.70000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250102-175500-001-000-40,O-20250104-095000-001-000-107,BUY,FLAT,0.000000,3.262707,1735864200000000000,2025-01-03 00:30:00+00:00,1735984800000000000,2025-01-04 10:00:00+00:00,120600000000000.0,38664.96816666337,35150.556837376964,['81.37443271 USDT'],-0.09089,5234.39000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250104-095000-001-000-107,O-20250105-175000-001-000-138,SELL,FLAT,0.000000,0.947293,1735984800000000000,2025-01-04 10:00:00+00:00,1736112000000000000,2025-01-05 21:20:00+00:00,127200000000000.0,42422.13696381903,47577.43388050112,['26.56513102 USDT'],-0.12152,-7454.39000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250105-175000-001-000-138,O-20250106-175000-001-000-176,BUY,FLAT,0.000000,0.512269,1736112000000000000,2025-01-05 21:20:00+00:00,1736188200000000000,2025-01-06 18:30:00+00:00,76200000000000.0,48662.730681166126,48546.40737974639,['23.36090914 USDT'],-0.00239,-530.85000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250106-175000-001-000-176,O-20250107-021500-001-000-214,SELL,FLAT,0.000000,0.459634,1736188200000000000,2025-01-06 18:30:00+00:00,1736216400000000000,2025-01-07 02:20:00+00:00,28200000000000.0,47626.564439184236,47375.16000000001,['8.72808347 USDT'],0.00528,106.82000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250107-021500-001-000-214,O-20250107-175000-001-000-246,BUY,FLAT,0.000000,1.288137,1736216400000000000,2025-01-07 02:20:00+00:00,1736275500000000000,2025-01-07 18:45:00+00:00,59100000000000.0,47196.707049806515,49385.265730680294,['40.65107389 USDT'],0.04637,3925.58000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250107-175000-001-000-246,O-20250108-015000-001-000-247,SELL,FLAT,0.000000,0.012187,1736275500000000000,2025-01-07 18:45:00+00:00,1736301000000000000,2025-01-08 01:50:00+00:00,25500000000000.0,50832.259999999995,48706.62,['0.47976138 USDT'],0.04182,25.43000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-015000-001-000-247,O-20250108-015000-001-000-250,BUY,FLAT,0.000000,0.191327,1736301000000000000,2025-01-08 01:50:00+00:00,1736301000000000000,2025-01-08 01:50:00+00:00,,48706.62,48706.62,['11.19128447 USDT'],0.0,-11.19000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-015000-001-000-250,O-20250108-175000-001-000-278,SELL,FLAT,0.000000,0.595250,1736301000000000000,2025-01-08 01:50:00+00:00,1736358900000000000,2025-01-08 17:55:00+00:00,57900000000000.0,49548.511183976254,49003.72014969492,['26.09362993 USDT'],0.011,387.17000000 USDT,True
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-001,O-20250108-175000-001-000-278,O-20250108-175500-001-000-288,BUY,FLAT,0.000000,0.127525,1736358900000000000,2025-01-08 17:55:00+00:00,1736359800000000000,2025-01-08 18:10:00+00:00,900000000000.0,48921.25309233484,49124.409999999996,['2.50214534 USDT'],0.00415,23.41000000 USDT,True
