ts_ns,equity
1660561200000000000,99928.0
1660582800000000000,99928.0
1660604400000000000,99928.0
1660626000000000000,99928.0
1660647600000000000,99928.0
1660669200000000000,98488.49
1660690800000000000,98488.49
1660712400000000000,98488.49
1660734000000000000,98488.49
1660755600000000000,98488.49
1660777200000000000,98488.49
1660798800000000000,98488.49
1660820400000000000,98488.49
1660842000000000000,98416.49
1660863600000000000,98416.49
1660885200000000000,98416.49
1660906800000000000,98416.49
1660928400000000000,98416.49
1660950000000000000,98416.49
1660971600000000000,98416.49
1660993200000000000,98416.49
1661014800000000000,98416.49
1661036400000000000,98416.49
1661058000000000000,98416.49
1661079600000000000,98416.49
1661101200000000000,98416.49
1661122800000000000,98416.49
1661144400000000000,98416.49
1661166000000000000,98416.49
1661187600000000000,98416.49
1661209200000000000,98416.49
1661230800000000000,98416.49
1661252400000000000,98416.49
1661274000000000000,98416.49
1661295600000000000,98416.49
1661317200000000000,98416.49
1661338800000000000,98416.49
1661360400000000000,98416.49
1661382000000000000,98416.49
1661403600000000000,98416.49
1661425200000000000,98416.49
1661446800000000000,98416.49
1661468400000000000,98416.49
1661490000000000000,98416.49
1661511600000000000,98416.49
1661533200000000000,98416.49
1661554800000000000,98416.49
1661576400000000000,98416.49
1661598000000000000,98416.49
1661619600000000000,98416.49
1661641200000000000,98416.49
1661662800000000000,98416.49
1661684400000000000,98416.49
1661706000000000000,98416.49
1661727600000000000,98416.49
1661749200000000000,98416.49
1661770800000000000,98416.49
1661792400000000000,98416.49
1661814000000000000,98416.49
1661835600000000000,98416.49
1661857200000000000,98416.49
1661878800000000000,98416.49
1661900400000000000,98416.49
1661922000000000000,98416.49
1661943600000000000,98416.49
1661965200000000000,98416.49
1661986800000000000,98416.49
1662008400000000000,98416.49
1662030000000000000,98416.49
1662051600000000000,98416.49
1662073200000000000,98416.49
1662094800000000000,98416.49
1662116400000000000,98416.49
1662138000000000000,98416.49
1662159600000000000,98416.49
1662181200000000000,98416.49
1662202800000000000,98416.49
1662224400000000000,98416.49
1662246000000000000,98416.49
1662267600000000000,98416.49
1662289200000000000,98416.49
1662310800000000000,98416.49
1662332400000000000,98416.49
1662354000000000000,98416.49
1662375600000000000,98416.49
1662397200000000000,98416.49
1662418800000000000,98416.49
1662440400000000000,98416.49
1662462000000000000,116745.45999999999
1662483600000000000,116745.45999999999
1662505200000000000,116673.45999999999
1662526800000000000,116673.45999999999
1662548400000000000,116673.45999999999
1662570000000000000,116673.45999999999
1662591600000000000,116673.45999999999
1662613200000000000,116673.45999999999
1662634800000000000,116673.45999999999
1662656400000000000,116673.45999999999
1662678000000000000,116673.45999999999
1662699600000000000,116673.45999999999
1662721200000000000,103340.94
1662742800000000000,103340.94
1662764400000000000,103268.94
1662786000000000000,103268.94
1662807600000000000,103268.94
1662829200000000000,103268.94
1662850800000000000,103268.94
1662872400000000000,103268.94
1662894000000000000,103268.94
1662915600000000000,103268.94
1662937200000000000,103268.94
1662958800000000000,103268.94
1662980400000000000,103268.94
1663002000000000000,103268.94
1663023600000000000,103268.94
1663045200000000000,103268.94
1663066800000000000,103268.94
1663088400000000000,103268.94
1663110000000000000,103268.94
1663131600000000000,103268.94
1663153200000000000,103268.94
1663174800000000000,96961.35
1663196400000000000,96961.35
1663218000000000000,96961.35
1663239600000000000,96961.35
1663261200000000000,96889.35
1663282800000000000,96889.35
1663304400000000000,96889.35
1663326000000000000,96889.35
1663347600000000000,96889.35
1663369200000000000,96889.35
1663390800000000000,96889.35
1663412400000000000,96889.35
1663434000000000000,96889.35
1663455600000000000,96889.35
1663477200000000000,96889.35
1663498800000000000,96889.35
1663520400000000000,96889.35
1663542000000000000,96889.35
1663563600000000000,96889.35
1663585200000000000,96889.35
1663606800000000000,96889.35
1663628400000000000,96889.35
1663650000000000000,96889.35
1663671600000000000,96889.35
1663693200000000000,96889.35
1663714800000000000,96889.35
1663736400000000000,96889.35
1663758000000000000,96889.35
1663779600000000000,96889.35
1663801200000000000,96889.35
1663822800000000000,96889.35
1663844400000000000,96889.35
1663866000000000000,96889.35
1663887600000000000,96889.35
1663909200000000000,96889.35
1663930800000000000,96889.35
1663952400000000000,96889.35
1663974000000000000,96889.35
1663995600000000000,96889.35
1664017200000000000,96889.35
1664038800000000000,96889.35
1664060400000000000,96889.35
1664082000000000000,103718.33
1664103600000000000,103646.33
1664125200000000000,103646.33
1664146800000000000,103646.33
1664168400000000000,103646.33
1664190000000000000,103646.33
1664211600000000000,103646.33
1664233200000000000,103646.33
1664254800000000000,99004.73
1664276400000000000,98932.73
1664298000000000000,98932.73
1664319600000000000,98932.73
1664341200000000000,90322.55
1664362800000000000,90322.55
1664384400000000000,90322.55
1664406000000000000,90322.55
1664427600000000000,90250.55
1664449200000000000,90250.55
1664470800000000000,90250.55
1664492400000000000,89089.77
1664514000000000000,89089.77
1664535600000000000,89089.77
1664557200000000000,89017.77
1664578800000000000,89017.77
1664600400000000000,89017.77
1664622000000000000,89017.77
1664643600000000000,86508.65
1664665200000000000,86508.65
1664686800000000000,86508.65
1664708400000000000,86508.65
1664730000000000000,86508.65
1664751600000000000,86508.65
1664773200000000000,86508.65
1664794800000000000,86508.65
1664816400000000000,86508.65
1664838000000000000,86508.65
1664859600000000000,86508.65
1664881200000000000,86508.65
1664902800000000000,86436.65
1664924400000000000,86436.65
1664946000000000000,86436.65
1664967600000000000,86436.65
1664989200000000000,86436.65
1665010800000000000,86436.65
1665032400000000000,86436.65
1665054000000000000,86436.65
1665075600000000000,86436.65
1665097200000000000,86436.65
1665118800000000000,86436.65
1665140400000000000,86436.65
1665162000000000000,86436.65
1665183600000000000,86436.65
1665205200000000000,82818.26999999999
1665226800000000000,82818.26999999999
1665248400000000000,82818.26999999999
1665270000000000000,82818.26999999999
1665291600000000000,82818.26999999999
1665313200000000000,82818.26999999999
1665334800000000000,82818.26999999999
1665356400000000000,82818.26999999999
1665378000000000000,82818.26999999999
1665399600000000000,82818.26999999999
1665421200000000000,82818.26999999999
1665442800000000000,82818.26999999999
1665464400000000000,82746.26999999999
1665486000000000000,82746.26999999999
1665507600000000000,82746.26999999999
1665529200000000000,82746.26999999999
1665550800000000000,82746.26999999999
1665572400000000000,82746.26999999999
1665594000000000000,82746.26999999999
1665615600000000000,82746.26999999999
1665637200000000000,82746.26999999999
1665658800000000000,82746.26999999999
1665680400000000000,82746.26999999999
1665702000000000000,82746.26999999999
1665723600000000000,82746.26999999999
1665745200000000000,82746.26999999999
1665766800000000000,79333.92
1665788400000000000,79333.92
1665810000000000000,79333.92
1665831600000000000,79333.92
1665853200000000000,79261.92
1665874800000000000,79351.75
1665896400000000000,79351.75
1665918000000000000,79351.75
1665939600000000000,79351.75
1665961200000000000,79351.75
1665982800000000000,79351.75
1666004400000000000,79351.75
1666026000000000000,79351.75
1666047600000000000,79351.75
1666069200000000000,79351.75
1666090800000000000,79351.75
1666112400000000000,79351.75
1666134000000000000,79351.75
1666155600000000000,79351.75
1666177200000000000,79351.75
1666198800000000000,79351.75
1666220400000000000,79351.75
1666242000000000000,79351.75
1666263600000000000,79351.75
1666285200000000000,79351.75
1666306800000000000,79351.75
1666328400000000000,79351.75
1666350000000000000,79351.75
1666371600000000000,79351.75
1666393200000000000,79351.75
1666414800000000000,79351.75
1666436400000000000,79351.75
1666458000000000000,79351.75
1666479600000000000,79351.75
1666501200000000000,79351.75
1666522800000000000,79351.75
1666544400000000000,79351.75
1666566000000000000,79351.75
1666587600000000000,79351.75
1666609200000000000,79351.75
1666630800000000000,79351.75
1666652400000000000,79351.75
1666674000000000000,79351.75
1666695600000000000,79351.75
1666717200000000000,79351.75
1666738800000000000,79279.75
1666760400000000000,79279.75
1666782000000000000,79279.75
1666803600000000000,79279.75
1666825200000000000,79279.75
1666846800000000000,79279.75
1666868400000000000,79279.75
1666890000000000000,79279.75
1666911600000000000,79279.75
1666933200000000000,79279.75
1666954800000000000,79279.75
1666976400000000000,79279.75
1666998000000000000,79279.75
1667019600000000000,79279.75
1667041200000000000,79279.75
1667062800000000000,79279.75
1667084400000000000,79279.75
1667106000000000000,79279.75
1667127600000000000,79279.75
1667149200000000000,79279.75
1667170800000000000,79279.75
1667192400000000000,79279.75
1667214000000000000,79279.75
1667235600000000000,79279.75
1667257200000000000,79279.75
1667278800000000000,79279.75
1667300400000000000,79279.75
1667322000000000000,79279.75
1667343600000000000,79279.75
1667365200000000000,79279.75
1667386800000000000,79279.75
1667408400000000000,80394.09
1667430000000000000,80394.09
1667451600000000000,80394.09
1667473200000000000,80394.09
1667494800000000000,80394.09
1667516400000000000,80394.09
1667538000000000000,80394.09
1667559600000000000,80394.09
1667581200000000000,80394.09
1667602800000000000,80394.09
1667624400000000000,80394.09
1667646000000000000,80322.09
1667667600000000000,80322.09
1667689200000000000,80322.09
1667710800000000000,80322.09
1667732400000000000,80322.09
1667754000000000000,80322.09
1667775600000000000,80322.09
1667797200000000000,80322.09
1667818800000000000,80322.09
1667840400000000000,80322.09
1667862000000000000,80322.09
1667883600000000000,75982.56
1667905200000000000,75982.56
1667926800000000000,75910.56
1667948400000000000,75910.56
1667970000000000000,75910.56
1667991600000000000,75910.56
1668013200000000000,75910.56
1668034800000000000,75910.56
1668056400000000000,75910.56
1668078000000000000,75910.56
1668099600000000000,75910.56
1668121200000000000,75910.56
1668142800000000000,75910.56
1668164400000000000,75910.56
1668186000000000000,75910.56
1668207600000000000,75910.56
1668229200000000000,75910.56
1668250800000000000,75910.56
1668272400000000000,75910.56
1668294000000000000,75910.56
1668315600000000000,75910.56
1668337200000000000,75910.56
1668358800000000000,75910.56
1668380400000000000,75910.56
1668402000000000000,75910.56
1668423600000000000,75910.56
1668445200000000000,75910.56
1668466800000000000,75910.56
1668488400000000000,75910.56
1668510000000000000,75910.56
1668531600000000000,75910.56
1668553200000000000,75910.56
1668574800000000000,75910.56
1668596400000000000,75910.56
1668618000000000000,75910.56
1668639600000000000,75910.56
1668661200000000000,75910.56
1668682800000000000,75910.56
1668704400000000000,75910.56
1668726000000000000,75910.56
1668747600000000000,91064.29000000001
1668769200000000000,91064.29000000001
1668790800000000000,91064.29000000001
1668812400000000000,90992.29000000001
1668834000000000000,90992.29000000001
1668855600000000000,90992.29000000001
1668877200000000000,90992.29000000001
1668898800000000000,90628.54000000001
1668920400000000000,90628.54000000001
1668942000000000000,90628.54000000001
1668963600000000000,90628.54000000001
1668985200000000000,90628.54000000001
1669006800000000000,90628.54000000001
1669028400000000000,90556.54000000001
1669050000000000000,90556.54000000001
1669071600000000000,90556.54000000001
1669093200000000000,90556.54000000001
1669114800000000000,90556.54000000001
1669136400000000000,90556.54000000001
1669158000000000000,90556.54000000001
1669179600000000000,90556.54000000001
1669201200000000000,90556.54000000001
1669222800000000000,90556.54000000001
1669244400000000000,90556.54000000001
1669266000000000000,90556.54000000001
1669287600000000000,86357.94
1669309200000000000,86357.94
1669330800000000000,86357.94
1669352400000000000,86357.94
1669374000000000000,86357.94
1669395600000000000,86357.94
1669417200000000000,86357.94
1669438800000000000,86357.94
1669460400000000000,86357.94
1669482000000000000,86357.94
1669503600000000000,86357.94
1669525200000000000,86357.94
1669546800000000000,86357.94
1669568400000000000,86357.94
1669590000000000000,86357.94
1669611600000000000,86357.94
1669633200000000000,86357.94
1669654800000000000,86357.94
1669676400000000000,86357.94
1669698000000000000,86357.94
1669719600000000000,86357.94
1669741200000000000,86357.94
1669762800000000000,86357.94
1669784400000000000,86357.94
1669806000000000000,86357.94
1669827600000000000,86285.94
1669849200000000000,86285.94
1669870800000000000,86285.94
1669892400000000000,86285.94
1669914000000000000,86285.94
1669935600000000000,86285.94
1669957200000000000,86285.94
1669978800000000000,86285.94
1670000400000000000,86285.94
1670022000000000000,86285.94
1670043600000000000,86285.94
1670065200000000000,86285.94
1670086800000000000,86285.94
1670108400000000000,86285.94
1670130000000000000,86285.94
1670151600000000000,86285.94
1670173200000000000,86285.94
1670194800000000000,86285.94
1670216400000000000,86285.94
1670238000000000000,86285.94
1670259600000000000,86285.94
1670281200000000000,86285.94
1670302800000000000,86285.94
1670324400000000000,86285.94
1670346000000000000,86285.94
1670367600000000000,86285.94
1670389200000000000,86285.94
1670410800000000000,86285.94
1670432400000000000,86335.32
1670454000000000000,86335.32
1670475600000000000,86335.32
1670497200000000000,86335.32
1670518800000000000,86335.32
1670540400000000000,86335.32
1670562000000000000,86335.32
1670583600000000000,86335.32
1670605200000000000,86335.32
1670626800000000000,86335.32
1670648400000000000,86335.32
1670670000000000000,86335.32
1670691600000000000,86335.32
1670713200000000000,86335.32
1670734800000000000,86335.32
1670756400000000000,86335.32
1670778000000000000,86335.32
1670799600000000000,86335.32
1670821200000000000,86335.32
1670842800000000000,86335.32
1670864400000000000,86335.32
1670886000000000000,86335.32
1670907600000000000,86335.32
1670929200000000000,86335.32
1670950800000000000,86335.32
1670972400000000000,86263.32
1670994000000000000,86263.32
1671015600000000000,86263.32
1671037200000000000,86263.32
1671058800000000000,86263.32
1671080400000000000,86263.32
1671102000000000000,86263.32
1671123600000000000,86263.32
1671145200000000000,86263.32
1671166800000000000,86263.32
1671188400000000000,86263.32
1671210000000000000,86263.32
1671231600000000000,80090.65
1671253200000000000,80090.65
1671274800000000000,80018.65
1671296400000000000,80018.65
1671318000000000000,80018.65
1671339600000000000,80018.65
1671361200000000000,80018.65
1671382800000000000,80018.65
1671404400000000000,80018.65
1671426000000000000,80018.65
1671447600000000000,80018.65
1671469200000000000,80018.65
1671490800000000000,80018.65
1671512400000000000,80018.65
1671534000000000000,80018.65
1671555600000000000,80018.65
1671577200000000000,80018.65
1671598800000000000,80018.65
1671620400000000000,80018.65
1671642000000000000,80018.65
1671663600000000000,80018.65
1671685200000000000,80018.65
1671706800000000000,80018.65
1671728400000000000,80018.65
1671750000000000000,80018.65
1671771600000000000,80018.65
1671793200000000000,80018.65
1671814800000000000,80018.65
1671836400000000000,79198.83
1671858000000000000,79198.83
1671879600000000000,79198.83
1671901200000000000,79198.83
1671922800000000000,79198.83
1671944400000000000,79198.83
1671966000000000000,79198.83
1671987600000000000,79198.83
1672009200000000000,79198.83
1672030800000000000,79198.83
1672052400000000000,79198.83
1672074000000000000,79198.83
1672095600000000000,79198.83
1672117200000000000,79198.83
1672138800000000000,79198.83
1672160400000000000,79198.83
1672182000000000000,79198.83
1672203600000000000,79198.83
1672225200000000000,79198.83
1672246800000000000,79198.83
1672268400000000000,79198.83
1672290000000000000,79198.83
1672311600000000000,79198.83
1672333200000000000,79198.83
1672354800000000000,79198.83
1672376400000000000,79198.83
1672398000000000000,79198.83
1672419600000000000,79198.83
1672441200000000000,79198.83
1672462800000000000,79198.83
1672484400000000000,79198.83
1672506000000000000,79198.83
1672527600000000000,79198.83
1672549200000000000,79198.83
1672570800000000000,79198.83
1672592400000000000,79198.83
1672614000000000000,79198.83
1672635600000000000,79198.83
1672657200000000000,79198.83
1672678800000000000,79198.83
1672700400000000000,79198.83
1672722000000000000,79198.83
1672743600000000000,79198.83
1672765200000000000,79198.83
1672786800000000000,79198.83
1672808400000000000,79198.83
1672830000000000000,79198.83
1672851600000000000,79198.83
1672873200000000000,79198.83
1672894800000000000,79198.83
1672916400000000000,79198.83
1672938000000000000,79198.83
1672959600000000000,79198.83
1672981200000000000,79198.83
1673002800000000000,79198.83
1673024400000000000,79198.83
1673046000000000000,79198.83
1673067600000000000,79198.83
1673089200000000000,79198.83
1673110800000000000,79198.83
1673132400000000000,79198.83
1673154000000000000,79198.83
