trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20220823-170000-001-000-1,O-20220910-030000-001-000-2,SELL,FLAT,0.000000,2.801811,1661274000000000000,2022-08-23 17:00:00+00:00,1662778800000000000,2022-09-10 03:00:00+00:00,1504800000000000,21414.72,21303.070000000003,['71.81000000 USDT'],0.00521,241.01000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20220911-090000-001-000-3,O-20220916-160000-001-000-4,BUY,FLAT,0.000000,2.777263,1662886800000000000,2022-09-11 09:00:00+00:00,1663344000000000000,2022-09-16 16:00:00+00:00,457200000000000,21604.0,19535.54,['68.55000000 USDT'],-0.09574,-5813.21000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20220917-150000-001-000-5,O-20220930-110000-001-000-6,SELL,FLAT,0.000000,3.005509,1663426800000000000,2022-09-17 15:00:00+00:00,1664535600000000000,2022-09-30 11:00:00+00:00,1108800000000000,19963.34,19436.289999999997,['71.05000000 USDT'],0.0264,1513.00000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221005-050000-001-000-7,O-20221010-130000-001-000-8,BUY,FLAT,0.000000,2.970485,1664946000000000000,2022-10-05 05:00:00+00:00,1665406800000000000,2022-10-10 13:00:00+00:00,460800000000000,20198.72,19315.809999999998,['70.43000000 USDT'],-0.04371,-2693.10000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221012-230000-001-000-9,O-20221014-150000-001-000-10,SELL,FLAT,0.000000,3.132255,1665615600000000000,2022-10-12 23:00:00+00:00,1665759600000000000,2022-10-14 15:00:00+00:00,144000000000000,19155.53,19358.59,['72.38000000 USDT'],-0.0106,-708.42000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221015-060000-001-000-11,O-20221017-200000-001-000-12,SELL,FLAT,0.000000,3.130184,1665813600000000000,2022-10-15 06:00:00+00:00,1666036800000000000,2022-10-17 20:00:00+00:00,223200000000000,19168.2,19526.969999999998,['72.67000000 USDT'],-0.01872,-1195.69000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221021-040000-001-000-13,O-20221024-040000-001-000-14,SELL,FLAT,0.000000,3.150026,1666324800000000000,2022-10-21 04:00:00+00:00,1666584000000000000,2022-10-24 04:00:00+00:00,259200000000000,19047.46,19336.06,['72.55000000 USDT'],-0.01515,-981.65000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221026-080000-001-000-15,O-20221108-230000-001-000-16,BUY,FLAT,0.000000,2.902612,1666771200000000000,2022-10-26 08:00:00+00:00,1667948400000000000,2022-11-08 23:00:00+00:00,1177200000000000,20671.04,18547.230000000003,['68.30000000 USDT'],-0.10274,-6232.90000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221109-090000-001-000-17,O-20221126-110000-001-000-18,SELL,FLAT,0.000000,3.377620,1667984400000000000,2022-11-09 09:00:00+00:00,1669460400000000000,2022-11-26 11:00:00+00:00,1476000000000000,17763.99,16580.31,['69.60000000 USDT'],0.06663,3928.42000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221127-040000-001-000-19,O-20221127-170000-001-000-20,SELL,FLAT,0.000000,3.621942,1669521600000000000,2022-11-27 04:00:00+00:00,1669568400000000000,2022-11-27 17:00:00+00:00,46800000000000,16565.7,16534.2,['71.93000000 USDT'],0.0019,42.16000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221201-100000-001-000-21,O-20221217-070000-001-000-22,BUY,FLAT,0.000000,3.509529,1669888800000000000,2022-12-01 10:00:00+00:00,1671260400000000000,2022-12-17 07:00:00+00:00,1371600000000000,17096.31,16745.54,['71.26000000 USDT'],-0.02052,-1302.30000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20221219-160000-001-000-23,O-20230102-140000-001-000-24,SELL,FLAT,0.000000,3.606667,1671465600000000000,2022-12-19 16:00:00+00:00,1672668000000000000,2023-01-02 14:00:00+00:00,1202400000000000,16635.86,16698.69,['72.14000000 USDT'],-0.00378,-298.75000000 USDT,True
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-001,O-20230109-140000-001-000-25,O-20230206-220000-001-000-26,BUY,FLAT,0.000000,3.475390,1673272800000000000,2023-01-09 14:00:00+00:00,1675720800000000000,2023-02-06 22:00:00+00:00,2448000000000000,17264.25,22879.37,['83.71000000 USDT'],0.32525,19431.02000000 USDT,True
