trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-003,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-43d79dd2a409e2a2-574,LIMIT,SELL,0.204660,24430.78,GTC,,0.204660,MAKER,24430.78,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,64e718ee-f5d6-4cdf-af5a-fc0c935ae287,2022-08-12 06:00:00+00:00,2022-08-12 23:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-007,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-1859141f241f87d2-589,MARKET,BUY,0.204660,,GTC,,0.204660,TAKER,24681.25,0.0,['3.03000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,9a70ed15-ef4d-4389-9499-66f141db593c,2022-08-13 02:00:00+00:00,2022-08-13 02:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-010,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-cbea8564c438830f-781,LIMIT,SELL,0.200828,24896.88,GTC,,0.200828,MAKER,24896.88,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,1ebbfab3-dd41-4bc1-8630-85aa7873a15f,2022-08-14 15:00:00+00:00,2022-08-15 02:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-008,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-15773aa1d115a27b-749,LIMIT,BUY,0.207020,24152.20,GTC,,0.207020,MAKER,24152.2,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,1d21787d-36fe-4969-8c9e-f09e95a17e94,2022-08-14 15:00:00+00:00,2022-08-14 18:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-009,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-44b311b8775b477f-868,LIMIT,BUY,0.210262,23779.87,GTC,,0.210262,MAKER,23779.870000000003,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,e059d101-0689-402a-81d6-ae0f98fcd211,2022-08-14 15:00:00+00:00,2022-08-15 23:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-012,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-cbea8564c438830f-782,LIMIT,SELL,0.200828,24896.88,GTC,,0.200828,MAKER,24896.88,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,b6c57ff1-0937-4f72-b9ef-20332751241f,2022-08-14 18:00:00+00:00,2022-08-15 02:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-014,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-44b311b8775b477f-869,LIMIT,BUY,0.210262,23779.87,GTC,,0.210262,MAKER,23779.870000000003,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,56e9898c-d061-42cc-8e67-f5063fd08249,2022-08-15 02:00:00+00:00,2022-08-15 23:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-020,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-906a00787236998a-1051,MARKET,SELL,0.225888,,GTC,,0.225888,TAKER,23402.390000000003,0.0,['3.17000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c6d2bea1-d221-4871-8bc5-250e5a6c60aa,2022-08-17 20:00:00+00:00,2022-08-17 20:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-025,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-67ab586644b30d6c-1879,LIMIT,BUY,0.235992,21187.17,GTC,,0.235992,MAKER,21187.17,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,4311ac7e-ce44-4765-928f-7976bf851c02,2022-08-26 09:00:00+00:00,2022-08-26 11:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-026,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-62193b8ba398642f-1898,LIMIT,BUY,0.132376,20936.12,GTC,,0.132376,MAKER,20936.12,0.0,['0.55000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2be180ce-c57f-4b8d-9ec0-46049a6f1afc,2022-08-26 09:00:00+00:00,2022-08-26 15:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-027,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-814681cd0883f8cb-1883,LIMIT,SELL,0.230529,21689.27,GTC,,0.230529,MAKER,21689.27,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,0b08c393-e220-44c6-a1f5-dfcc51a01142,2022-08-26 09:00:00+00:00,2022-08-26 12:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-029,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-814681cd0883f8cb-1884,LIMIT,SELL,0.230529,21689.27,GTC,,0.230529,MAKER,21689.27,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,99433b1f-1797-407d-a67c-e31326a73ef4,2022-08-26 11:00:00+00:00,2022-08-26 12:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-031,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-62193b8ba398642f-1899,LIMIT,BUY,0.238822,20936.12,GTC,,0.238822,MAKER,20936.12,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,83b998bf-df15-41c3-84c9-773fd0331bac,2022-08-26 12:00:00+00:00,2022-08-26 15:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-033,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-258ce73117ad102c-1977,MARKET,SELL,0.146132,,GTC,,0.146132,TAKER,20180.8,0.0,['1.77000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,0fba5419-538c-419d-a17b-a8ce818d052c,2022-08-27 10:00:00+00:00,2022-08-27 10:00:00+00:00
