trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220812-060000-001-000-3,O-20220813-020000-001-000-7,SELL,FLAT,0.000000,0.204660,1660345200000000000,2022-08-12 23:00:00+00:00,1660356000000000000,2022-08-13 02:00:00+00:00,10800000000000.0,24430.78,24681.25,['4.03000000 USDT'],-0.01025,-55.29000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-8,O-20220814-180000-001-000-12,BUY,FLAT,0.000000,0.207020,1660500000000000000,2022-08-14 18:00:00+00:00,1660528800000000000,2022-08-15 02:00:00+00:00,28800000000000.0,24152.2,24896.88,['2.03083235 USDT'],0.03083,152.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-180000-001-000-12,O-20220814-150000-001-000-9,SELL,FLAT,0.000000,0.194636,1660528800000000000,2022-08-15 02:00:00+00:00,1660604400000000000,2022-08-15 23:00:00+00:00,75600000000000.0,24896.88,23779.870000000003,['1.89485085 USDT'],0.04487,215.51000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-9,O-20220817-200000-001-000-20,BUY,FLAT,0.000000,0.225888,1660604400000000000,2022-08-15 23:00:00+00:00,1660766400000000000,2022-08-17 20:00:00+00:00,162000000000000.0,23779.870000000003,23402.390000000003,['4.24431680 USDT'],-0.01587,-89.51000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220826-090000-001-000-25,O-20220826-110000-001-000-29,BUY,FLAT,0.000000,0.235992,1661511600000000000,2022-08-26 11:00:00+00:00,1661515200000000000,2022-08-26 12:00:00+00:00,3600000000000.0,21187.17,21689.27,['2.02369767 USDT'],0.0237,116.47000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220826-110000-001-000-29,O-20220826-120000-001-000-31,SELL,FLAT,0.000000,0.225066,1661515200000000000,2022-08-26 12:00:00+00:00,1661526000000000000,2022-08-26 15:00:00+00:00,10800000000000.0,21689.27,20936.12,['1.91441565 USDT'],0.03472,167.59000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220826-120000-001-000-31,O-20220827-100000-001-000-33,BUY,FLAT,0.000000,0.146132,1661526000000000000,2022-08-26 15:00:00+00:00,1661594400000000000,2022-08-27 10:00:00+00:00,68400000000000.0,20936.12,20180.8,['2.38188668 USDT'],-0.03608,-112.76000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220830-190000-001-000-36,O-20220906-000000-001-000-48,SELL,FLAT,0.000000,0.494898,1661914800000000000,2022-08-31 03:00:00+00:00,1662483600000000000,2022-09-06 17:00:00+00:00,568800000000000.0,20206.16856481538,19400.158254670663,['3.92022224 USDT'],0.03989,394.97000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220906-000000-001-000-48,O-20220907-060000-001-000-51,BUY,FLAT,0.000000,0.123312,1662483600000000000,2022-09-06 17:00:00+00:00,1662530400000000000,2022-09-07 06:00:00+00:00,46800000000000.0,19453.8,18792.95,['1.86977776 USDT'],-0.03397,-83.36000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220909-070000-001-000-54,O-20220909-170000-001-000-58,SELL,FLAT,0.000000,0.192748,1662717600000000000,2022-09-09 10:00:00+00:00,1662742800000000000,2022-09-09 17:00:00+00:00,25200000000000.0,21143.09,21246.72,['3.28000000 USDT'],-0.0049,-23.25000000 USDT,True
