total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.05000000,0.00000000,99998.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.05000000,0.00000000,99998.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.05000000,0.00000000,99998.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100038.82000000,0.00000000,100038.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100078.33000000,0.00000000,100078.33000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100078.33000000,0.00000000,100078.33000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100077.33000000,0.00000000,100077.33000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100077.13000000,0.00000000,100077.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.87000000,0.00000000,100076.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.56000000,0.00000000,100076.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.56000000,0.00000000,100076.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.56000000,0.00000000,100076.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.56000000,0.00000000,100076.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100076.56000000,0.00000000,100076.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100105.05000000,0.00000000,100105.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100105.05000000,0.00000000,100105.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100105.05000000,0.00000000,100105.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100104.05000000,0.00000000,100104.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100103.05000000,0.00000000,100103.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100103.05000000,0.00000000,100103.05000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.07000000,0.00000000,100137.07000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100171.09000000,0.00000000,100171.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100187.89000000,0.00000000,100187.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100187.89000000,0.00000000,100187.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100187.89000000,0.00000000,100187.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100187.89000000,0.00000000,100187.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100186.89000000,0.00000000,100186.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100186.89000000,0.00000000,100186.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100186.89000000,0.00000000,100186.89000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100196.79000000,0.00000000,100196.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100198.31000000,0.00000000,100198.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100198.31000000,0.00000000,100198.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.31000000,0.00000000,100197.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100196.31000000,0.00000000,100196.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100195.31000000,0.00000000,100195.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100194.31000000,0.00000000,100194.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100194.31000000,0.00000000,100194.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100194.31000000,0.00000000,100194.31000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100201.28000000,0.00000000,100201.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100219.29000000,0.00000000,100219.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100219.29000000,0.00000000,100219.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100219.29000000,0.00000000,100219.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100219.29000000,0.00000000,100219.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100219.29000000,0.00000000,100219.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100218.29000000,0.00000000,100218.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
