trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250807-164000-001-000-5,BUY,FLAT,0.000000,0.084119,1754584800000000000,2025-08-07 16:40:00+00:00,1754595600000000000,2025-08-07 19:40:00+00:00,10800000000000.0,116104.68126796564,117082.8,['3.91976935 USDT'],0.00842,78.36000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-164000-001-000-5,O-20250808-235500-001-000-17,SELL,FLAT,0.000000,0.119070,1754595600000000000,2025-08-07 19:40:00+00:00,1754700900000000000,2025-08-09 00:55:00+00:00,105300000000000.0,117122.27725989142,116431.6065182601,['7.57183976 USDT'],0.0059,109.76000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-235500-001-000-17,O-20250809-005500-001-000-21,BUY,FLAT,0.000000,0.052716,1754700900000000000,2025-08-09 00:55:00+00:00,1754716500000000000,2025-08-09 05:15:00+00:00,15600000000000.0,116510.70066583203,116765.15999999997,['2.45946910 USDT'],0.00218,10.96000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250809-005500-001-000-21,O-20250820-235500-001-000-115,SELL,FLAT,0.000000,0.343585,1754716500000000000,2025-08-09 05:15:00+00:00,1755735300000000000,2025-08-21 00:15:00+00:00,1018800000000000.0,115664.43951028032,116716.87953148753,['60.07296701 USDT'],-0.0091,957.48000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-115,O-20250820-235500-001-000-117,BUY,FLAT,0.000000,0.011656,1755735300000000000,2025-08-21 00:15:00+00:00,1755737100000000000,2025-08-21 00:45:00+00:00,1800000000000.0,114083.74,114458.73999999999,['0.53278016 USDT'],0.00329,3.83000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-117,O-20250821-155500-001-000-123,SELL,FLAT,0.000000,0.162936,1755737100000000000,2025-08-21 00:45:00+00:00,1755804000000000000,2025-08-21 19:20:00+00:00,66900000000000.0,114559.1137663868,113567.8206900869,['7.43400477 USDT'],0.00865,154.09000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-123,O-20250821-155500-001-000-125,BUY,FLAT,0.000000,0.013334,1755804000000000000,2025-08-21 19:20:00+00:00,1755829200000000000,2025-08-22 02:20:00+00:00,25200000000000.0,112183.11,113401.05,['0.60158985 USDT'],0.01086,15.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-125,O-20250822-075500-001-000-131,SELL,FLAT,0.000000,0.074848,1755829200000000000,2025-08-22 02:20:00+00:00,1755860700000000000,2025-08-22 11:05:00+00:00,31500000000000.0,113401.05,112666.52723305902,['3.38414918 USDT'],0.00648,51.59000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-075500-001-000-131,O-20250822-075500-001-000-133,BUY,FLAT,0.000000,0.013932,1755860700000000000,2025-08-22 11:05:00+00:00,1755871200000000000,2025-08-22 14:00:00+00:00,10500000000000.0,112486.33,113703.33,['0.63025440 USDT'],0.01082,16.33000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-075500-001-000-133,O-20250822-180500-001-000-138,SELL,FLAT,0.000000,0.250266,1755871200000000000,2025-08-22 14:00:00+00:00,1755885900000000000,2025-08-22 18:05:00+00:00,14700000000000.0,113542.52120855408,117218.0,['23.28317642 USDT'],-0.03237,-943.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-221500-001-000-139,O-20250823-141500-001-000-150,BUY,FLAT,0.000000,0.129533,1755912900000000000,2025-08-23 01:35:00+00:00,1756001100000000000,2025-08-24 02:05:00+00:00,88200000000000.0,115801.0972758293,115386.89173492466,['5.98929628 USDT'],-0.00358,-59.65000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250823-141500-001-000-150,O-20250824-061500-001-000-156,SELL,FLAT,0.000000,0.087188,1756001100000000000,2025-08-24 02:05:00+00:00,1756042800000000000,2025-08-24 13:40:00+00:00,41700000000000.0,115309.34693799606,114732.0029008579,['4.01134539 USDT'],0.00501,46.33000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-156,O-20250929-071500-001-000-451,BUY,FLAT,0.000000,0.401569,1756042800000000000,2025-08-24 13:40:00+00:00,1759134300000000000,2025-09-29 08:25:00+00:00,3091500000000000.0,111466.77077785888,112621.8706643132,['163.96671031 USDT'],0.01036,-330.51000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250929-071500-001-000-451,O-20250929-235500-001-000-460,SELL,FLAT,0.000000,0.127264,1759134300000000000,2025-09-29 08:25:00+00:00,1759209900000000000,2025-09-30 05:25:00+00:00,75600000000000.0,113647.92096178027,113933.47,['5.79259105 USDT'],-0.00251,-42.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250929-235500-001-000-460,O-20251001-061500-001-000-473,BUY,FLAT,0.000000,0.136223,1759209900000000000,2025-09-30 05:25:00+00:00,1759307100000000000,2025-10-01 08:25:00+00:00,97200000000000.0,113784.89854995118,114342.13263604531,['6.21525756 USDT'],0.0049,69.69000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251001-061500-001-000-473,O-20251010-192000-001-000-553,SELL,FLAT,0.000000,0.327876,1759307100000000000,2025-10-01 08:25:00+00:00,1760124000000000000,2025-10-10 19:20:00+00:00,816900000000000.0,122890.28544603566,121037.95867642578,['58.80479941 USDT'],0.01507,866.73000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251011-050500-001-000-554,O-20251011-210500-001-000-565,BUY,FLAT,0.000000,0.089687,1760166000000000000,2025-10-11 07:00:00+00:00,1760244300000000000,2025-10-12 04:45:00+00:00,78300000000000.0,111498.68605182467,111092.15987824323,['3.99270301 USDT'],-0.00365,-40.45000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251011-210500-001-000-565,O-20251012-130500-001-000-570,SELL,FLAT,0.000000,0.000327,1760244300000000000,2025-10-12 04:45:00+00:00,1760277300000000000,2025-10-12 13:55:00+00:00,33000000000000.0,111574.53,111331.49,['0.01457806 USDT'],0.00218,0.06000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251012-130500-001-000-570,O-20251012-135500-001-000-574,BUY,FLAT,0.000000,0.044584,1760277300000000000,2025-10-12 13:55:00+00:00,1760280300000000000,2025-10-12 14:45:00+00:00,3000000000000.0,111331.49,112211.87,['1.99327998 USDT'],0.00791,37.26000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251012-135500-001-000-574,O-20251017-050500-001-000-626,SELL,FLAT,0.000000,0.313846,1760280300000000000,2025-10-12 14:45:00+00:00,1760681700000000000,2025-10-17 06:15:00+00:00,401400000000000.0,112324.44539492654,111659.90669902554,['27.98501134 USDT'],0.00592,744.78000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251017-050500-001-000-626,O-20251017-103500-001-000-633,BUY,FLAT,0.000000,0.029779,1760681700000000000,2025-10-17 06:15:00+00:00,1760697300000000000,2025-10-17 10:35:00+00:00,15600000000000.0,108202.83,104392.68,['2.51442761 USDT'],-0.03521,-115.97000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20251017-140500-001-000-636,O-20251018-220500-001-000-650,SELL,FLAT,0.000000,0.186663,1760716200000000000,2025-10-17 15:50:00+00:00,1760834100000000000,2025-10-19 00:35:00+00:00,117900000000000.0,107144.87633987454,106761.37125198888,['7.98564460 USDT'],0.00358,63.60000000 USDT,True
