trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250807-164500-001-000-7,BUY,FLAT,0.000000,0.086101,1754584800000000000,2025-08-07 16:40:00+00:00,1754595600000000000,2025-08-07 19:40:00+00:00,10800000000000.0,116143.70473153623,117053.69,['4.01570877 USDT'],0.00783,74.33000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-164500-001-000-7,O-20250808-075500-001-000-10,SELL,FLAT,0.000000,0.082797,1754595600000000000,2025-08-07 19:40:00+00:00,1754650200000000000,2025-08-08 10:50:00+00:00,54600000000000.0,117232.793127408,116467.5421788229,['3.87290255 USDT'],0.00653,59.49000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-10,O-20250808-075500-001-000-11,BUY,FLAT,0.000000,0.003068,1754650200000000000,2025-08-08 10:50:00+00:00,1754661600000000000,2025-08-08 14:00:00+00:00,11400000000000.0,116345.33,117053.12,['0.14321188 USDT'],0.00608,2.03000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-11,O-20250812-075500-001-000-40,SELL,FLAT,0.000000,0.296127,1754661600000000000,2025-08-08 14:00:00+00:00,1754989800000000000,2025-08-12 09:10:00+00:00,328200000000000.0,117605.45864897821,118249.70259529594,['19.94008778 USDT'],-0.00548,-438.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-40,O-20250812-075500-001-000-41,BUY,FLAT,0.000000,0.041644,1754989800000000000,2025-08-12 09:10:00+00:00,1755001800000000000,2025-08-12 12:30:00+00:00,12000000000000.0,118635.41,119162.38,['1.98055804 USDT'],0.00444,19.96000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-41,O-20250814-163500-001-000-65,SELL,FLAT,0.000000,0.209930,1755001800000000000,2025-08-12 12:30:00+00:00,1755189300000000000,2025-08-14 16:35:00+00:00,187500000000000.0,120258.3879650916,119353.2116864427,['18.79753098 USDT'],0.00753,152.16000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250814-204500-001-000-66,O-20250814-213000-001-000-70,BUY,FLAT,0.000000,0.042569,1755207000000000000,2025-08-14 21:30:00+00:00,1755213000000000000,2025-08-14 23:10:00+00:00,6000000000000.0,117456.11,118389.10999999997,['2.00793200 USDT'],0.00794,37.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250814-213000-001-000-70,O-20250816-044500-001-000-82,SELL,FLAT,0.000000,0.126035,1755213000000000000,2025-08-14 23:10:00+00:00,1755321300000000000,2025-08-16 05:15:00+00:00,108300000000000.0,118700.520343476,117965.89743118973,['5.96562219 USDT'],0.00619,86.62000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250816-044500-001-000-82,O-20250816-204500-001-000-93,BUY,FLAT,0.000000,0.128777,1755321300000000000,2025-08-16 05:15:00+00:00,1755406200000000000,2025-08-17 04:50:00+00:00,84900000000000.0,117507.09980299277,117809.50692266478,['6.06066428 USDT'],0.00257,32.87000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250816-204500-001-000-93,O-20250820-055500-001-000-123,SELL,FLAT,0.000000,0.297142,1755406200000000000,2025-08-17 04:50:00+00:00,1755690000000000000,2025-08-20 11:40:00+00:00,283800000000000.0,115282.85629193323,115321.68654780755,['29.74856434 USDT'],-0.00034,863.53000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-055500-001-000-123,O-20250822-165000-001-000-144,BUY,FLAT,0.000000,0.321110,1755690000000000000,2025-08-20 11:40:00+00:00,1755881400000000000,2025-08-22 16:50:00+00:00,191400000000000.0,112630.54411228672,114985.17659113345,['35.45721719 USDT'],0.02091,1008.47000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-222000-001-000-147,O-20250822-222000-001-000-145,SELL,FLAT,0.000000,0.042773,1755906000000000000,2025-08-22 23:40:00+00:00,1755913200000000000,2025-08-23 01:40:00+00:00,7200000000000.0,116895.74,116367.4,['1.99548491 USDT'],0.00452,20.60000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-222000-001-000-145,O-20250823-144000-001-000-158,BUY,FLAT,0.000000,0.172874,1755913200000000000,2025-08-23 01:40:00+00:00,1756001100000000000,2025-08-24 02:05:00+00:00,87900000000000.0,115821.67327377167,115490.16542418179,['7.99757643 USDT'],-0.00286,-65.30000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250823-144000-001-000-158,O-20250824-062500-001-000-165,SELL,FLAT,0.000000,0.043761,1756001100000000000,2025-08-24 02:05:00+00:00,1756022400000000000,2025-08-24 08:00:00+00:00,21300000000000.0,115049.8896092411,114780.25000000001,['2.01150686 USDT'],0.00234,9.79000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250824-062500-001-000-165,O-20250826-003500-001-000-185,BUY,FLAT,0.000000,0.251459,1756022400000000000,2025-08-24 08:00:00+00:00,1756168500000000000,2025-08-26 00:35:00+00:00,146100000000000.0,112732.53773018574,110028.61792980392,['24.20543180 USDT'],-0.02399,-910.09000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250826-031500-001-000-188,O-20250906-111500-001-000-301,SELL,FLAT,0.000000,0.358847,1756185000000000000,2025-08-26 05:10:00+00:00,1757173500000000000,2025-09-06 15:45:00+00:00,988500000000000.0,111019.26487512502,110059.87564699078,['75.89780811 USDT'],0.00864,450.97000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250906-111500-001-000-301,O-20250907-040500-001-000-313,BUY,FLAT,0.000000,0.213166,1757173500000000000,2025-09-06 15:45:00+00:00,1757231100000000000,2025-09-07 07:45:00+00:00,57600000000000.0,110529.11229501892,110837.9680382425,['9.43760336 USDT'],0.00279,56.40000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250907-040500-001-000-313,O-20250907-191500-001-000-317,SELL,FLAT,0.000000,0.147269,1757231100000000000,2025-09-07 07:45:00+00:00,1757292600000000000,2025-09-08 00:50:00+00:00,61500000000000.0,111176.74549803419,110924.22824226417,['6.54175294 USDT'],0.00227,30.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250907-191500-001-000-317,O-20250910-114000-001-000-341,BUY,FLAT,0.000000,0.303247,1757292600000000000,2025-09-08 00:50:00+00:00,1757507400000000000,2025-09-10 12:30:00+00:00,214800000000000.0,111658.43674774082,112218.38125547973,['19.53711087 USDT'],0.00501,337.34000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250910-114000-001-000-341,O-20250911-035500-001-000-350,SELL,FLAT,0.000000,0.096169,1757507400000000000,2025-09-10 12:30:00+00:00,1757583900000000000,2025-09-11 09:45:00+00:00,76500000000000.0,114159.52997223636,113827.48000000001,['4.38506588 USDT'],0.00291,27.55000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250911-035500-001-000-350,O-20250913-042500-001-000-372,BUY,FLAT,0.000000,0.167606,1757583900000000000,2025-09-11 09:45:00+00:00,1757752800000000000,2025-09-13 08:40:00+00:00,168900000000000.0,115156.33116685582,115272.50424527543,['13.67882336 USDT'],0.00101,273.96000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250913-042500-001-000-372,O-20250913-031500-001-000-369,SELL,FLAT,0.000000,0.005680,1757752800000000000,2025-09-13 08:40:00+00:00,1757780100000000000,2025-09-13 16:15:00+00:00,27300000000000.0,116051.39,115603.3,['0.26316192 USDT'],0.00386,2.28000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250913-031500-001-000-369,O-20250913-191500-001-000-379,BUY,FLAT,0.000000,0.080822,1757780100000000000,2025-09-13 16:15:00+00:00,1757793600000000000,2025-09-13 20:00:00+00:00,13500000000000.0,115603.3,115757.54739080944,['3.73981391 USDT'],0.00133,8.73000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250913-191500-001-000-379,O-20250913-191500-001-000-376,SELL,FLAT,0.000000,0.005563,1757793600000000000,2025-09-13 20:00:00+00:00,1757823300000000000,2025-09-14 04:15:00+00:00,29700000000000.0,115819.41,115472.29000000001,['0.25733540 USDT'],0.003,1.67000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250913-191500-001-000-376,O-20250915-031500-001-000-395,BUY,FLAT,0.000000,0.210685,1757823300000000000,2025-09-14 04:15:00+00:00,1757910000000000000,2025-09-15 04:20:00+00:00,86700000000000.0,115535.3536358884,115920.50304135584,['11.76062430 USDT'],0.00333,76.25000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-031500-001-000-395,O-20250915-042000-001-000-398,SELL,FLAT,0.000000,0.047932,1757910000000000000,2025-09-15 04:20:00+00:00,1757925900000000000,2025-09-15 08:45:00+00:00,15900000000000.0,115883.61,115228.79,['2.21552753 USDT'],0.00565,29.17000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-042000-001-000-398,O-20250915-191500-001-000-401,BUY,FLAT,0.000000,0.038852,1757925900000000000,2025-09-15 08:45:00+00:00,1757965200000000000,2025-09-15 19:40:00+00:00,39300000000000.0,115228.79000000001,115528.43,['1.79308263 USDT'],0.0026,9.84000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-191500-001-000-401,O-20250916-111500-001-000-408,SELL,FLAT,0.000000,0.090904,1757965200000000000,2025-09-15 19:40:00+00:00,1758030300000000000,2025-09-16 13:45:00+00:00,65100000000000.0,115632.65774102349,115072.06959253718,['4.19440231 USDT'],0.00485,46.76000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250916-111500-001-000-408,O-20250916-134000-001-000-413,BUY,FLAT,0.000000,0.083016,1758030300000000000,2025-09-16 13:45:00+00:00,1758038100000000000,2025-09-16 15:55:00+00:00,7800000000000.0,114910.54000000001,115586.45999999998,['3.82697759 USDT'],0.00588,52.28000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250916-134000-001-000-413,O-20250917-031500-001-000-416,SELL,FLAT,0.000000,0.046758,1758038100000000000,2025-09-16 15:55:00+00:00,1758084300000000000,2025-09-17 04:45:00+00:00,46200000000000.0,115586.45999999999,116403.45612772147,['2.16945954 USDT'],-0.00707,-40.37000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250917-031500-001-000-416,O-20250917-031500-001-000-417,BUY,FLAT,0.000000,0.039227,1758084300000000000,2025-09-17 04:45:00+00:00,1758087900000000000,2025-09-17 05:45:00+00:00,3600000000000.0,116177.69,116915.09000000001,['1.82869770 USDT'],0.00635,27.10000000 USDT,True
