total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.60000000,0.00000000,99999.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.92000000,0.00000000,100006.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.92000000,0.00000000,100006.92000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100006.38000000,0.00000000,100006.38000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100005.38000000,0.00000000,100005.38000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100004.38000000,0.00000000,100004.38000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.56000000,0.00000000,100003.56000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.63000000,0.00000000,100002.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.38000000,0.00000000,100002.38000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.09000000,0.00000000,100002.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.97000000,0.00000000,100001.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.83000000,0.00000000,100001.83000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.73000000,0.00000000,100001.73000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.62000000,0.00000000,100001.62000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.52000000,0.00000000,100001.52000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
