ts_ns,equity
1754556900000000000,100000.0
1754558700000000000,99999.6
1754560500000000000,99999.6
1754562300000000000,100001.42
1754563500000000000,100001.22
1754563800000000000,99747.14
1754564100000000000,99747.14
1754564400000000000,99747.14
1754564700000000000,99747.14
1754565000000000000,99747.14
1754565300000000000,99747.14
1754565600000000000,99747.14
1754565900000000000,99747.14
1754566200000000000,99747.14
1754566500000000000,99747.14
1754566800000000000,99747.14
1754567100000000000,99747.14
1754567400000000000,99747.14
1754567700000000000,99747.14
1754568000000000000,99747.14
1754568300000000000,99747.14
1754568600000000000,99747.14
1754568900000000000,99747.14
1754569200000000000,99747.14
1754569500000000000,99747.14
1754569800000000000,99747.14
1754570100000000000,99747.14
1754570400000000000,99747.14
1754570700000000000,99747.14
1754571000000000000,99747.14
1754571300000000000,99747.14
1754571600000000000,99747.14
1754571900000000000,99747.14
1754572200000000000,99747.14
1754572500000000000,99747.14
1754572800000000000,99747.14
1754573100000000000,99747.14
1754573400000000000,99747.14
1754573700000000000,99747.14
1754574000000000000,99747.14
1754574300000000000,99747.14
1754574600000000000,99747.14
1754574900000000000,99747.14
1754575200000000000,99747.14
1754575500000000000,99747.14
1754575800000000000,99747.14
1754576100000000000,99747.14
1754576400000000000,99747.14
1754576700000000000,99747.14
1754577000000000000,99747.14
1754577300000000000,99747.14
1754577600000000000,99747.14
1754577900000000000,99747.14
1754578200000000000,99747.14
1754578500000000000,99747.14
1754578800000000000,99747.14
1754579100000000000,99747.14
1754579400000000000,99747.14
1754579700000000000,99747.14
1754580000000000000,99747.14
1754580300000000000,99747.14
1754580600000000000,99747.14
1754580900000000000,99747.14
1754581200000000000,99747.14
1754581500000000000,99747.14
1754581800000000000,99747.14
1754582100000000000,99747.14
1754582400000000000,99747.14
1754582700000000000,99747.14
1754583000000000000,99747.14
1754583300000000000,99747.14
1754583600000000000,99747.14
1754583900000000000,99747.14
1754584200000000000,99747.14
1754584500000000000,99747.14
1754584800000000000,99747.14
1754585100000000000,99747.14
1754585400000000000,99747.14
1754585700000000000,99747.14
1754586000000000000,99747.14
1754586300000000000,99747.14
1754586600000000000,99747.14
1754586900000000000,99747.14
1754587200000000000,99747.14
1754587500000000000,99747.14
1754587800000000000,99747.14
1754589300000000000,99747.14
1754591100000000000,99747.14
1754592900000000000,99747.14
1754594700000000000,99746.14
1754596500000000000,99745.11
1754598300000000000,99745.11
1754600100000000000,99745.11
1754601600000000000,99745.11
1754601900000000000,99693.20999999999
1754602200000000000,99693.20999999999
1754602500000000000,99693.20999999999
1754602800000000000,99693.20999999999
1754603100000000000,99693.20999999999
1754603400000000000,99693.20999999999
1754603700000000000,99693.20999999999
1754604000000000000,99693.20999999999
1754604300000000000,99693.20999999999
1754604600000000000,99693.20999999999
1754604900000000000,99693.20999999999
1754605200000000000,99693.20999999999
1754605500000000000,99693.20999999999
1754605800000000000,99693.20999999999
1754606100000000000,99693.20999999999
1754606400000000000,99693.20999999999
1754606700000000000,99693.20999999999
1754607000000000000,99693.20999999999
1754607300000000000,99693.20999999999
1754607600000000000,99693.20999999999
1754607900000000000,99693.20999999999
1754608200000000000,99693.20999999999
1754608500000000000,99693.20999999999
1754608800000000000,99693.20999999999
1754609100000000000,99693.20999999999
1754609400000000000,99693.20999999999
1754609700000000000,99693.20999999999
1754610000000000000,99693.20999999999
1754610300000000000,99693.20999999999
1754610600000000000,99693.20999999999
1754610900000000000,99693.20999999999
1754611200000000000,99693.20999999999
1754611500000000000,99693.20999999999
