ts_ns,btc_qty,usdt_free,equity,price
1754556900000000000,0.0,100000.0,100000.0,114948.73999999999
1754558700000000000,0.017441,99999.6,99999.6,115023.67
1754560500000000000,0.017441,99999.6,99999.6,115062.19
1754562300000000000,0.241386,100001.42,100001.42,115867.99
1754563500000000000,0.250047,100001.22,100001.22,116280.0
1754563800000000000,0.0,99747.14,99747.14,116374.98999999999
1754564100000000000,0.0,99747.14,99747.14,116347.22
1754564400000000000,0.0,99747.14,99747.14,116452.01
1754564700000000000,0.0,99747.14,99747.14,116435.54
1754565000000000000,0.0,99747.14,99747.14,116482.42
1754565300000000000,0.0,99747.14,99747.14,116647.01000000001
1754565600000000000,0.0,99747.14,99747.14,116690.5
1754565900000000000,0.0,99747.14,99747.14,116828.29000000001
1754566200000000000,0.0,99747.14,99747.14,116561.79999999999
1754566500000000000,0.0,99747.14,99747.14,116603.34
1754566800000000000,0.0,99747.14,99747.14,116650.75
1754567100000000000,0.0,99747.14,99747.14,116730.0
1754567400000000000,0.0,99747.14,99747.14,116650.01
1754567700000000000,0.0,99747.14,99747.14,116519.53
1754568000000000000,0.0,99747.14,99747.14,116440.0
1754568300000000000,0.0,99747.14,99747.14,116316.67
1754568600000000000,0.0,99747.14,99747.14,116283.1
1754568900000000000,0.0,99747.14,99747.14,116257.66
1754569200000000000,0.0,99747.14,99747.14,116299.99
1754569500000000000,0.0,99747.14,99747.14,116392.03
1754569800000000000,0.0,99747.14,99747.14,116342.24
1754570100000000000,0.0,99747.14,99747.14,116429.31999999999
1754570400000000000,0.0,99747.14,99747.14,116249.95999999999
1754570700000000000,0.0,99747.14,99747.14,116054.0
1754571000000000000,0.0,99747.14,99747.14,116363.76
1754571300000000000,0.0,99747.14,99747.14,116390.0
1754571600000000000,0.0,99747.14,99747.14,116312.39
1754571900000000000,0.0,99747.14,99747.14,116248.01
1754572200000000000,0.0,99747.14,99747.14,116244.17
1754572500000000000,0.0,99747.14,99747.14,116269.17
1754572800000000000,0.0,99747.14,99747.14,116311.26000000001
1754573100000000000,0.0,99747.14,99747.14,116400.0
1754573400000000000,0.0,99747.14,99747.14,116500.0
1754573700000000000,0.0,99747.14,99747.14,116723.57
1754574000000000000,0.0,99747.14,99747.14,116610.94
1754574300000000000,0.0,99747.14,99747.14,116564.0
1754574600000000000,0.0,99747.14,99747.14,116610.93000000001
1754574900000000000,0.0,99747.14,99747.14,116640.0
1754575200000000000,0.0,99747.14,99747.14,116500.11
1754575500000000000,0.0,99747.14,99747.14,116317.45999999999
1754575800000000000,0.0,99747.14,99747.14,116272.45000000001
1754576100000000000,0.0,99747.14,99747.14,116433.79
1754576400000000000,0.0,99747.14,99747.14,116304.26
1754576700000000000,0.0,99747.14,99747.14,116350.0
1754577000000000000,0.0,99747.14,99747.14,116394.52
1754577300000000000,0.0,99747.14,99747.14,116630.23
1754577600000000000,0.0,99747.14,99747.14,116449.84999999999
1754577900000000000,0.0,99747.14,99747.14,116374.29000000001
1754578200000000000,0.0,99747.14,99747.14,116410.09
1754578500000000000,0.0,99747.14,99747.14,116363.16
