trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-001,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-71258e3afc8c5cd2-844,LIMIT,BUY,0.187059,26729.56,GTC,,0.187059,MAKER,26729.56,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,5af3eb75-c34c-47f3-a068-e367e1b19126,2025-01-01 17:15:00+00:00,2025-01-01 17:30:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-002,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-4c602879d85e1bba-955,LIMIT,BUY,0.037779,26469.47,GTC,,0.037779,MAKER,26469.47,0.0,['0.20000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,d887a140-4a38-471b-988c-d5c6c413c843,2025-01-01 17:15:00+00:00,2025-01-01 19:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-003,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-5606c92e79fbd588-928,LIMIT,SELL,0.183488,27249.74,GTC,,0.183488,MAKER,27249.74,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,b10d3219-788d-424b-8bf5-86ef865a338e,2025-01-01 17:15:00+00:00,2025-01-01 19:15:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-005,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-5606c92e79fbd588-929,LIMIT,SELL,0.183488,27249.74,GTC,,0.183488,MAKER,27249.74,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,792a232a-6aa0-4974-8b96-d1b16447d039,2025-01-01 17:30:00+00:00,2025-01-01 19:15:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-007,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-4c602879d85e1bba-956,LIMIT,BUY,0.188897,26469.47,GTC,,0.188897,MAKER,26469.47,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,bd7e0230-459c-40cc-b903-333fc114d40b,2025-01-01 19:15:00+00:00,2025-01-01 19:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-009,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-d422ab6681a50aa3-1294,MARKET,SELL,0.046759,,GTC,,0.046759,TAKER,25451.1,0.0,['0.71000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,5d287386-1d74-425a-8234-3cf92d4fc36f,2025-01-02 02:45:00+00:00,2025-01-02 02:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-010,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-e3cb5f6037aab64d-3010,LIMIT,BUY,0.268594,18615.45,GTC,,0.268594,MAKER,18615.449999999997,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2151fd27-c139-4a83-850b-73417fe10e1f,2025-01-03 13:25:00+00:00,2025-01-03 14:30:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-011,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-8cc6317a189ba42a-3055,LIMIT,BUY,0.054579,18321.90,GTC,,0.054579,MAKER,18321.9,0.0,['0.20000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,ff70a751-d1af-4caf-a99f-7cbfcb31f64c,2025-01-03 13:25:00+00:00,2025-01-03 15:25:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-018,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-d8fbfbcf033689e9-3125,MARKET,SELL,0.323173,,GTC,,0.323173,TAKER,17473.289999999997,0.0,['3.39000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,53f3e664-0a97-407b-8a3b-bcf06b60646e,2025-01-03 16:50:00+00:00,2025-01-03 16:50:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-019,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-0f61015b258c790e-3854,LIMIT,BUY,0.296899,16840.74,GTC,,0.296899,MAKER,16840.74,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,8aec215d-4226-4176-9a02-14d7db7f8b95,2025-01-04 02:25:00+00:00,2025-01-04 08:00:00+00:00
