trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-001,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-5cb938acf44b4c75-816,LIMIT,BUY,0.172796,28935.91,GTC,,0.172796,MAKER,28935.91,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,5bd35bc7-155e-4463-994c-78d1f2a7ef03,2025-01-01 15:55:00+00:00,2025-01-01 16:55:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-002,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-e41a236163c88b56-1177,LIMIT,BUY,0.035022,28553.35,GTC,,0.035022,MAKER,28553.350000000002,0.0,['0.20000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,cbff1947-735d-410e-b4be-ceca702c988e,2025-01-01 15:55:00+00:00,2025-01-02 00:25:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-011,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-7cca9df051f1d5dc-1565,LIMIT,SELL,0.173316,28848.96,GTC,,0.173316,MAKER,28848.96,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c3faffd0-34a3-4a98-a3b3-60f0c3641191,2025-01-02 07:55:00+00:00,2025-01-02 08:30:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-012,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-9c73fa43680775b9-1598,LIMIT,SELL,0.171090,29224.41,GTC,,0.171090,MAKER,29224.41,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,ebe94e3c-bf93-40f9-8b72-06b38ddd7b1f,2025-01-02 07:55:00+00:00,2025-01-02 09:10:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-019,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-49cf1694ba0f1f59-2339,LIMIT,SELL,0.168093,29745.49,GTC,,0.168093,MAKER,29745.489999999998,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,420a01f2-3bbe-485e-ab72-bec1d4a31b61,2025-01-02 23:55:00+00:00,2025-01-03 00:35:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-020,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-449fb0de1b967c9c-2420,LIMIT,SELL,0.054547,29964.84,GTC,,0.054547,MAKER,29964.84,0.0,['0.33000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,8efc5926-783f-471c-b279-5eba588b776d,2025-01-02 23:55:00+00:00,2025-01-03 02:15:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-025,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-fcf1763a11b4a915-2967,MARKET,BUY,0.359228,,GTC,,0.359228,TAKER,31740.15,0.0,['6.84000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,096a70a0-b538-43e8-9e9a-726d007d5449,2025-01-03 13:35:00+00:00,2025-01-03 13:35:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-028,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-20f17816ca28a9be-3394,LIMIT,SELL,0.148696,33625.70,GTC,,0.148696,MAKER,33625.7,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,d3996c64-0ba4-404d-ae5f-570a2449c6a7,2025-01-03 22:10:00+00:00,2025-01-03 22:30:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-029,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-e44598098d83691e-3427,LIMIT,SELL,0.029362,34057.47,GTC,,0.029362,MAKER,34057.47,0.0,['0.20000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,4eebc09a-034f-4c70-b737-bf7f9b07afb1,2025-01-03 22:10:00+00:00,2025-01-03 23:10:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-034,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-c11b13c0f5d0941f-3502,MARKET,BUY,0.178058,,GTC,,0.178058,TAKER,34648.34,0.0,['3.70000000 USDT'],FILLED,,True,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,904c6a2e-864f-4619-96b5-08eccddbe3b5,2025-01-04 00:40:00+00:00,2025-01-04 00:40:00+00:00
