ts_ns,btc_qty,usdt_free,equity,price
1735721700000000000,0.0,100000.0,100000.0,29663.72
1735723500000000000,0.0,100000.0,100000.0,29885.710000000003
1735725300000000000,0.0,100000.0,100000.0,29843.89
1735727100000000000,0.0,100000.0,100000.0,29738.019999999997
1735728900000000000,0.0,100000.0,100000.0,29770.08
1735730700000000000,0.0,100000.0,100000.0,29616.04
1735732500000000000,0.0,100000.0,100000.0,29597.01
1735734300000000000,0.0,100000.0,100000.0,29630.73
1735736100000000000,0.0,100000.0,100000.0,29769.059999999998
1735737900000000000,0.0,100000.0,100000.0,29632.41
1735739700000000000,0.0,100000.0,100000.0,29772.579999999998
1735741500000000000,0.0,100000.0,100000.0,29840.73
1735743300000000000,0.0,100000.0,100000.0,29871.31
1735745100000000000,0.0,100000.0,100000.0,29374.2
1735746900000000000,0.0,100000.0,100000.0,29318.47
1735748700000000000,0.0,100000.0,100000.0,29221.929999999997
1735750500000000000,0.172796,99999.0,99999.0,28819.0
1735752300000000000,0.172796,99999.0,99999.0,28938.22
1735754100000000000,0.172796,99999.0,99999.0,29080.37
1735755900000000000,0.172796,99999.0,99999.0,29205.350000000002
1735757700000000000,0.172796,99999.0,99999.0,29121.32
1735759500000000000,0.172796,99999.0,99999.0,28922.329999999998
1735761300000000000,0.172796,99999.0,99999.0,28881.070000000003
1735763100000000000,0.172796,99999.0,99999.0,29157.28
1735764900000000000,0.172796,99999.0,99999.0,29252.48
1735766700000000000,0.172796,99999.0,99999.0,29165.969999999998
1735768500000000000,0.172796,99999.0,99999.0,29315.01
1735770300000000000,0.172796,99999.0,99999.0,29058.21
1735772100000000000,0.172796,99999.0,99999.0,29249.36
1735773900000000000,0.172796,99999.0,99999.0,29082.8
1735775700000000000,0.172796,99999.0,99999.0,28910.78
1735777500000000000,0.207818,99998.8,99998.8,28569.78
1735779300000000000,0.207818,99998.8,99998.8,28823.64
1735781100000000000,0.207818,99998.8,99998.8,28746.47
1735782900000000000,0.207818,99998.8,99998.8,28752.38
1735784700000000000,0.207818,99998.8,99998.8,28258.609999999997
1735786500000000000,0.207818,99998.8,99998.8,28372.4
1735788300000000000,0.207818,99998.8,99998.8,28559.44
1735790100000000000,0.207818,99998.8,99998.8,28733.27
1735791900000000000,0.207818,99998.8,99998.8,28691.48
1735793700000000000,0.207818,99998.8,99998.8,28639.53
1735795500000000000,0.207818,99998.8,99998.8,28938.72
1735797300000000000,0.207818,99998.8,99998.8,28772.94
1735799100000000000,0.207818,99998.8,99998.8,28595.230000000003
1735800900000000000,0.207818,99998.8,99998.8,28511.63
1735802700000000000,0.207818,99998.8,99998.8,28580.53
1735804500000000000,0.207818,99998.8,99998.8,28473.52
1735806300000000000,0.207818,99998.8,99998.8,28664.68
1735808100000000000,0.034502,99993.90000000001,99993.90000000001,29127.18
1735809900000000000,0.136588,100005.08,100005.08,29144.94
1735811700000000000,0.136588,100005.08,100005.08,29204.84
1735813500000000000,0.136588,100005.08,100005.08,28998.38
1735815300000000000,0.136588,100005.08,100005.08,29198.32
1735817100000000000,0.136588,100005.08,100005.08,28960.57
1735818900000000000,0.136588,100005.08,100005.08,29310.769999999997
1735820700000000000,0.136588,100005.08,100005.08,29309.89
1735822500000000000,0.136588,100005.08,100005.08,29654.579999999998
1735824300000000000,0.136588,100005.08,100005.08,29563.11
1735826100000000000,0.136588,100005.08,100005.08,29871.449999999997
1735827900000000000,0.136588,100005.08,100005.08,29803.289999999997
1735829700000000000,0.136588,100005.08,100005.08,29357.63
1735831500000000000,0.136588,100005.08,100005.08,29051.46
1735833300000000000,0.136588,100005.08,100005.08,28888.69
1735835100000000000,0.136588,100005.08,100005.08,28844.59
1735836900000000000,0.136588,100005.08,100005.08,28905.09
1735838700000000000,0.136588,100005.08,100005.08,28859.969999999998
1735840500000000000,0.136588,100005.08,100005.08,29301.289999999997
1735842300000000000,0.136588,100005.08,100005.08,29608.79
