ts_ns,btc_qty,usdt_free,equity,price
1735721700000000000,0.0,100000.0,100000.0,30201.8
1735723500000000000,0.0,100000.0,100000.0,30152.070000000003
1735725300000000000,0.0,100000.0,100000.0,29932.64
1735727100000000000,0.0,100000.0,100000.0,29858.63
1735728900000000000,0.0,100000.0,100000.0,30122.620000000003
1735730700000000000,0.0,100000.0,100000.0,30154.21
1735732500000000000,0.0,100000.0,100000.0,29852.620000000003
1735734300000000000,0.0,100000.0,100000.0,29799.57
1735736100000000000,0.0,100000.0,100000.0,29532.11
1735737900000000000,0.0,100000.0,100000.0,29629.100000000002
1735739700000000000,0.0,100000.0,100000.0,29817.289999999997
1735741500000000000,0.0,100000.0,100000.0,29854.329999999998
1735743300000000000,0.0,100000.0,100000.0,29966.12
1735745100000000000,0.0,100000.0,100000.0,29940.390000000003
1735746900000000000,0.0,100000.0,100000.0,29962.649999999998
1735748700000000000,0.0,100000.0,100000.0,29816.780000000002
1735750500000000000,0.168046,99999.0,99999.0,29746.76
1735752300000000000,0.168046,99999.0,99999.0,29631.030000000002
1735754100000000000,0.302888,99998.20000000001,99998.20000000001,29709.180000000004
1735755900000000000,0.302888,99998.20000000001,99998.20000000001,29839.390000000003
1735757700000000000,0.302888,99998.20000000001,99998.20000000001,29900.300000000003
1735759500000000000,0.302888,99998.20000000001,99998.20000000001,30059.99
1735761300000000000,0.194269,100149.86,100149.86,30051.609999999997
1735763100000000000,0.194269,100149.86,100149.86,30115.44
1735764900000000000,0.194269,100149.86,100149.86,29874.979999999996
1735766700000000000,0.194269,100149.86,100149.86,29973.72
1735768500000000000,0.194269,100149.86,100149.86,29827.609999999997
1735770300000000000,0.194269,100149.86,100149.86,29904.380000000005
1735772100000000000,0.194269,100149.86,100149.86,29946.32
1735773900000000000,0.194269,100149.86,100149.86,29789.76
1735775700000000000,0.194269,100149.86,100149.86,29757.139999999996
1735777500000000000,0.194269,100149.86,100149.86,29677.31
1735779300000000000,0.194269,100149.86,100149.86,29486.53
1735781100000000000,0.194269,100149.86,100149.86,29418.929999999997
1735782900000000000,0.194269,100149.86,100149.86,29266.22
1735784700000000000,0.194269,100149.86,100149.86,29264.79
1735786500000000000,0.194269,100149.86,100149.86,29029.929999999997
1735788300000000000,0.194269,100149.86,100149.86,28795.69
1735789800000000000,0.194269,100149.86,100149.86,28626.92
1735790100000000000,0.0,100446.58,100446.58,28645.79
1735790400000000000,0.0,100446.58,100446.58,28630.42
1735790700000000000,0.0,100446.58,100446.58,28637.76
1735791000000000000,0.0,100446.58,100446.58,28692.48
1735791300000000000,0.0,100446.58,100446.58,28741.769999999997
1735791600000000000,0.0,100446.58,100446.58,28669.510000000002
1735791900000000000,0.0,100446.58,100446.58,28764.95
1735792200000000000,0.0,100446.58,100446.58,28747.329999999998
1735792500000000000,0.0,100446.58,100446.58,28880.72
1735792800000000000,0.0,100446.58,100446.58,28897.52
1735793100000000000,0.0,100446.58,100446.58,28930.92
1735793400000000000,0.0,100446.58,100446.58,28848.64
1735793700000000000,0.0,100446.58,100446.58,28920.66
1735794000000000000,0.0,100446.58,100446.58,28804.929999999997
1735794300000000000,0.0,100446.58,100446.58,28819.550000000003
1735794600000000000,0.0,100446.58,100446.58,28840.59
1735794900000000000,0.0,100446.58,100446.58,28881.070000000003
1735795200000000000,0.0,100446.58,100446.58,28941.289999999997
1735795500000000000,0.0,100446.58,100446.58,28841.92
1735795800000000000,0.0,100446.58,100446.58,28786.28
1735796100000000000,0.0,100446.58,100446.58,28810.25
1735796400000000000,0.0,100446.58,100446.58,28870.4
1735796700000000000,0.0,100446.58,100446.58,28893.11
1735797000000000000,0.0,100446.58,100446.58,29052.390000000003
1735797300000000000,0.0,100446.58,100446.58,29114.91
1735797600000000000,0.0,100446.58,100446.58,29147.82
1735797900000000000,0.0,100446.58,100446.58,29163.22
1735798200000000000,0.0,100446.58,100446.58,29208.86
1735798500000000000,0.0,100446.58,100446.58,29154.769999999997
1735798800000000000,0.0,100446.58,100446.58,29052.52
1735799100000000000,0.0,100446.58,100446.58,28983.21
1735799400000000000,0.0,100446.58,100446.58,28968.6
1735799700000000000,0.0,100446.58,100446.58,28979.129999999997
1735800000000000000,0.0,100446.58,100446.58,28929.11
1735800300000000000,0.0,100446.58,100446.58,28939.86
1735800600000000000,0.0,100446.58,100446.58,28988.12
1735800900000000000,0.0,100446.58,100446.58,28969.62
1735801200000000000,0.0,100446.58,100446.58,28979.94
1735801500000000000,0.0,100446.58,100446.58,28940.28
1735801800000000000,0.0,100446.58,100446.58,28986.969999999998
1735802100000000000,0.0,100446.58,100446.58,29097.41
1735802400000000000,0.0,100446.58,100446.58,29085.85
1735802700000000000,0.0,100446.58,100446.58,29054.3
1735803000000000000,0.0,100446.58,100446.58,29057.36
1735803300000000000,0.0,100446.58,100446.58,29081.59
1735803600000000000,0.0,100446.58,100446.58,29077.31
1735803900000000000,0.0,100446.58,100446.58,29056.43
1735804200000000000,0.0,100446.58,100446.58,28869.7
1735804500000000000,0.0,100446.58,100446.58,28881.2
1735804800000000000,0.0,100446.58,100446.58,29036.88
1735805100000000000,0.0,100446.58,100446.58,29018.4
1735805400000000000,0.0,100446.58,100446.58,29007.870000000003
1735805700000000000,0.0,100446.58,100446.58,28985.52
1735806000000000000,0.0,100446.58,100446.58,29012.78
1735806300000000000,0.0,100446.58,100446.58,29047.8
1735808100000000000,0.0,100446.58,100446.58,29122.809999999998
1735809900000000000,0.170635,100445.58,100445.58,29260.37
1735811700000000000,0.170635,100445.58,100445.58,29099.44
1735813500000000000,0.170635,100445.58,100445.58,29244.510000000002
1735815300000000000,0.170635,100445.58,100445.58,29188.11
1735817100000000000,0.170635,100445.58,100445.58,29301.98
1735818900000000000,0.170635,100445.58,100445.58,29102.98
1735820700000000000,0.170635,100445.58,100445.58,29075.74
1735822500000000000,0.170635,100445.58,100445.58,29179.66
1735824300000000000,0.170635,100445.58,100445.58,29510.230000000003
1735826100000000000,0.339856,100444.58,100444.58,29836.56
1735827900000000000,0.339856,100444.58,100444.58,29662.769999999997
1735829700000000000,0.339856,100444.58,100444.58,29619.939999999995
1735831500000000000,0.339856,100444.58,100444.58,29730.15
1735833300000000000,0.339856,100444.58,100444.58,29927.68
1735835100000000000,0.339856,100444.58,100444.58,29927.91
1735836900000000000,0.339856,100444.58,100444.58,29739.020000000004
1735838700000000000,0.339856,100444.58,100444.58,29895.27
1735840500000000000,0.339856,100444.58,100444.58,29955.2
1735842300000000000,0.339856,100444.58,100444.58,29811.32
1735844100000000000,0.339856,100444.58,100444.58,29771.37
1735845900000000000,0.339856,100444.58,100444.58,29795.420000000002
1735847700000000000,0.339856,100444.58,100444.58,29843.89
1735849500000000000,0.339856,100444.58,100444.58,29987.24
1735851300000000000,0.339856,100444.58,100444.58,29926.710000000003
1735853100000000000,0.339856,100444.58,100444.58,29746.390000000003
1735854900000000000,0.339856,100444.58,100444.58,29731.27
1735856700000000000,0.339856,100444.58,100444.58,29886.060000000005
1735858500000000000,0.339856,100444.58,100444.58,29995.219999999998
1735860300000000000,0.339856,100444.58,100444.58,29750.32
1735862100000000000,0.339856,100444.58,100444.58,29828.32
1735863900000000000,0.339856,100444.58,100444.58,30155.390000000003
1735865700000000000,0.339856,100444.58,100444.58,30249.820000000003
1735867500000000000,0.504277,100443.58,100443.58,30423.63
1735869300000000000,0.504277,100443.58,100443.58,30348.36
1735871100000000000,0.504277,100443.58,100443.58,30497.59
1735872900000000000,0.504277,100443.58,100443.58,30206.710000000003
1735874700000000000,0.504277,100443.58,100443.58,30512.36
1735876500000000000,0.504277,100443.58,100443.58,30384.070000000003
1735878300000000000,0.504277,100443.58,100443.58,30447.63
1735880100000000000,0.504277,100443.58,100443.58,30363.129999999997
1735881900000000000,0.504277,100443.58,100443.58,30222.16
1735883700000000000,0.504277,100443.58,100443.58,30308.32
1735885500000000000,0.504277,100443.58,100443.58,29996.76
1735887300000000000,0.169287,100406.04000000001,100406.04000000001,29776.08
1735889100000000000,0.169287,100406.04000000001,100406.04000000001,29757.100000000002
1735890900000000000,0.169287,100406.04000000001,100406.04000000001,29700.070000000003
1735892700000000000,0.169287,100406.04000000001,100406.04000000001,29685.510000000002
1735894500000000000,0.036459,100434.11,100434.11,29571.41
1735896300000000000,0.036459,100434.11,100434.11,29437.22
1735898100000000000,0.036459,100434.11,100434.11,29626.68
1735899900000000000,0.036459,100434.11,100434.11,29309.94
1735901100000000000,0.036459,100434.11,100434.11,29519.24
1735901400000000000,0.0,100431.51,100431.51,29514.449999999997
1735901700000000000,0.0,100431.51,100431.51,29623.15
1735902000000000000,0.0,100431.51,100431.51,29650.88
1735902300000000000,0.0,100431.51,100431.51,29589.820000000003
1735902600000000000,0.0,100431.51,100431.51,29587.020000000004
1735902900000000000,0.0,100431.51,100431.51,29603.859999999997
1735903200000000000,0.0,100431.51,100431.51,29588.6
1735903500000000000,0.0,100431.51,100431.51,29478.06
1735903800000000000,0.0,100431.51,100431.51,29451.489999999998
1735904100000000000,0.0,100431.51,100431.51,29530.659999999996
1735904400000000000,0.0,100431.51,100431.51,29559.340000000004
1735904700000000000,0.0,100431.51,100431.51,29653.820000000003
1735905000000000000,0.0,100431.51,100431.51,29608.8
1735905300000000000,0.0,100431.51,100431.51,29554.510000000002
1735905600000000000,0.0,100431.51,100431.51,29666.540000000005
1735905900000000000,0.0,100431.51,100431.51,29668.6
1735906200000000000,0.0,100431.51,100431.51,29691.28
1735906500000000000,0.0,100431.51,100431.51,29688.940000000002
1735906800000000000,0.0,100431.51,100431.51,29696.63
1735907100000000000,0.0,100431.51,100431.51,29728.499999999996
1735907400000000000,0.0,100431.51,100431.51,29796.030000000002
1735907700000000000,0.0,100431.51,100431.51,29779.510000000002
1735908000000000000,0.0,100431.51,100431.51,29803.0
1735908900000000000,0.0,100431.51,100431.51,29666.31
1735910700000000000,0.169393,100430.51,100430.51,29498.25
1735912500000000000,0.169393,100430.51,100430.51,29520.179999999997
1735914300000000000,0.169393,100430.51,100430.51,29430.88
1735916100000000000,0.340001,100429.51,100429.51,29334.54
1735917900000000000,0.340001,100429.51,100429.51,29113.929999999997
1735919700000000000,0.340001,100429.51,100429.51,29122.47
1735921500000000000,0.340001,100429.51,100429.51,29313.43
1735923300000000000,0.340001,100429.51,100429.51,29224.929999999997
1735925100000000000,0.340001,100429.51,100429.51,29178.59
1735926900000000000,0.340001,100429.51,100429.51,29328.37
1735928700000000000,0.340001,100429.51,100429.51,29241.18
1735930500000000000,0.340001,100429.51,100429.51,29400.710000000003
1735932300000000000,0.340001,100429.51,100429.51,29248.31
1735934100000000000,0.340001,100429.51,100429.51,29294.22
1735935900000000000,0.340001,100429.51,100429.51,29342.09
1735937700000000000,0.340001,100429.51,100429.51,29416.870000000003
1735939500000000000,0.340001,100429.51,100429.51,29178.870000000003
1735941300000000000,0.340001,100429.51,100429.51,29499.34
1735943100000000000,0.340001,100429.51,100429.51,29396.390000000003
1735944900000000000,0.340001,100429.51,100429.51,29527.420000000002
1735946700000000000,0.340001,100429.51,100429.51,29868.2
1735948500000000000,0.340001,100429.51,100429.51,29803.660000000003
1735950300000000000,0.161038,100605.37,100605.37,30007.070000000003
1735952100000000000,0.161038,100605.37,100605.37,29930.32
1735953900000000000,0.578192,100602.85,100602.85,30178.870000000003
1735955700000000000,0.578192,100602.85,100602.85,30155.05
1735957500000000000,0.578192,100602.85,100602.85,30023.17
1735959300000000000,0.578192,100602.85,100602.85,30026.21
1735961100000000000,0.578192,100602.85,100602.85,30310.819999999996
1735962900000000000,0.578192,100602.85,100602.85,30196.16
1735964700000000000,0.578192,100602.85,100602.85,30360.179999999997
1735966500000000000,0.578192,100602.85,100602.85,30301.41
1735968300000000000,0.578192,100602.85,100602.85,30332.44
1735970100000000000,0.578192,100602.85,100602.85,30466.329999999998
1735971900000000000,0.578192,100602.85,100602.85,30499.710000000003
1735973700000000000,0.741533,100601.84999999999,100601.84999999999,30448.43
1735975500000000000,0.741533,100601.84999999999,100601.84999999999,30327.609999999997
1735977300000000000,0.741533,100601.84999999999,100601.84999999999,30472.15
1735979100000000000,0.741533,100601.84999999999,100601.84999999999,30400.710000000003
1735980900000000000,0.741533,100601.84999999999,100601.84999999999,30622.769999999997
1735982700000000000,0.741533,100601.84999999999,100601.84999999999,30666.4
1735984500000000000,0.773956,100601.65000000001,100601.65000000001,30765.09
1735986300000000000,0.773956,100601.65000000001,100601.65000000001,30981.699999999997
1735988100000000000,0.773956,100601.65000000001,100601.65000000001,30982.700000000004
1735989900000000000,0.773956,100601.65000000001,100601.65000000001,30860.95
1735991700000000000,0.773956,100601.65000000001,100601.65000000001,30711.95
1735993500000000000,0.773956,100601.65000000001,100601.65000000001,30589.449999999997
1735995300000000000,0.773956,100601.65000000001,100601.65000000001,30643.73
1735997100000000000,0.773956,100601.65000000001,100601.65000000001,30866.57
1735998900000000000,0.773956,100601.65000000001,100601.65000000001,30932.26
1736000700000000000,0.773956,100601.65000000001,100601.65000000001,30442.780000000002
1736002500000000000,0.773956,100601.65000000001,100601.65000000001,30225.79
1736004300000000000,0.773956,100601.65000000001,100601.65000000001,30345.75
1736006100000000000,0.773956,100601.65000000001,100601.65000000001,30451.08
1736007900000000000,0.773956,100601.65000000001,100601.65000000001,30588.08
1736009700000000000,0.773956,100601.65000000001,100601.65000000001,30430.95
1736011500000000000,0.773956,100601.65000000001,100601.65000000001,30250.11
1736013300000000000,0.276412,100639.96,100639.96,30269.56
1736015100000000000,0.276412,100639.96,100639.96,30462.339999999997
1736016900000000000,0.276412,100639.96,100639.96,30526.89
1736018700000000000,0.276412,100639.96,100639.96,30549.059999999998
1736020500000000000,0.276412,100639.96,100639.96,30501.969999999998
1736022300000000000,0.276412,100639.96,100639.96,30355.710000000003
1736024100000000000,0.276412,100639.96,100639.96,30207.41
1736025900000000000,0.440652,100638.96,100638.96,30302.25
1736027700000000000,0.440652,100638.96,100638.96,30415.31
1736029500000000000,0.440652,100638.96,100638.96,30239.99
