total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99693.49000000,0.00000000,99693.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99693.49000000,0.00000000,99693.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99693.49000000,0.00000000,99693.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99693.49000000,0.00000000,99693.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99693.49000000,0.00000000,99693.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99692.49000000,0.00000000,99692.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99692.49000000,0.00000000,99692.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99692.49000000,0.00000000,99692.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99691.49000000,0.00000000,99691.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99691.49000000,0.00000000,99691.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99691.49000000,0.00000000,99691.49000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99849.25000000,0.00000000,99849.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100007.01000000,0.00000000,100007.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100016.42000000,0.00000000,100016.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100016.42000000,0.00000000,100016.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100016.18000000,0.00000000,100016.18000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.87000000,0.00000000,100015.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.48000000,0.00000000,100015.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.48000000,0.00000000,100015.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.48000000,0.00000000,100015.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.48000000,0.00000000,100015.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100015.48000000,0.00000000,100015.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.48000000,0.00000000,100014.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.48000000,0.00000000,100014.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.48000000,0.00000000,100014.48000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100014.28000000,0.00000000,100014.28000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99846.00000000,0.00000000,99846.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99846.00000000,0.00000000,99846.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
