total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.47000000,0.00000000,99999.47000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.42000000,0.00000000,100003.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100003.42000000,0.00000000,100003.42000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.69000000,0.00000000,100002.69000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100002.12000000,0.00000000,100002.12000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100001.45000000,0.00000000,100001.45000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100008.60000000,0.00000000,100008.60000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100020.06000000,0.00000000,100020.06000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100031.24000000,0.00000000,100031.24000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100030.80000000,0.00000000,100030.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100030.09000000,0.00000000,100030.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100029.14000000,0.00000000,100029.14000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100029.14000000,0.00000000,100029.14000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100029.14000000,0.00000000,100029.14000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100029.14000000,0.00000000,100029.14000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
