ts_ns,btc_qty,usdt_free,equity,price
1754646900000000000,0.022837,99999.47,99999.47,116685.17
1754648700000000000,0.022837,99999.47,99999.47,116500.03
1754650500000000000,0.08891,100001.45,100001.45,116544.39
1754652300000000000,0.009066,100031.23999999999,100031.23999999999,116761.23
1754654100000000000,0.099175,100029.14,100029.14,116891.51
1754655900000000000,0.099175,100029.14,100029.14,116618.0
1754657700000000000,0.099175,100029.14,100029.14,116500.48
1754659500000000000,0.099175,100029.14,100029.14,116742.81
1754661300000000000,0.099175,100029.14,100029.14,116917.97
1754663100000000000,0.306782,100024.26999999999,100024.26999999999,116746.32
1754664900000000000,0.306782,100024.26999999999,100024.26999999999,116491.53
1754666700000000000,0.088121,100178.25,100178.25,116288.4
1754668500000000000,0.504059,100237.43000000001,100237.43000000001,116207.69
1754670300000000000,0.504059,100237.43000000001,100237.43000000001,116096.43
1754672100000000000,0.504059,100237.43000000001,100237.43000000001,116193.62999999999
1754673900000000000,0.504059,100237.43000000001,100237.43000000001,116353.77
1754675700000000000,0.504059,100237.43000000001,100237.43000000001,116708.86
1754677500000000000,0.469612,100259.45,100259.45,116603.18000000001
1754679300000000000,0.553553,100257.5,100257.5,116497.99
1754681100000000000,0.553553,100257.5,100257.5,116486.76
1754682900000000000,0.553553,100257.5,100257.5,116453.41
1754684700000000000,0.553553,100257.5,100257.5,116506.66
1754686500000000000,0.553553,100257.5,100257.5,116888.51999999999
1754688300000000000,0.553553,100257.5,100257.5,116800.0
1754690100000000000,0.48257,100311.39,100311.39,116931.44
1754691900000000000,0.48257,100311.39,100311.39,116959.47
1754693700000000000,0.48257,100311.39,100311.39,116888.9
1754695500000000000,0.48257,100311.39,100311.39,116800.0
1754697300000000000,0.48257,100311.39,100311.39,116674.73999999999
1754699100000000000,0.48257,100311.39,100311.39,116728.6
1754700900000000000,0.48257,100311.39,100311.39,116586.0
1754702700000000000,0.48257,100311.39,100311.39,116547.20999999999
1754704500000000000,0.503107,100310.90999999999,100310.90999999999,116563.26000000001
1754706300000000000,0.541333,100310.01999999999,100310.01999999999,116448.13
1754708100000000000,0.558512,100309.62,100309.62,116404.0
1754709900000000000,0.558512,100309.62,100309.62,116462.61
1754711700000000000,0.574171,100309.26000000001,100309.26000000001,116384.01
1754713500000000000,0.574171,100309.26000000001,100309.26000000001,116472.4
1754715300000000000,0.574171,100309.26000000001,100309.26000000001,116434.76
1754717100000000000,0.140314,100638.68000000001,100638.68000000001,116966.68000000001
1754718900000000000,0.140314,100638.68000000001,100638.68000000001,116739.23
1754720700000000000,0.140314,100638.68000000001,100638.68000000001,116616.26
1754722500000000000,0.140314,100638.68000000001,100638.68000000001,116650.75
1754724300000000000,0.140314,100638.68000000001,100638.68000000001,116879.99
1754726100000000000,0.140314,100638.68000000001,100638.68000000001,116756.01
1754727900000000000,0.140314,100638.68000000001,100638.68000000001,116868.5
1754729700000000000,0.481971,100630.67,100630.67,117106.65
1754731500000000000,0.481971,100630.67,100630.67,117286.34
1754733300000000000,0.524532,100629.67,100629.67,117510.87
1754735100000000000,0.569544,100628.61,100628.61,117776.43
1754736900000000000,0.569544,100628.61,100628.61,117424.16
1754738700000000000,0.569544,100628.61,100628.61,117268.13
1754740500000000000,0.569544,100628.61,100628.61,117110.0
1754742300000000000,0.569544,100628.61,100628.61,117172.03
1754744100000000000,0.459349,100631.09000000001,100631.09000000001,117116.64
1754745900000000000,0.459349,100631.09000000001,100631.09000000001,117010.05
1754747700000000000,0.459349,100631.09000000001,100631.09000000001,116968.32
1754749500000000000,0.306747,100667.0,100667.0,116936.71
1754751300000000000,0.306747,100667.0,100667.0,116972.87
1754753100000000000,0.306747,100667.0,100667.0,116833.04
1754754900000000000,0.306747,100667.0,100667.0,116892.47
1754756700000000000,0.306747,100667.0,100667.0,116730.19
1754758500000000000,0.306747,100667.0,100667.0,116648.51
1754760300000000000,0.306747,100667.0,100667.0,116743.73000000001
1754762100000000000,0.283515,100677.59,100677.59,116670.22
1754763900000000000,0.283515,100677.59,100677.59,116669.23
