trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250808-094000-001-000-9,O-20250808-094000-001-000-1,SELL,FLAT,0.000000,0.022837,1754646600000000000,2025-08-08 09:50:00+00:00,1754649600000000000,2025-08-08 10:40:00+00:00,3000000000000.0,116685.20999999999,116484.89,['1.06011869 USDT'],0.00172,3.51000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250808-094000-001-000-1,O-20250808-104500-001-000-32,BUY,FLAT,0.000000,0.088910,1754649600000000000,2025-08-08 10:40:00+00:00,1754651400000000000,2025-08-08 11:10:00+00:00,1800000000000.0,116424.53151793948,116785.37,['4.13812815 USDT'],0.0031,27.94000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250808-104500-001-000-32,O-20250808-115500-001-000-46,SELL,FLAT,0.000000,0.306782,1754651400000000000,2025-08-08 11:10:00+00:00,1754667000000000000,2025-08-08 15:30:00+00:00,15600000000000.0,117012.10205703073,116255.79973525173,['14.31414075 USDT'],0.00646,217.69000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250808-115500-001-000-46,O-20250809-034000-001-000-160,BUY,FLAT,0.000000,0.574171,1754667000000000000,2025-08-08 15:30:00+00:00,1754716800000000000,2025-08-09 05:20:00+00:00,49800000000000.0,116177.90975498027,116791.23487712641,['31.64896803 USDT'],0.00528,392.81000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250809-034000-001-000-160,O-20250811-030000-001-000-494,SELL,FLAT,0.000000,1.106838,1754716800000000000,2025-08-09 05:20:00+00:00,1754881200000000000,2025-08-11 03:00:00+00:00,164400000000000.0,118340.28465686667,120040.70638299549,['134.73864438 USDT'],-0.01437,-3699.52000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250811-030000-001-000-495,O-20250811-161500-001-000-496,BUY,FLAT,0.000000,0.369611,1754881200000000000,2025-08-11 03:00:00+00:00,1754928900000000000,2025-08-11 16:15:00+00:00,47700000000000.0,121749.73,120751.73000000001,['53.78000000 USDT'],-0.0082,-422.65000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250811-161500-001-000-497,O-20250812-091000-001-000-667,BUY,FLAT,0.000000,0.420902,1754929500000000000,2025-08-11 16:25:00+00:00,1755002400000000000,2025-08-12 12:40:00+00:00,72900000000000.0,118676.27461811661,119113.38568659603,['26.81801564 USDT'],0.00368,158.95000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250812-091000-001-000-667,O-20250813-191500-001-000-735,SELL,FLAT,0.000000,1.368727,1755002400000000000,2025-08-12 12:40:00+00:00,1755112500000000000,2025-08-13 19:15:00+00:00,110100000000000.0,119428.99025456038,120454.10451840494,['140.50198436 USDT'],-0.00858,-1850.02000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250813-191500-001-000-736,O-20250814-100000-001-000-737,BUY,FLAT,0.000000,0.368686,1755112500000000000,2025-08-13 19:15:00+00:00,1755165600000000000,2025-08-14 10:00:00+00:00,53100000000000.0,122055.17,121533.74,['53.88000000 USDT'],-0.00427,-246.12000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250814-100000-001-000-746,O-20250814-102000-001-000-754,SELL,FLAT,0.000000,0.023010,1755166800000000000,2025-08-14 10:20:00+00:00,1755168000000000000,2025-08-14 10:40:00+00:00,1200000000000.0,121706.56,121360.92000000001,['1.11596044 USDT'],0.00284,6.84000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250814-102000-001-000-754,O-20250814-160000-001-000-804,BUY,FLAT,0.000000,0.248557,1755168000000000000,2025-08-14 10:40:00+00:00,1755187200000000000,2025-08-14 16:00:00+00:00,19200000000000.0,120727.81182107124,118158.34999999999,['23.63403956 USDT'],-0.02128,-662.29000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250814-160000-001-000-805,O-20250816-010000-001-000-806,SELL,FLAT,0.000000,0.380845,1755187200000000000,2025-08-14 16:00:00+00:00,1755306000000000000,2025-08-16 01:00:00+00:00,118800000000000.0,118158.34999999999,117730.81999999999,['53.90000000 USDT'],0.00362,108.92000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250816-010000-001-000-815,O-20250816-010000-001-000-807,SELL,FLAT,0.000000,0.020354,1755309000000000000,2025-08-16 01:50:00+00:00,1755310500000000000,2025-08-16 02:15:00+00:00,1500000000000.0,117876.66,117584.97,['0.95605307 USDT'],0.00247,4.98000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250816-010000-001-000-807,O-20250816-095000-001-000-877,BUY,FLAT,0.000000,0.230652,1755310500000000000,2025-08-16 02:15:00+00:00,1755356400000000000,2025-08-16 15:00:00+00:00,45900000000000.0,117398.4164968004,117739.88036145362,['10.84855530 USDT'],0.00291,67.90000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250816-095000-001-000-877,O-20250816-170000-001-000-921,SELL,FLAT,0.000000,0.117400,1755356400000000000,2025-08-16 15:00:00+00:00,1755386400000000000,2025-08-16 23:20:00+00:00,30000000000000.0,117813.56999999999,117519.04519616695,['5.52518785 USDT'],0.0025,29.05000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250816-170000-001-000-921,O-20250817-010000-001-000-994,BUY,FLAT,0.000000,0.010258,1755386400000000000,2025-08-16 23:20:00+00:00,1755394200000000000,2025-08-17 01:30:00+00:00,7800000000000.0,117321.91,117348.79000000001,['0.48178618 USDT'],0.00023,-0.21000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250817-010000-001-000-994,O-20250817-170000-001-000-1114,SELL,FLAT,0.000000,0.234184,1755394200000000000,2025-08-17 01:30:00+00:00,1755450900000000000,2025-08-17 17:15:00+00:00,56700000000000.0,118162.45234527784,117921.66953836974,['12.97689624 USDT'],0.00204,40.42000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250817-170000-001-000-1114,O-20250818-080000-001-000-1242,BUY,FLAT,0.000000,0.217887,1755450900000000000,2025-08-17 17:15:00+00:00,1755504000000000000,2025-08-18 08:00:00+00:00,53100000000000.0,117124.71838315274,115181.47,['20.17152136 USDT'],-0.01659,-443.58000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250818-080000-001-000-1243,O-20250818-185500-001-000-1244,SELL,FLAT,0.000000,0.390688,1755504000000000000,2025-08-18 08:00:00+00:00,1755543300000000000,2025-08-18 18:55:00+00:00,39300000000000.0,115181.47,116481.81,['54.30000000 USDT'],-0.01129,-562.33000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250818-185500-001-000-1245,O-20250818-185500-001-000-1253,BUY,FLAT,0.000000,0.019523,1755544200000000000,2025-08-18 19:10:00+00:00,1755552000000000000,2025-08-18 21:20:00+00:00,7800000000000.0,116220.06780617734,116653.2,['0.90835506 USDT'],0.00373,7.55000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250818-185500-001-000-1253,O-20250818-220000-001-000-1284,SELL,FLAT,0.000000,0.095862,1755552000000000000,2025-08-18 21:20:00+00:00,1755563400000000000,2025-08-19 00:30:00+00:00,11400000000000.0,116743.77234368154,115899.07721818866,['4.45381423 USDT'],0.00724,76.53000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250818-220000-001-000-1284,O-20250819-222500-001-000-1470,BUY,FLAT,0.000000,0.802677,1755563400000000000,2025-08-19 00:30:00+00:00,1755642300000000000,2025-08-19 22:25:00+00:00,78900000000000.0,114870.97631148434,113477.38773966847,['72.88783071 USDT'],-0.01213,-1308.17000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250819-222500-001-000-1471,O-20250820-102500-001-000-1472,SELL,FLAT,0.000000,0.397196,1755642300000000000,2025-08-19 22:25:00+00:00,1755685500000000000,2025-08-20 10:25:00+00:00,43200000000000.0,113294.28,113587.69,['54.07000000 USDT'],-0.00259,-170.61000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250820-102500-001-000-1481,O-20250820-104000-001-000-1489,SELL,FLAT,0.000000,0.029435,1755686400000000000,2025-08-20 10:40:00+00:00,1755689400000000000,2025-08-20 11:30:00+00:00,3000000000000.0,113731.43000000001,113443.95,['1.34037731 USDT'],0.00253,7.12000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250820-104000-001-000-1489,O-20250820-113000-001-000-1499,BUY,FLAT,0.000000,0.312501,1755689400000000000,2025-08-20 11:30:00+00:00,1755702900000000000,2025-08-20 15:15:00+00:00,13500000000000.0,112871.25786178572,113990.58908542544,['19.33340903 USDT'],0.00992,410.69000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250820-113000-001-000-1499,O-20250822-173000-001-000-1878,SELL,FLAT,0.000000,1.255574,1755702900000000000,2025-08-20 15:15:00+00:00,1755883800000000000,2025-08-22 17:30:00+00:00,180900000000000.0,113317.29480989443,114566.56635250998,['175.78621366 USDT'],-0.01102,-2596.71000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250822-173000-001-000-1879,O-20250823-104000-001-000-1880,BUY,FLAT,0.000000,0.385792,1755883800000000000,2025-08-22 17:30:00+00:00,1755945600000000000,2025-08-23 10:40:00+00:00,61800000000000.0,116643.05,115616.62000000001,['53.76000000 USDT'],-0.0088,-449.75000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250823-104000-001-000-1881,O-20250823-191000-001-000-1973,BUY,FLAT,0.000000,0.162723,1755946800000000000,2025-08-23 11:00:00+00:00,1756000200000000000,2025-08-24 01:50:00+00:00,53400000000000.0,115151.88592556362,115386.08581330655,['10.73425811 USDT'],0.00203,33.12000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250823-191000-001-000-1973,O-20250824-104000-001-000-2061,SELL,FLAT,0.000000,0.114651,1756000200000000000,2025-08-24 01:50:00+00:00,1756034100000000000,2025-08-24 11:15:00+00:00,33900000000000.0,115579.49139806893,114884.61174581992,['5.29018060 USDT'],0.00601,74.37000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250824-104000-001-000-2061,O-20250825-075000-001-000-2230,BUY,FLAT,0.000000,0.509526,1756034100000000000,2025-08-24 11:15:00+00:00,1756108200000000000,2025-08-25 07:50:00+00:00,74100000000000.0,113331.17455050042,111421.59240329739,['45.90556129 USDT'],-0.01685,-1039.53000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250825-075000-001-000-2231,O-20250826-154500-001-000-2232,SELL,FLAT,0.000000,0.403979,1756108200000000000,2025-08-25 07:50:00+00:00,1756223100000000000,2025-08-26 15:45:00+00:00,114900000000000.0,111392.03,109587.12,['53.56000000 USDT'],0.0162,675.59000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250826-154500-001-000-2241,O-20250829-110500-001-000-2745,SELL,FLAT,0.000000,0.901315,1756227300000000000,2025-08-26 16:55:00+00:00,1756465500000000000,2025-08-29 11:05:00+00:00,238200000000000.0,112072.51703881833,111099.84465170841,['77.86000000 USDT'],0.00868,967.81000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250829-110500-001-000-2746,O-20250830-123500-001-000-2747,SELL,FLAT,0.000000,0.409107,1756465500000000000,2025-08-29 11:05:00+00:00,1756557300000000000,2025-08-30 12:35:00+00:00,91800000000000.0,109995.59,108402.0,['53.61000000 USDT'],0.01449,598.34000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250830-123500-001-000-2756,O-20250830-124500-001-000-2764,SELL,FLAT,0.000000,0.035215,1756557900000000000,2025-08-30 12:45:00+00:00,1756559100000000000,2025-08-30 13:05:00+00:00,1200000000000.0,108526.90999999999,108277.09000000001,['1.52129441 USDT'],0.0023,7.27000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250830-124500-001-000-2764,O-20250830-130500-001-000-2772,BUY,FLAT,0.000000,0.039928,1756559100000000000,2025-08-30 13:05:00+00:00,1756564800000000000,2025-08-30 14:40:00+00:00,5700000000000.0,108277.09000000001,108651.81,['1.73183908 USDT'],0.00346,13.23000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250830-130500-001-000-2772,O-20250906-135500-001-000-3790,SELL,FLAT,0.000000,1.304493,1756564800000000000,2025-08-30 14:40:00+00:00,1757171400000000000,2025-09-06 15:10:00+00:00,606600000000000.0,110941.28558956184,109895.05887338181,['192.89155553 USDT'],0.00943,-674.67000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250906-135500-001-000-3790,O-20250907-203500-001-000-4047,BUY,FLAT,0.000000,0.592154,1757171400000000000,2025-09-06 15:10:00+00:00,1757287500000000000,2025-09-07 23:25:00+00:00,116100000000000.0,110916.66043887194,110993.26326236482,['37.98668638 USDT'],0.00069,284.09000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250907-203500-001-000-4047,O-20250907-205500-001-000-4053,SELL,FLAT,0.000000,0.028411,1757287500000000000,2025-09-07 23:25:00+00:00,1757292600000000000,2025-09-08 00:50:00+00:00,5100000000000.0,111561.66000000002,110955.06,['1.26944693 USDT'],0.00544,15.96000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250907-205500-001-000-4053,O-20250913-123500-001-000-4878,BUY,FLAT,0.000000,1.212828,1757292600000000000,2025-09-08 00:50:00+00:00,1757767200000000000,2025-09-13 12:40:00+00:00,474600000000000.0,113278.79840149228,113317.95291019902,['106.46367032 USDT'],0.00035,3632.45000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250913-123500-001-000-4878,O-20250913-123500-001-000-4870,SELL,FLAT,0.000000,0.014152,1757767200000000000,2025-09-13 12:40:00+00:00,1757768700000000000,2025-09-13 13:05:00+00:00,1500000000000.0,116032.47,115950.11,['0.65222729 USDT'],0.00071,0.51000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250913-123500-001-000-4870,O-20250916-134500-001-000-5383,BUY,FLAT,0.000000,1.334539,1757768700000000000,2025-09-13 13:05:00+00:00,1758041700000000000,2025-09-16 16:55:00+00:00,273000000000000.0,115243.03436162509,115614.3359409039,['223.01433576 USDT'],0.00322,463.85000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250916-134500-001-000-5383,O-20250920-212500-001-000-6103,SELL,FLAT,0.000000,0.918095,1758041700000000000,2025-09-16 16:55:00+00:00,1758414300000000000,2025-09-21 00:25:00+00:00,372600000000000.0,116150.47890237314,116079.24168621204,['79.12373743 USDT'],0.00061,680.02000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250920-212500-001-000-6103,O-20250922-084500-001-000-6243,BUY,FLAT,0.000000,1.197884,1758414300000000000,2025-09-21 00:25:00+00:00,1758530700000000000,2025-09-22 08:45:00+00:00,116400000000000.0,115446.91994941048,113945.91994492759,['125.72520687 USDT'],-0.013,-2632.86000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250922-084500-001-000-6244,O-20250923-071500-001-000-6245,SELL,FLAT,0.000000,0.399078,1758530700000000000,2025-09-22 08:45:00+00:00,1758611700000000000,2025-09-23 07:15:00+00:00,81000000000000.0,112759.99,113006.26999999999,['54.06000000 USDT'],-0.00218,-152.34000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250923-071500-001-000-6254,O-20250923-080000-001-000-6262,SELL,FLAT,0.000000,0.043807,1758614400000000000,2025-09-23 08:00:00+00:00,1758621600000000000,2025-09-23 10:00:00+00:00,7200000000000.0,113166.07,112846.47,['1.98066580 USDT'],0.00282,12.02000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250923-080000-001-000-6262,O-20250924-072500-001-000-6455,BUY,FLAT,0.000000,0.653769,1758621600000000000,2025-09-23 10:00:00+00:00,1758711900000000000,2025-09-24 11:05:00+00:00,90300000000000.0,111834.12694420728,112664.64766866765,['41.01916988 USDT'],0.00743,636.47000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250924-072500-001-000-6455,O-20250924-231500-001-000-6539,SELL,FLAT,0.000000,0.298983,1758711900000000000,2025-09-24 11:05:00+00:00,1758765000000000000,2025-09-25 01:50:00+00:00,53100000000000.0,113455.51254226388,112926.827164051,['14.19625202 USDT'],0.00466,149.01000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250924-231500-001-000-6539,O-20250925-181000-001-000-6756,BUY,FLAT,0.000000,0.675851,1758765000000000000,2025-09-25 01:50:00+00:00,1758823800000000000,2025-09-25 18:10:00+00:00,58800000000000.0,111311.14187967972,109510.20277635951,['63.20391230 USDT'],-0.01618,-1494.20000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250925-181000-001-000-6757,O-20250926-173000-001-000-6758,SELL,FLAT,0.000000,0.412004,1758823800000000000,2025-09-25 18:10:00+00:00,1758907800000000000,2025-09-26 17:30:00+00:00,84000000000000.0,109222.13,109857.28,['54.16000000 USDT'],-0.00582,-315.84000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250926-173000-001-000-6767,O-20250926-181500-001-000-6775,SELL,FLAT,0.000000,0.029743,1758910500000000000,2025-09-26 18:15:00+00:00,1758913200000000000,2025-09-26 19:00:00+00:00,2700000000000.0,110139.95846652993,109642.85,['1.30759814 USDT'],0.00451,13.48000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250926-181500-001-000-6775,O-20250928-093000-001-000-6981,BUY,FLAT,0.000000,0.379541,1758913200000000000,2025-09-26 19:00:00+00:00,1759070700000000000,2025-09-28 14:45:00+00:00,157500000000000.0,109301.45948956154,109586.35559037027,['27.79346148 USDT'],0.00261,145.17000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250928-093000-001-000-6981,O-20250929-004000-001-000-7124,SELL,FLAT,0.000000,0.562753,1759070700000000000,2025-09-28 14:45:00+00:00,1759106400000000000,2025-09-29 00:40:00+00:00,35700000000000.0,110183.98073434635,112006.94528432541,['50.87894038 USDT'],-0.01654,-1106.86000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250929-004000-001-000-7125,O-20250930-085500-001-000-7126,BUY,FLAT,0.000000,0.401583,1759106400000000000,2025-09-29 00:40:00+00:00,1759222500000000000,2025-09-30 08:55:00+00:00,116100000000000.0,112056.48,113451.89,['54.34000000 USDT'],0.01245,506.03000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250930-085500-001-000-7127,O-20250930-091000-001-000-7143,BUY,FLAT,0.000000,0.036577,1759223400000000000,2025-09-30 09:10:00+00:00,1759239900000000000,2025-09-30 13:45:00+00:00,16500000000000.0,113103.04422259891,113629.85,['1.66294388 USDT'],0.00466,17.61000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20250930-091000-001-000-7143,O-20251001-130000-001-000-7363,SELL,FLAT,0.000000,0.373633,1759239900000000000,2025-09-30 13:45:00+00:00,1759323600000000000,2025-10-01 13:00:00+00:00,83700000000000.0,114361.45346570034,116555.98000000001,['34.66705612 USDT'],-0.01919,-854.62000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20251001-130000-001-000-7364,O-20251003-073500-001-000-7365,BUY,FLAT,0.000000,0.386081,1759323600000000000,2025-10-01 13:00:00+00:00,1759476900000000000,2025-10-03 07:35:00+00:00,153300000000000.0,116555.98000000001,119658.84999999999,['54.72000000 USDT'],0.02662,1143.24000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20251003-073500-001-000-7366,O-20251003-080500-001-000-7382,BUY,FLAT,0.000000,0.028687,1759478700000000000,2025-10-03 08:05:00+00:00,1759480200000000000,2025-10-03 08:30:00+00:00,1500000000000.0,119485.69085822847,119774.7,['1.37272096 USDT'],0.00242,6.92000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20251003-080500-001-000-7382,O-20251003-183000-001-000-7494,SELL,FLAT,0.000000,0.453801,1759480200000000000,2025-10-03 08:30:00+00:00,1759516200000000000,2025-10-03 18:30:00+00:00,36000000000000.0,120492.39091612842,122503.82,['44.32727904 USDT'],-0.01669,-957.12000000 USDT,True
TESTER-001,SRGridStrategyV3-000,BTC/USDT.SIM,SIM-001,O-20251003-183000-001-000-7495,O-20251004-104500-001-000-7496,BUY,FLAT,0.000000,0.367335,1759516200000000000,2025-10-03 18:30:00+00:00,1759574700000000000,2025-10-04 10:45:00+00:00,58500000000000.0,122503.82,122186.04000000001,['53.93000000 USDT'],-0.00259,-170.66000000 USDT,True
