coin,time_ms,fundingRate,premium
BTC,1683849600048,-0.0006133368,-0.0009133368
BTC,1683878400388,-0.000745027,-0.001045027
BTC,1683907200253,-0.0008179771,-0.0011179771
BTC,1683936000278,-0.0004403551,-0.0007403551
BTC,1683964800255,-0.0001034319,-0.0004034319
BTC,1683993600054,-0.0001380334,-0.0004380334
BTC,1684022400087,-0.0002227042,-0.0005227042
BTC,1684051200271,-0.0002137192,-0.0005137192
BTC,1684080000380,-0.0001945397,-0.0004945397
BTC,1684108800374,-0.0000782041,-0.0003782041
BTC,1684137600045,-0.0001276332,-0.0004276332
BTC,1684166400409,-0.0001288077,-0.0004288077
BTC,1684195200447,-0.0000253654,-0.0003253654
BTC,1684224000126,-0.000129521,-0.000429521
BTC,1684252800731,-0.0000462775,-0.0003462775
BTC,1684281600067,-0.0000261481,-0.0003261481
BTC,1684310400279,0.0001,-0.0000442638
BTC,1684339200024,0.0001,-0.000076506
BTC,1684368000048,0.0001,-0.0000490768
BTC,1684396800038,-0.0000064613,-0.0003064613
BTC,1684425600052,-0.0000067035,-0.0003067035
BTC,1684454400026,0.0000892339,-0.0002107661
BTC,1684483200158,0.0001,-0.0001773526
BTC,1684512000396,0.000091624,-0.000208376
BTC,1684540800029,0.0000366019,-0.0002633981
BTC,1684569600111,0.000061012,-0.000238988
BTC,1684598400345,0.0000065076,-0.0002934924
BTC,1684627200095,-0.0002138913,-0.0005138913
BTC,1684656000013,-0.0001202087,-0.0004202087
BTC,1684684800088,-0.0001198537,-0.0004198537
BTC,1684713600066,-0.0001554343,-0.0004554343
BTC,1684742400290,-0.0002855006,-0.0005855006
BTC,1684771200159,-0.000269228,-0.000569228
BTC,1684800000022,-0.0001899086,-0.0004899086
BTC,1684830233040,-0.0001754061,-0.0004754061
BTC,1684857600079,-0.0001552822,-0.0004552822
BTC,1684886400035,-0.000110501,-0.000410501
BTC,1684915200002,-0.000180935,-0.000480935
BTC,1684944000001,-0.0001998793,-0.0004998793
BTC,1684972800233,-0.0001763761,-0.0004763761
BTC,1685001600374,-0.0000740973,-0.0003740973
BTC,1685030400209,-0.0000998004,-0.0003998004
BTC,1685059200136,-0.0000810263,-0.0003810263
BTC,1685088000044,-0.0001183066,-0.0004183066
BTC,1685116800180,-0.0001308069,-0.0004308069
BTC,1685145600015,-0.0000970696,-0.0003970696
BTC,1685174400106,-0.0000823054,-0.0003823054
BTC,1685203200044,-0.000097019,-0.000397019
BTC,1685232000362,-0.000207327,-0.000507327
BTC,1685260800081,-0.0003484458,-0.0006484458
BTC,1685289600156,-0.0001325304,-0.0004325304
BTC,1685318400082,-0.0000552924,-0.0003552924
BTC,1685347200068,0.0000441208,-0.0002558792
BTC,1685376000081,-0.000029903,-0.000329903
BTC,1685404800148,-0.0000151245,-0.0003151245
BTC,1685433600206,0.0001,-0.000139172
BTC,1685462400053,0.0001,-0.0001622872
BTC,1685491200047,0.0001,-0.0000900107
BTC,1685520000219,0.0001,0.0001968538
BTC,1685548800323,0.0001,0.0002841023
BTC,1685577600139,0.0001,0.0000950148
