bucket_low,bucket_high,count
-14.86044222121703,-14.365094147176462,1
-14.365094147176462,-13.869746073135895,0
-13.869746073135895,-13.374397999095326,0
-13.374397999095326,-12.879049925054758,0
-12.879049925054758,-12.383701851014191,0
-12.383701851014191,-11.888353776973624,0
-11.888353776973624,-11.393005702933056,0
-11.393005702933056,-10.897657628892489,0
-10.897657628892489,-10.402309554851922,0
-10.402309554851922,-9.906961480811354,0
-9.906961480811354,-9.411613406770787,1
-9.411613406770787,-8.916265332730218,0
-8.916265332730218,-8.42091725868965,1
-8.42091725868965,-7.925569184649083,1
-7.925569184649083,-7.430221110608515,1
-7.430221110608515,-6.934873036567947,3
-6.934873036567947,-6.439524962527379,6
-6.439524962527379,-5.944176888486812,14
-5.944176888486812,-5.4488288144462445,9
-5.4488288144462445,-4.953480740405677,16
-4.953480740405677,-4.45813266636511,36
-4.45813266636511,-3.9627845923245424,48
-3.9627845923245424,-3.4674365182839733,102
-3.4674365182839733,-2.972088444243406,182
-2.972088444243406,-2.4767403702028385,283
-2.4767403702028385,-1.9813922961622712,677
-1.9813922961622712,-1.4860442221217038,1306
-1.4860442221217038,-0.9906961480811365,2753
-0.9906961480811365,-0.49534807404056735,7121
-0.49534807404056735,0.0,17725
0.0,0.49534807404056735,17666
0.49534807404056735,0.9906961480811347,6624
0.9906961480811347,1.4860442221217038,2695
1.4860442221217038,1.9813922961622712,1242
1.9813922961622712,2.4767403702028385,615
2.4767403702028385,2.972088444243406,338
2.972088444243406,3.4674365182839733,204
3.4674365182839733,3.9627845923245406,141
3.9627845923245406,4.458132666365108,83
4.458132666365108,4.953480740405675,33
4.953480740405675,5.448828814446243,36
5.448828814446243,5.94417688848681,11
5.94417688848681,6.439524962527377,11
6.439524962527377,6.934873036567945,5
6.934873036567945,7.430221110608516,5
7.430221110608516,7.925569184649083,5
7.925569184649083,8.42091725868965,1
8.42091725868965,8.916265332730218,6
8.916265332730218,9.411613406770785,2
9.411613406770785,9.906961480811352,1
9.906961480811352,10.40230955485192,1
10.40230955485192,10.897657628892487,0
10.897657628892487,11.393005702933054,2
11.393005702933054,11.888353776973622,1
11.888353776973622,12.38370185101419,0
12.38370185101419,12.879049925054757,0
12.879049925054757,13.374397999095324,0
13.374397999095324,13.869746073135895,0
13.869746073135895,14.365094147176462,0
14.365094147176462,14.86044222121703,0
