coin,tf,n,mean,stdev,skew,kurtosis,p50,p90,p99,p99_9,min,max
AAVE,1d,1123,0.12716351853659896,4.772846176061981,0.4773827809073883,6.089419846642094,-0.15280115555873497,5.8095600416611894,14.266324347182074,21.247678501139422,-19.147224456958966,28.08632881555686
BTC,1d,1264,0.10763067821884868,2.424660646166557,0.3716137384888335,6.52598827003045,0.003951742027419325,2.8028032130629947,7.610488156338608,11.463276104398558,-14.01697950702011,12.118803065475237
CRV,1d,1186,0.03928579187810301,5.276296799196028,0.3065922009089245,6.675001681390354,-0.2911128534825391,6.146761325915651,15.977381334292064,24.274614013065744,-32.03210457230365,25.900330752600766
DOGE,1d,1228,0.07222285782007075,4.451118315699615,0.633106315056338,7.566709698137686,-0.08617736161479761,4.845284840784617,13.363602873373678,25.49532891196988,-22.315179792454344,27.051949237651797
ETH,1d,1264,0.06577267027485251,3.324503783522384,0.5340965285536584,7.693919079818831,0.015232053725477979,3.7554711167361736,10.416157331846886,18.08860572918745,-14.9913869360771,22.007508833922262
HYPE,1d,616,0.39871158528996453,5.595952708292384,0.5096404669532201,4.359582749528946,0.07523621524150315,7.32748551333553,14.506921154064294,23.807531447154055,-15.030925959614338,24.11194833153929
LIT,1d,234,0.012417468584862909,6.831318723377888,-0.08397882867893784,3.6151742019006985,0.1458208938906913,8.311694966097289,14.790491847657002,20.165234816282712,-20.310300416329696,20.35775765287029
PUMP,1d,399,0.0954092655164534,7.091245094544112,0.24240382251048292,3.7703457171037185,-0.2169197396963085,9.379359868691015,18.05027878502031,23.001672893174657,-27.192189477490516,24.91473703105367
SOL,1d,1258,0.19467749944676,4.318830219435142,0.5081111210626138,5.918590041322428,-0.024153368040141787,5.331045574681279,11.771039035912263,23.109954333002843,-20.399820808601188,25.157899386069538
XMR,1d,210,-0.1527303772898431,4.424742118047038,-1.0859446648816382,9.35964463352647,-0.07811292290345051,4.174087270373157,11.094943354377623,14.824508534857147,-23.31564223901279,15.515032329191625
XRP,1d,1153,0.156691134784411,4.51415650077969,4.734264830581992,72.51466464237906,-0.10330578512397492,3.961963414299963,14.958362984005609,32.817177359073305,-19.67831612390786,74.58840524292059
ZEC,1d,315,0.7244305807678255,8.01048940278499,0.8113300708964573,5.658361479767706,-0.09119270458363138,10.461866300168698,23.086473871247893,36.23216648627382,-26.011467594382164,39.301960784313735
AAVE,1h,5001,-0.009991289446774666,0.8547685526006554,-0.14554551120043832,9.114008333876146,-0.018368846436445097,0.9127204518542431,2.436157276043782,4.349160755594181,-7.010475423045925,5.270485957822535
BTC,1h,5002,-0.006994827853251687,0.47972685423527706,-0.25405722936996344,11.67078140187676,-0.003082690311856373,0.45821863992726153,1.4181031930137022,2.487225676028348,-4.866613301096168,3.423999496007424
CRV,1h,5001,-0.007004848267362894,0.8627268694184539,0.07175972988234294,7.0766610927635085,-0.012847965738760347,0.921512551636483,2.560808496060285,4.13699111931773,-6.005665722379594,4.811427646487543
DOGE,1h,5001,-0.011193227932631403,0.6725103872233702,-0.11787022777618258,10.407826380263337,-0.002165509923435227,0.6576475009394844,1.90439812288552,3.810787752393609,-5.699809172863068,4.250005754137232
ETH,1h,5002,-0.009177465456941387,0.6348979249603933,-0.026309055650922918,12.078074678618426,-0.004310811038737983,0.5747847173190302,1.860671601923475,3.9031089818416365,-6.000734034744304,4.388543304395376
HYPE,1h,4999,0.021385462761056406,1.0115646599152741,0.3077963814515789,7.842893553165025,0.007425448497078158,1.134112524969444,2.965645771736923,4.741665116194196,-7.06066697266583,9.38677113153532
LIT,1h,5001,0.014518466383194834,1.4964765499545971,0.4523218982297022,6.443039633198075,-0.04819741661848953,1.6798182687709273,4.436894174078154,7.521773555027703,-9.430671483742369,9.197553974790962
PUMP,1h,5002,0.005710248377176125,1.1799071063055382,0.3054253557775917,6.812309862808225,0.0,1.3187124854895587,3.5355171389485553,6.035834514286856,-7.867820613690013,8.724388631857227
SOL,1h,5002,-0.010406698710701169,0.6811180135603663,-0.20481322934240687,10.804922469984469,-0.0013396768571483086,0.6481601267258035,2.0052481542387293,3.4001476964940323,-5.994638226805938,5.3921113689095135
XMR,1h,5001,-0.004809581320241052,0.9197953799928581,-0.2626632496597912,10.554299054743282,0.010376404057166333,0.9393006551424721,2.4351476983055953,5.2098272011286415,-8.644533320483783,6.6087894588138685
XRP,1h,5001,-0.012364956592447135,0.6181855086472126,0.23434305512212109,12.426367729184538,-0.018336847895850106,0.5933482537864965,1.899341744377403,3.5539823008850044,-5.67864457270526,5.360523145758056
ZEC,1h,5001,0.01196691858802274,1.2782720990900986,0.571805294796309,16.236619167583996,-0.025701985478376876,1.2791617240015762,3.7668408028594946,8.757628402156614,-14.86044222121703,11.590958330324263
AAVE,1w,161,0.7835826174252345,11.588843041506223,0.4653575131758356,3.971630386132026,-0.08009286128844995,14.35482370453065,33.81407004869651,38.09156200445649,-34.795950155763244,38.82051199328955
BTC,1w,181,0.7373394855176706,6.240347438076189,0.43855414879687854,4.673058903102403,0.17319477751132073,7.383274321655686,19.762207627738565,21.634616358455805,-18.066445629284466,21.873675286138194
CRV,1w,170,0.27958578395353784,15.349166279436082,3.03901052006291,22.59936984088956,-0.2960416890773143,13.000629227623095,47.51293878243157,106.90373798056167,-31.249292471901025,115.15777056915364
DOGE,1w,176,0.5313049926315979,12.839190467623869,3.228391501488891,26.134824146334083,0.144553931637037,12.70950965911396,36.43283387696577,91.70310665487797,-26.15215435369388,103.25567199104691
ETH,1w,181,0.428601045029893,8.602924696538773,0.740209912087714,7.53432559399354,-0.09947643979058007,8.938015654749321,24.584437061931663,41.379561501606815,-28.63645424945179,44.0702296819788
HYPE,1w,88,2.5496986397422536,15.527401913568722,0.9416965057768693,4.668036749852268,0.49403790874909537,20.06545329372226,46.08596734541035,58.5141063508192,-28.546524881659586,59.895010684753316
LIT,1w,34,0.49202232182225575,19.41234899698139,0.9003282929075168,4.373071955972282,-0.4482925128702353,23.29097096870135,53.165655013785155,57.73949250350474,-30.481487366915626,58.24769666902905
PUMP,1w,57,0.6635801456155632,19.63137694757862,0.22763514087672798,3.422006715132617,-2.3774145616641817,24.06921564530869,47.922659736456765,50.820019659682124,-47.632833787465934,51.14194854004048
SOL,1w,180,1.376995392119183,11.099209303950099,0.769291013309784,5.324759673281975,0.8685813765972994,14.616244455425905,31.915586114560462,49.572051788490704,-26.51049565009179,51.96686412439839
XMR,1w,30,-0.7181682943485878,6.198952014297225,-0.7317429973465472,3.9955982025783228,-0.3096553680147218,6.426715778585784,9.701028644621086,10.473816392313568,-18.51859741809041,10.55968169761272
XRP,1w,165,1.0737733910373335,12.515825841501119,2.8841506602460734,15.511646782982142,-0.486840103453523,9.660780130466714,60.067248145364616,71.83161449577946,-22.540716612377842,74.07643447411468
ZEC,1w,45,4.300694181282135,21.053962896752896,0.5887749550236707,4.086732059483058,3.5210822428724864,29.02987590814792,59.6991687477692,68.37801409021422,-35.60075200820373,69.3423302393747
AAVE,5m,5018,-0.00249907753141114,0.17784482218612255,-0.21975278325665323,8.991651068425131,-0.002210494624832471,0.19692811983532685,0.47431783962509905,0.7746255597358191,-2.002311594357997,1.0920971694212689
BTC,5m,5031,-0.0005224250304237958,0.08317608863796382,0.3759246525886403,10.453601683977714,-0.0015390534821135837,0.08718938780594154,0.23504003966106699,0.4836058168453113,-0.5682720086351956,0.7730291700190906
CRV,5m,5024,0.004003598145344719,0.23877769184131473,0.21110023636301337,11.668723907397322,0.0,0.24058011490583725,0.745747900252122,1.263974335200806,-2.0476806505266953,2.128603104212856
DOGE,5m,5026,-0.0006447873116957651,0.11686561382376454,-0.05846440825292744,11.524449478923707,0.0,0.12355668268186903,0.32575699187660234,0.5697734531982351,-1.2136980726183966,1.0773863036374287
ETH,5m,5031,-0.000745629930636105,0.11469606662740865,0.6030039714955494,17.785908649091,0.0,0.11552194917032743,0.3355821053923202,0.6096318951830606,-0.8303802824350837,1.6681671344595639
HYPE,5m,5003,-0.0005378151307444214,0.17661896538547836,-0.15992134002858716,5.916597867402146,0.0,0.20388230929621723,0.4648638212542495,0.6958419812441835,-1.1797350190190903,0.9490728558146033
LIT,5m,5020,0.0009024274789770216,0.32266316604259593,0.22523679630950733,5.613854214823127,-0.00938836097482132,0.3840703955161123,0.907615369685014,1.3550300538427873,-1.8361206972834276,2.0230473751600586
PUMP,5m,5031,0.007153111934155317,0.39514061123804156,0.1641386134996641,5.876083887513065,0.0,0.4514672686230181,1.124441093440404,1.8292257375868202,-2.249598286020349,2.560386473429954
SOL,5m,5029,-1.2491910442153633e-05,0.11370464020983591,0.3973776417359999,10.020004015341154,-0.0026069501290582053,0.12036441169083198,0.3369241552469729,0.5168540512871945,-0.7759456838021261,1.274639169648073
XMR,5m,5020,0.002565531982262247,0.15731212112133505,-0.13471173095272274,7.678230514821888,0.002758775469891006,0.17509082577788168,0.40975640253743867,0.7644818837499077,-1.112734629650436,1.305358973717774
XRP,5m,5019,-0.0017833260013017788,0.10696574287585164,0.25726171364182276,9.4353019517668,0.0,0.1128731972051522,0.29368640990838807,0.5738031650396533,-0.7376081825334224,1.090460838232521
ZEC,5m,5025,-0.0004563730704327462,0.19876882734354873,0.26416760378572907,6.3430041028788455,0.0,0.2201171416970338,0.56546185555251,0.9585746315061674,-1.0848126232741673,1.442276874425752
