tf,signal,n_yes,mean_abs_yes,mean_abs_base,ratio
1d,range_top10,1303,4.726546309093576,3.097189706599043,1.5260758160931946
1h,range_top10,6004,1.0838524886998675,0.6097079554863141,1.7776584329383847
1w,range_top10,190,11.203560133924515,8.186674463224161,1.3685117423750857
5m,range_top10,6031,0.2044186872619078,0.12957504585330193,1.5776084501126852
1d,range_top1,139,6.279192483042858,3.097189706599043,2.027383879542175
1h,range_top1,604,1.693470727993341,0.6097079554863141,2.777511286764494
1w,range_top1,21,10.108083426629507,8.186674463224161,1.234699568431189
5m,range_top1,612,0.27200528327226764,0.12957504585330193,2.0992103956514727
1d,vol_top1,139,5.88900826949029,3.097189706599043,1.9014037974305689
1h,vol_top1,604,1.6026902768875142,0.6097079554863141,2.6286195915045583
1w,vol_top1,21,11.074748727287545,8.186674463224161,1.3527774650179474
5m,vol_top1,612,0.23833406546240746,0.12957504585330193,1.839351581107961
1d,prev_ret_gt_2s,403,4.775891657370272,3.097189706599043,1.5420081137408193
1h,prev_ret_gt_2s,1657,1.0911519178040274,0.6097079554863141,1.7896304418952595
1w,prev_ret_gt_2s,69,13.00205852818627,8.186674463224161,1.588197819101465
5m,prev_ret_gt_2s,1666,0.21611061582315588,0.12957504585330193,1.66784132237796
1d,prev_ret_lt_m2s,251,5.107014155369152,3.097189706599043,1.6489187422029288
1h,prev_ret_lt_m2s,1543,1.0886918740264573,0.6097079554863141,1.7855956515412317
1w,prev_ret_lt_m2s,18,8.027079108666548,8.186674463224161,0.9805054719990955
5m,prev_ret_lt_m2s,1506,0.20685091014868165,0.12957504585330193,1.5963792162795558
1d,prev_ret_gt_3s,133,5.8561114586919665,3.097189706599043,1.89078229409539
1h,prev_ret_gt_3s,555,1.3054144514823123,0.6097079554863141,2.1410487426576057
1w,prev_ret_gt_3s,26,8.709041513272595,8.186674463224161,1.0638069893208761
5m,prev_ret_gt_3s,498,0.2427191409644383,0.12957504585330193,1.8731935564138806
1d,prev_ret_lt_m3s,54,6.731946591498909,3.097189706599043,2.1735661129040476
1h,prev_ret_lt_m3s,494,1.4519832402597639,0.6097079554863141,2.3814405359064668
1w,prev_ret_lt_m3s,4,8.725404516629986,8.186674463224161,1.0658057256125042
5m,prev_ret_lt_m3s,425,0.22857201719998185,0.12957504585330193,1.7640126283170225
