coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99_9_next
AAVE,1d,prev+2sig,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,prev+2sig,no,1281,0.15933787575790367,4.650673277326005,-0.10487676979549221,5.607348505621057,14.248516496411618,21.166667857941427
AAVE,1d,prev+2sig,yes,38,-0.25533969184693156,5.752338036011876,0.4960587489452495,6.470885925220285,8.390770634111812,8.793966931252585
AAVE,1d,prev+3sig,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,prev+3sig,no,1305,0.16528189963999568,4.65392035662515,-0.07857928650008006,5.6477831071513585,14.225542776748279,21.15436244378472
AAVE,1d,prev+3sig,yes,14,-1.5202834624645134,6.97695275654829,-1.0714806013265687,5.370721044427616,6.7369218904089925,6.908212312879911
AAVE,1d,prev-2sig,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,prev-2sig,no,1296,0.13236561715905906,4.60336767659012,-0.10333184791516681,5.466451415395179,13.724453523642731,21.158976974093473
AAVE,1d,prev-2sig,yes,23,0.9940465529369835,8.136204660024132,0.665646009452181,12.273594497696974,14.173742399115538,14.263145384190166
AAVE,1d,prev-3sig,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,prev-3sig,no,1312,0.1330277305479866,4.635997023931352,-0.10333184791516681,5.567695275251691,13.807869841052698,21.150773364655784
AAVE,1d,prev-3sig,yes,7,2.8395040109618193,10.707006142859367,3.949587290316847,13.424706159009677,14.188241760179578,14.264595320296568
AAVE,1d,up5,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,up5,no,1290,0.13077812980615175,4.698177023547498,-0.09477552580764992,5.577671522137959,14.245753209223095,21.162053327632677
AAVE,1d,up5,yes,29,0.8863835553708782,3.9970959098059113,0.06457862447530882,5.985516682155918,7.9099400895552785,8.28769529799028
AAVE,1d,vol_top1,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,vol_top1,no,1305,0.10258916559040702,4.592427192904564,-0.10630819087463772,5.448416741903972,13.681627670731617,21.071920792079133
AAVE,1d,vol_top1,yes,14,4.3235749614435735,9.473919810857412,5.8267861499353035,13.848892604104067,19.949330003316327,20.712687890249427
AAVE,1d,vol_top10,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,vol_top10,no,1186,0.07362663352799471,4.41554877830164,-0.13649993487324097,5.224728179503435,13.112064266485305,20.479949874686728
AAVE,1d,vol_top10,yes,133,0.8051708510638307,6.59857701716308,0.8011653313911182,8.292545266488991,19.087514659692506,21.242551245240737
AAVE,1d,volspike_top1,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673
AAVE,1d,volspike_top1,no,1305,0.12144582079633291,4.652739146045357,-0.10487676979549221,5.547658862420586,13.81657464682296,21.15436244378472
AAVE,1d,volspike_top1,yes,14,2.5658653154626263,6.814781835939041,1.1505924705156878,11.976329205310142,15.116478461521,15.420053685461864
ALL,1d,prev+2sig,yes,388,0.5022763786697632,6.925798212401682,-0.08240463820072819,7.634108816326699,23.71899119197281,30.334047135464264
ALL,1d,prev+3sig,yes,130,-0.28286505643108784,8.210776211980024,-0.9498401976743454,8.400707833909399,25.241015510109374,26.35527102989195
ALL,1d,prev-2sig,yes,262,0.6986327074674079,7.00711040728895,0.3922314082552947,9.360944995584504,19.904173089878423,34.92542150587899
ALL,1d,prev-3sig,yes,57,3.1310052608249754,9.238075512392784,1.717146640185363,12.88771836429332,29.91168493786452,38.36293319966886
ALL,1d,up5,yes,344,0.46983048655663867,4.883109840648076,-0.11063989329562762,5.877438926724538,18.559371380479895,21.89163774113628
ALL,1d,vol_top1,yes,139,1.2062759481871486,8.635260241128213,0.6678170836928565,11.131570995621587,25.68379545195914,29.10381584240008
ALL,1d,vol_top10,yes,1310,0.7019344367909671,6.814000793348973,0.1789294728562596,8.307119417411094,20.979673402888796,37.28475862551067
ALL,1d,volspike_top1,yes,139,-0.5525904677847033,8.131217560071526,-1.24445565575666,10.133278372961753,21.3757425530515,28.43289746790408
BTC,1d,prev+2sig,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,prev+2sig,no,1279,0.13445547561121574,2.3941858195627814,0.007297672042616554,2.797170450764859,7.610203667917598,11.440580374737106
BTC,1d,prev+2sig,yes,40,0.014909290476303117,3.546992183854426,-0.38530709436839783,4.844532002186891,8.301523388790528,9.566506050669442
BTC,1d,prev+3sig,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,prev+3sig,no,1303,0.1476010432559061,2.4059307300773582,0.008521734684308058,2.8604562466221357,7.559099464860185,11.404267207279194
BTC,1d,prev+3sig,yes,16,-1.23495215229054,4.082754341883073,-1.7653475566902888,2.4105176560643704,8.619649017406818,9.598318613531074
BTC,1d,prev-2sig,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,prev-2sig,no,1284,0.12427458222602697,2.401892142455849,0.007909703363462306,2.8028032130629947,7.515607481563264,10.34537280838813
BTC,1d,prev-2sig,yes,35,0.37132460993081245,3.485513459874269,-0.5360172759524939,4.339839423140243,11.221182220624286,12.029040980990146
BTC,1d,prev-3sig,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,prev-3sig,no,1312,0.11417382220403482,2.4016356023609005,0.0005287256654051831,2.8050563179822494,7.495707170121302,10.34509711768525
BTC,1d,prev-3sig,yes,7,3.252695742014763,5.577240455643022,1.2428198433420468,10.534766280444165,11.960399386972128,12.102962697624926
BTC,1d,up5,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,up5,no,1279,0.11188704241827349,2.4233562694980897,0.006846032724028284,2.739810366034184,7.610203667917598,11.440580374737106
BTC,1d,up5,yes,40,0.7365349418206316,2.7572191496529905,0.060061621406515275,4.589595637556112,8.55511293053765,10.159993134511414
BTC,1d,vol_top1,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,vol_top1,no,1305,0.11736288811032479,2.412581416584823,0.006846032724028284,2.767363855939902,7.5580255887293974,10.345166040360969
BTC,1d,vol_top1,yes,14,1.3861682815588015,3.9669894125848346,1.0534075008016786,3.8308600256279024,11.046203241743507,12.011543083102065
BTC,1d,vol_top10,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,vol_top10,no,1186,0.14412139458002984,2.3043310253079072,0.007248980027074747,2.694866810355012,7.514533605432477,10.346337725848198
BTC,1d,vol_top10,yes,133,0.012307901908884438,3.3962072375288734,-0.25454671604380197,3.805441113915906,9.63399794451047,11.800452938561753
BTC,1d,volspike_top1,base,1319,0.13083011745701065,2.4353360980777348,0.006846032724028284,2.8544968421661303,7.7466500140810854,11.38005842897369
BTC,1d,volspike_top1,no,1305,0.1350208022663688,2.4124663713937147,0.008521734684308058,2.8584697784701354,7.5580255887293974,10.345166040360969
BTC,1d,volspike_top1,yes,14,-0.259801573701016,4.164359857610016,-0.47127935624091677,2.247181948577293,10.859197421152292,11.992842501042945
CRV,1d,prev+2sig,base,1319,0.08118649011943578,5.249848646255373,-0.25278125205713264,6.144966237399658,15.882961504884928,24.1831739348599
