tf,weekday,hour,med_vol,med_absnext
5m,0,0,3612.5,0.10384981702478702
5m,0,1,2647.5,0.08358949235612867
5m,0,2,2424.24,0.0823803725854555
5m,0,3,1904.6,0.08902069593640927
5m,0,4,2265.04115,0.06925134404264233
5m,0,5,1353.3600000000001,0.06772460083863674
5m,0,6,1551.1100000000001,0.06918355234341034
5m,0,7,2124.5,0.062185651606400105
5m,0,8,3002.355,0.08400221031015787
5m,0,9,2554.05,0.06586507505168537
5m,0,10,1570.2,0.06615579690170126
5m,0,11,1377.2,0.0814871403106654
5m,0,12,3125.5,0.08209338122113774
5m,0,13,7171.09,0.1348308107332996
5m,0,14,10450.84775,0.1283153228684386
5m,0,15,9063.665,0.1115304145708429
5m,0,16,5630.34,0.12002617945976457
5m,0,17,3351.27,0.08547732922143947
5m,0,18,4969.469999999999,0.08392436760960575
5m,0,19,4998.110000000001,0.07742717702091673
5m,0,20,3906.755,0.07857848187750593
5m,0,21,1936.4499999999998,0.06441132671716754
5m,0,22,3638.0649999999996,0.10241494778515658
5m,0,23,2252.67,0.07452940462955304
5m,1,0,4128.365,0.08568928108179663
5m,1,1,3956.56,0.11140102046302003
5m,1,2,2153.8999999999996,0.06431545028781072
5m,1,3,2419.16,0.06946101511159375
5m,1,4,2022.865,0.07007256682961538
5m,1,5,2031.125,0.06801545922711094
5m,1,6,2905.245,0.08262581840780547
5m,1,7,2927.935,0.08998719416120071
5m,1,8,2576.8900000000003,0.067367101517668
5m,1,9,1899.2150000000001,0.0704334312293109
5m,1,10,2987.08,0.07982284174796184
5m,1,11,3708.6815500000002,0.07328964727131293
5m,1,12,3631.965,0.07879664072388826
5m,1,13,6709.86,0.12688832093382674
5m,1,14,9901.166000000001,0.12491716367240002
5m,1,15,9464.735,0.15133152335410904
5m,1,16,5964.75,0.1111550891877422
5m,1,17,6023.79,0.11279956998623275
5m,1,18,4606.02,0.08806979422455452
5m,1,19,3852.6,0.08866388201798636
5m,1,20,4178.705,0.08781941933165283
5m,1,21,2744.35955,0.07415069492269777
5m,1,22,2651.23,0.0779624913683663
5m,1,23,3500.73,0.0740728929252199
5m,2,0,3832.375,0.09377740973898208
5m,2,1,2915.0,0.11488046130811447
5m,2,2,2865.4,0.11186210705143029
5m,2,3,2312.2349999999997,0.09099624608984724
5m,2,4,2317.9951499999997,0.0947484349316352
5m,2,5,2303.8050000000003,0.07461904598069502
5m,2,6,2894.04465,0.07419230664904575
5m,2,7,2257.105,0.07944821232356847
5m,2,8,2651.46,0.0784223379154847
5m,2,9,2385.05415,0.06590658388235804
5m,2,10,3081.0,0.07837934262161506
5m,2,11,2034.9499999999998,0.06876948958832729
5m,2,12,5058.68,0.09372951725845069
5m,2,13,6879.610000000001,0.12480713375329633
5m,2,14,5596.700000000001,0.14488372932734417
5m,2,15,5004.905000000001,0.10684564245908579
5m,2,16,4463.08,0.10237395600410926
5m,2,17,5031.665,0.0945687110132376
5m,2,18,9091.80705,0.10506996384511691
5m,2,19,4778.4,0.10662742583802398
5m,2,20,4056.8138,0.10654038341980088
5m,2,21,3960.245,0.0917931405891359
5m,2,22,2854.73,0.07510033497637458
5m,2,23,2251.375,0.0655059847838313
5m,3,0,2817.3995,0.09110437093234891
5m,3,1,2707.045,0.11545529956155653
5m,3,2,2573.575,0.08307507816769366
5m,3,3,1833.3049999999998,0.06503710928291717
5m,3,4,2229.1212,0.068909850861687
5m,3,5,3162.8818,0.08081842490840208
5m,3,6,1928.00335,0.0717939454233818
5m,3,7,2649.48,0.06410980202168903
5m,3,8,2592.1549999999997,0.07153120657618084
5m,3,9,2817.815,0.08527246175735193
5m,3,10,2599.5,0.07268031788105755
5m,3,11,2802.15,0.08316123212505078
5m,3,12,5584.9569,0.09880451066303642
5m,3,13,6625.45,0.09984185194050754
5m,3,14,7027.8749,0.11012474220671864
5m,3,15,6780.77075,0.12150590180201593
5m,3,16,6565.25,0.10666799471568122
5m,3,17,4733.8,0.08226113145770597
5m,3,18,2866.5,0.08986966029771448
5m,3,19,3637.2297,0.0727183202413606
5m,3,20,2823.5,0.06720677327017865
5m,3,21,2180.3500000000004,0.05396691565415779
5m,3,22,1935.005,0.06917836196924099
5m,3,23,3653.5,0.10246398470255547
5m,4,0,3099.8149999999996,0.08262051816972926
5m,4,1,4159.719999999999,0.11948529512703643
5m,4,2,2521.4849999999997,0.09324872880811519
5m,4,3,2241.065,0.09172328841902111
5m,4,4,1955.5900000000001,0.07846781132844205
5m,4,5,2694.5150000000003,0.07351631584708862
5m,4,6,2716.92,0.08705037025137363
5m,4,7,2470.34,0.0680166749503941
5m,4,8,2911.645,0.09900078014817293
5m,4,9,3599.33,0.05561970330879018
5m,4,10,2987.88475,0.08130488507268607
5m,4,11,2388.175,0.07859196506910249
5m,4,12,4232.64445,0.08456547175831886
5m,4,13,6194.3606500000005,0.11326678131884371
