coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
AAVE,body_pos,lower,1d,148,0.18006409371605822,-0.17324927032201232,,,3.478014659736055,2.6785753015281024,6.737693945885235
AAVE,body_pos,mid,1d,813,0.08901340124917191,-0.07540140157898945,7.14777670237738,15.045293974667489,3.40249869303275,2.699264036502025,6.4938558546925735
AAVE,body_pos,upper,1d,162,0.27029166809288446,-0.37176601565038214,,,3.8072751592499845,2.43617298591311,6.781916045680896
BTC,body_pos,lower,1d,101,0.2212262929030453,0.2325521304359146,,,1.9305841709363418,1.3662077062653433,3.743852088233843
BTC,body_pos,mid,1d,1025,0.17570801007898695,0.03779972718458424,3.8592127132238834,7.678975834440464,1.6522948069355314,1.1657355679701942,3.072072072072072
BTC,body_pos,upper,1d,138,-0.4811549901851046,-0.5192158786754997,,,1.8328598528598752,1.3014852423070877,3.56495711965367
CRV,body_pos,lower,1d,145,0.7546127012405944,0.5210981189628816,,,3.8803931550295303,2.752248367623511,7.908464379545372
CRV,body_pos,mid,1d,889,0.009763757732009664,-0.2776174376735163,8.291208668119712,16.958038786998728,3.7487063794809807,2.6823399471421094,6.948385432544625
CRV,body_pos,upper,1d,152,-0.4704333758961359,-0.8056527600466712,,,3.6984852621509403,2.9759544097404222,6.64507973200341
DOGE,body_pos,lower,1d,133,-0.3845835276084952,-0.4250386398763517,,,3.1031080620521316,2.0725946172802434,6.31366723259762
DOGE,body_pos,mid,1d,945,0.09515824337912927,-0.03033771391535156,6.5135436118805785,15.1378771406769,3.0152049877962006,2.130323722390104,5.475175601849069
DOGE,body_pos,upper,1d,150,0.33276492387799744,-0.4874020757857034,,,3.54029246115494,2.541510354530141,6.372798620289149
ETH,body_pos,lower,1d,94,0.17863179689117842,0.09695248943428769,,,2.6610630857176316,1.5290143374318221,4.776906174187447
ETH,body_pos,mid,1d,1020,0.07915002125939526,0.07685419496847867,4.980701205959638,11.13858556366496,2.2126804410359204,1.4612286737473945,4.052690148475239
