feature,tf,metric,effect,pooled_effect,pooled_sign,n_coins,matches,rate,exceptions,per_coin_effects
hour,5m,median_abs_next,US-open (12-16) vs Asian trough (5-9),0.033782071727400664,1,12,12,1.0,,AAVE:0.0389;BTC:0.0305;CRV:0.0258;DOGE:0.0183;ETH:0.0253;HYPE:0.0466;LIT:0.0514;PUMP:0.0763;SOL:0.0235;XMR:0.0339;XRP:0.0186;ZEC:0.0282
hour,1h,median_abs_next,US-open (12-16) vs Asian trough (5-9),0.14669715367188751,1,12,12,1.0,,AAVE:0.1044;BTC:0.0646;CRV:0.1433;DOGE:0.1270;ETH:0.1435;HYPE:0.1173;LIT:0.2268;PUMP:0.1847;SOL:0.1009;XMR:0.0369;XRP:0.0894;ZEC:0.2102
weekday,1d,median_next,Mon/Tue/Wed/Sat vs Thu/Fri/Sun,-0.5170480969529656,-1,12,10,0.8333333333333334,LIT;SOL,AAVE:-0.8793;BTC:-0.2013;CRV:-0.8604;DOGE:-0.6769;ETH:-0.3129;HYPE:-0.7766;LIT:0.1382;PUMP:-1.2338;SOL:0.0119;XMR:-0.0571;XRP:-0.6428;ZEC:-0.5414
weekday,1h,median_abs_next,weekdays vs weekend,0.10940038647492267,1,12,12,1.0,,AAVE:0.1041;BTC:0.0993;CRV:0.1333;DOGE:0.0957;ETH:0.1062;HYPE:0.1657;LIT:0.1654;PUMP:0.1539;SOL:0.0971;XMR:0.0699;XRP:0.0896;ZEC:0.1395
dom,1d,median_next,top-3 vs bottom-3 dom buckets (pooled),1.449624754268286,1,7,7,1.0,,AAVE:1.0814;BTC:0.7242;CRV:2.1567;DOGE:0.9325;ETH:0.9667;SOL:1.4579;XRP:1.2107
vol_pct,5m,median_abs_next,>99 vs <50,0.0962698853258448,1,12,12,1.0,,AAVE:0.0615;BTC:0.0532;CRV:0.1256;DOGE:0.0557;ETH:0.1325;HYPE:0.1127;LIT:0.2023;PUMP:0.1721;SOL:0.0440;XMR:0.1174;XRP:0.0612;ZEC:0.0691
vol_pct,1h,median_abs_next,>99 vs <50,0.7458359359623357,1,12,12,1.0,,AAVE:0.8262;BTC:0.7164;CRV:0.6847;DOGE:0.3746;ETH:0.3261;HYPE:1.0977;LIT:0.7585;PUMP:0.9336;SOL:0.7278;XMR:0.9547;XRP:0.6290;ZEC:1.7320
vol_chg,5m,median_abs_next,D10 vs D1,0.010840458727778834,1,12,10,0.8333333333333334,BTC;DOGE,AAVE:0.0183;BTC:-0.0002;CRV:0.0119;DOGE:-0.0010;ETH:0.0032;HYPE:0.0205;LIT:0.0265;PUMP:0.0218;SOL:0.0122;XMR:0.0096;XRP:0.0012;ZEC:0.0088
vol_chg,1h,median_abs_next,D10 vs D1,0.04803830092564576,1,12,11,0.9166666666666666,CRV,AAVE:0.0446;BTC:0.0279;CRV:-0.0243;DOGE:0.0598;ETH:0.0353;HYPE:0.1190;LIT:0.0433;PUMP:0.0770;SOL:0.0468;XMR:0.0172;XRP:0.0481;ZEC:0.1012
vol_per_move,5m,median_abs_next,>99 vs <50,0.00938981877062206,1,12,9,0.75,CRV;XMR;ZEC,AAVE:0.0206;BTC:0.0110;CRV:-0.0082;DOGE:0.0053;ETH:0.0386;HYPE:0.0410;LIT:0.0389;PUMP:0.1202;SOL:0.0004;XMR:-0.0074;XRP:0.0031;ZEC:-0.0062
vol_per_move,1h,median_abs_next,>99 vs <50,0.0734880159200868,1,12,10,0.8333333333333334,BTC;XMR,AAVE:0.0988;BTC:-0.0130;CRV:0.2499;DOGE:0.0326;ETH:0.0456;HYPE:0.0799;LIT:0.2995;PUMP:0.2951;SOL:0.1749;XMR:-0.0703;XRP:0.1604;ZEC:0.1176
vol_ma20,5m,median_abs_next,>4x vs <0.5x,0.013523758386208007,1,12,12,1.0,,AAVE:0.0167;BTC:0.0048;CRV:0.0106;DOGE:0.0086;ETH:0.0153;HYPE:0.0221;LIT:0.0521;PUMP:0.0609;SOL:0.0155;XMR:0.0064;XRP:0.0099;ZEC:0.0237
vol_ma20,1h,median_abs_next,>4x vs <0.5x,0.16058489344831228,1,12,12,1.0,,AAVE:0.1326;BTC:0.1578;CRV:0.1031;DOGE:0.1850;ETH:0.1198;HYPE:0.2173;LIT:0.2094;PUMP:0.1589;SOL:0.1508;XMR:0.2250;XRP:0.1008;ZEC:0.2650
vol_ma20,1d,median_abs_next,>4x vs <0.5x,0.996091849032188,1,4,4,1.0,,AAVE:1.2541;CRV:1.6240;DOGE:0.7928;XRP:1.0128
body_pos,1h,median_next,upper vs lower,-0.04171432816789111,-1,12,12,1.0,,AAVE:-0.0290;BTC:-0.0307;CRV:-0.0697;DOGE:-0.0407;ETH:-0.0400;HYPE:-0.0784;LIT:-0.0502;PUMP:-0.0573;SOL:-0.0364;XMR:-0.0792;XRP:-0.0048;ZEC:-0.1231
cooloff,5m,median_abs_next,0 vs 6+,0.07390898453419337,1,12,12,1.0,,AAVE:0.0695;BTC:0.0461;CRV:0.1648;DOGE:0.0523;ETH:0.0788;HYPE:0.0680;LIT:0.1128;PUMP:0.1630;SOL:0.0538;XMR:0.0594;XRP:0.0632;ZEC:0.0723
cooloff,1h,median_abs_next,0 vs 6+,0.413078512757864,1,12,12,1.0,,AAVE:0.4822;BTC:0.2471;CRV:0.3370;DOGE:0.3893;ETH:0.2219;HYPE:0.5167;LIT:0.5166;PUMP:0.5160;SOL:0.2381;XMR:0.5174;XRP:0.4334;ZEC:0.7018
