coin,tf,n_events,n_candles,p,mean_int,exp_mean,ratio,median_int,frac_le10,exp_frac_le10,cv2
AAVE,1d,18,1124,0.01601423487544484,49.529411764705884,62.44444444444444,0.793175633242621,37.0,0.17647058823529413,0.14908112477537683,0.8256864946598136
AAVE,1h,82,5002,0.01639344262295082,55.98765432098765,61.0,0.9178303987047156,12.0,0.4567901234567901,0.1523547089148678,2.2120524306235105
AAVE,1w,2,162,0.012345679012345678,25.0,81.0,0.30864197530864196,25.0,0.0,0.11681907384603285,0.0
AAVE,5m,68,5019,0.01354851564056585,73.5223880597015,73.80882352941177,0.9961192245586176,22.0,0.2835820895522388,0.1275163313279375,3.5336007420583875
BTC,1d,21,1265,0.016600790513833993,53.1,60.238095238095234,0.881501976284585,42.0,0.4,0.15413988235895237,1.058688967623182
BTC,1h,90,5003,0.017989206476114333,51.2247191011236,55.58888888888889,0.9214920485910701,17.0,0.43820224719101125,0.16600660239506215,1.6413213300827671
BTC,1w,4,182,0.02197802197802198,24.333333333333332,45.5,0.5347985347985348,18.0,0.0,0.19926992029361879,0.13548508162882344
BTC,5m,87,5032,0.01728934817170111,57.69767441860465,57.83908045977012,0.9975551817207082,14.5,0.43023255813953487,0.16004380997299583,3.393112767878277
CRV,1d,19,1187,0.016006739679865205,45.94444444444444,62.47368421052632,0.7354207619582513,39.0,0.3333333333333333,0.14901630654083908,0.7838430597328084
CRV,1h,94,5002,0.01879248300679728,53.59139784946237,53.21276595744681,1.0071154333965338,22.0,0.3978494623655914,0.17280354110297935,2.9193180617784282
CRV,1w,2,171,0.011695906432748537,32.0,85.5,0.3742690058479532,32.0,0.0,0.11099144095806235,0.0
CRV,5m,102,5025,0.020298507462686566,49.15841584158416,49.26470588235294,0.9978424708142456,9.0,0.5445544554455446,0.18541258378082548,9.277843352612294
DOGE,1d,17,1229,0.013832384052074858,44.8125,72.29411764705883,0.6198637103336045,8.5,0.5625,0.13002380464411833,1.8789100719914256
DOGE,1h,90,5002,0.01799280287884846,45.449438202247194,55.577777777777776,0.8177627825274385,20.0,0.42696629213483145,0.1660371451011612,1.871727857645982
DOGE,5m,75,5027,0.01491943505072608,66.64864864864865,67.02666666666667,0.9943601847321759,16.5,0.4594594594594595,0.13956610963310812,2.494849663452147
ETH,1d,23,1265,0.01818181818181818,42.68181818181818,55.0,0.7760330578512395,26.5,0.36363636363636365,0.16764095491980702,0.9246110731172335
ETH,1h,108,5003,0.021587047771337197,42.60747663551402,46.324074074074076,0.9197696335469746,18.0,0.42990654205607476,0.19606315608728986,2.45305369905556
ETH,1w,4,182,0.02197802197802198,26.0,45.5,0.5714285714285715,25.0,0.0,0.19926992029361879,0.1804733727810651
ETH,5m,93,5032,0.018481717011128777,53.79347826086956,54.107526881720425,0.994195842261699,14.0,0.44565217391304346,0.17017992466561194,3.412176722268085
HYPE,1d,6,617,0.009724473257698542,82.4,102.83333333333333,0.8012965964343599,43.0,0.4,0.09309778608146091,1.2532166085399186
HYPE,1h,76,5000,0.0152,60.88,65.78947368421052,0.9253760000000001,11.0,0.48,0.1420136091661104,6.072974962630147
HYPE,5m,70,5004,0.013988808952837729,71.15942028985508,71.4857142857143,0.9954355356294674,28.0,0.2318840579710145,0.1314027674364765,1.8793899975526898
LIT,1h,77,5002,0.015393842463014795,53.31578947368421,64.96103896103897,0.8207348639491572,13.5,0.3684210526315789,0.14370092597128725,3.266574998854965
LIT,5m,64,5021,0.012746464847639912,78.63492063492063,78.453125,1.00231725166997,38.0,0.20634920634920634,0.1203964462678957,1.5248859552289622
PUMP,1d,2,400,0.005,90.0,200.0,0.45,90.0,0.0,0.048889869534228136,0.0
PUMP,1h,80,5003,0.01599040575654607,61.74683544303797,62.5375,0.9873569529168574,35.0,0.31645569620253167,0.14887503585026807,2.689097202575142
PUMP,5m,66,5032,0.013116057233704292,76.24615384615385,76.24242424242425,1.0000489176959766,29.0,0.24615384615384617,0.12368382528173694,2.015767568159122
SOL,1d,12,1259,0.009531374106433678,85.27272727272727,104.91666666666666,0.8127662647122535,37.0,0.2727272727272727,0.0913278161191492,1.0906456144498344
SOL,1h,98,5003,0.01958824705176894,47.0,51.05102040816326,0.9206476114331401,16.0,0.4536082474226804,0.17948771409828446,3.231373061468314
SOL,1w,2,181,0.011049723756906077,3.0,90.5,0.03314917127071823,3.0,1.0,0.10516170611130071,0.0
SOL,5m,79,5030,0.01570576540755467,63.37179487179487,63.670886075949376,0.9953025437120864,17.0,0.41025641025641024,0.1464098149172277,2.079064352022934
XMR,1d,4,211,0.018957345971563982,47.333333333333336,52.74999999999999,0.8973143759873619,16.0,0.3333333333333333,0.17419235022971202,1.1858758182900215
XMR,1h,76,5002,0.015193922431027589,65.18666666666667,65.8157894736842,0.9904411568705851,12.0,0.4533333333333333,0.14196065814781123,5.6794632621660455
XMR,5m,75,5021,0.014937263493328022,66.78378378378379,66.94666666666667,0.9975669754598255,21.5,0.28378378378378377,0.1397218222466794,1.907732775878048
XRP,1d,19,1154,0.016464471403812825,52.166666666666664,60.73684210526316,0.858896591565569,36.0,0.4444444444444444,0.1529666166965885,1.2909491778011413
XRP,1h,96,5002,0.01919232307077169,42.61052631578947,52.104166666666664,0.8177949872682505,9.0,0.5263157894736842,0.1761681753414358,3.914909426799357
XRP,1w,4,166,0.024096385542168676,24.0,41.5,0.5783132530120483,18.0,0.3333333333333333,0.2164453991600741,0.7546296296296297
XRP,5m,73,5020,0.01454183266932271,68.30555555555556,68.76712328767123,0.9932879592740151,19.0,0.3888888888888889,0.13626218801420975,2.75244931889081
ZEC,1d,4,316,0.012658227848101266,79.66666666666667,79.0,1.008438818565401,58.0,0.3333333333333333,0.11960997350601621,0.8411967577598432
ZEC,1h,82,5002,0.01639344262295082,50.888888888888886,61.0,0.8342440801457195,14.0,0.48148148148148145,0.1523547089148678,2.331572624473218
ZEC,5m,71,5026,0.014126541981695185,68.47142857142858,70.78873239436619,0.9672645102609289,37.0,0.2714285714285714,0.13261532319138514,1.1923554192168324
