tf,scope,side,n,mean5,median5,event_|ret|_mean,event_|ret|_median
1d,all,all,10202,0.6813414587636978,-0.1487047063759755,,
1d,all_up,up,4996,0.6321409572979338,-0.28257413366128015,,
1d,events,up,99,4.423830208813269,0.7833190346525419,17.754477352169825,16.54087119530363
1d,all_down,down,5206,0.7285573068856638,-0.06013696748349284,,
1d,events,down,46,2.4714604442204338,3.0688254026010613,16.049464008545097,15.475230615040829
1h,all,all,59966,-0.009046421679571164,-0.0388283237134634,,
1h,all_up,up,29378,-0.022685681673174966,-0.07412205478708417,,
1h,events,up,555,0.06157407241866411,-0.20968756552737022,3.5844191388468962,3.2603780410599636
1h,all_down,down,30588,0.004053296513579494,0.0,,
1h,events,down,494,0.258371569362719,0.2742617068167293,3.3715021092099713,3.079311803439727
1w,all,all,1420,5.6011048033669555,-1.3564188531117642,,
1w,all_up,up,704,6.838425255012851,-0.55398763293712,,
1w,events,up,19,8.816267332740486,-2.284838795630163,52.27571721950877,51.96686412439839
1w,all_down,down,716,4.384521565994453,-2.0276867652894612,,
1w,events,down,3,2.7978546409001956,-0.0341821910784559,30.347145421389854,28.63645424945179
5m,all,all,60229,0.0030452525046794758,-0.0027492920572927456,,
5m,all_up,up,29197,-0.0012940018169851257,-0.0106752068321348,,
5m,events,up,498,0.013752983609322318,-0.006598998990266976,0.7155744506513477,0.6106408208853664
5m,all_down,down,31032,0.007127915833812028,0.004100489362591849,,
5m,events,down,425,0.027156015374484897,0.04979253112033568,0.6766428091136378,0.5700642637020525
