side,tf,half,n,k,mean_cum,median_cum
down,1d,h1,16,1,1.5938870007434787,2.291508074446726
down,1d,h1,16,2,2.7478459064426466,2.822959505173621
down,1d,h1,16,3,3.1725663520578307,5.360927789705822
down,1d,h1,16,4,3.098590998855334,2.443707640181425
down,1d,h1,16,5,3.034781429797733,5.817063240542806
down,1d,h1,16,6,3.8444351203068665,5.196404592695479
down,1d,h1,16,7,4.6404029945470615,10.462412561881461
down,1d,h1,16,8,5.858415683336876,9.977708790960596
down,1d,h1,16,9,6.22605492699047,7.229266657567856
down,1d,h1,16,10,4.392626049618863,4.815552605306958
down,1d,h2,30,1,2.890005572757901,1.214802675013389
down,1d,h2,30,2,4.786001409163181,5.472679137066411
down,1d,h2,30,3,6.884657580628572,9.06593381178785
down,1d,h2,30,4,4.274770504484649,4.074183798252562
down,1d,h2,30,5,2.171022585245874,2.497005734150342
down,1d,h2,30,6,1.3234792975686853,0.35233375189899124
down,1d,h2,30,7,-2.5300273079175786,-1.7027643736206224
down,1d,h2,30,8,0.6523728603177328,0.23552273648377522
down,1d,h2,30,9,3.3806360942946174,1.0929373644972893
down,1d,h2,30,10,2.4229209455590763,2.2675385178373726
down,1h,h1,295,1,-0.022424052722543195,-0.041932237504184885
down,1h,h1,295,2,-0.13044711532192255,-0.11557208180493214
down,1h,h1,295,3,-0.08901280810978429,-0.07235802752017254
down,1h,h1,295,4,-0.27272189233407096,-0.03445305770887949
down,1h,h1,295,5,-0.14270775905173014,-0.030737704918028127
down,1h,h1,295,6,-0.11007659179714652,0.08796165773892838
down,1h,h1,295,7,-0.04402717138637834,0.12266646222256761
down,1h,h1,295,8,0.06504935186086654,0.008760498910421709
down,1h,h1,295,9,0.18881360664788752,0.1606653435403114
down,1h,h1,295,10,0.24185788758913293,0.14862072715409566
down,1h,h2,199,1,0.773500404324924,0.6241096262126151
down,1h,h2,199,2,0.9023421402904267,0.7363141607085648
down,1h,h2,199,3,1.0216561745222128,0.8033653705705355
down,1h,h2,199,4,1.126413792161095,1.0640900195694734
down,1h,h2,199,5,0.8529364029419274,0.8681925808997744
down,1h,h2,199,6,0.5941966536961217,0.6775067750677377
down,1h,h2,199,7,0.6334396484497753,0.7449002979601094
down,1h,h2,199,8,0.5482500792480367,0.4688445251058668
down,1h,h2,199,9,0.4454864446064985,0.5403436342662917
down,1h,h2,199,10,0.4693305914896486,0.35435861091424614
down,1w,h1,2,1,11.05385614632986,11.05385614632986
down,1w,h1,2,2,6.192856459363811,6.192856459363811
down,1w,h1,2,3,5.434398674886268,5.434398674886268
down,1w,h1,2,4,3.7246726660803837,3.7246726660803837
down,1w,h1,2,5,6.450145711990458,6.450145711990458
down,1w,h1,2,6,12.738998318167779,12.738998318167779
down,1w,h1,2,7,17.521735742936237,17.521735742936237
down,1w,h1,2,8,4.2759422046686915,4.2759422046686915
down,1w,h1,2,9,2.8510663251724777,2.8510663251724777
down,1w,h1,2,10,12.284705619914039,12.284705619914039
down,1w,h2,1,1,-9.609385911820851,-9.609385911820851
down,1w,h2,1,2,-8.985520741189069,-8.985520741189069
down,1w,h2,1,3,-4.236696308021789,-4.236696308021789
down,1w,h2,1,4,-0.9916662786908228,-0.9916662786908228
down,1w,h2,1,5,-4.506727501280328,-4.506727501280328
down,1w,h2,1,6,2.5373620745844776,2.5373620745844776
down,1w,h2,1,7,0.9404534661762567,0.9404534661762567
down,1w,h2,1,8,-0.4376367614879692,-0.4376367614879692
down,1w,h2,1,9,1.9181526141812848,1.9181526141812848
down,1w,h2,1,10,9.795614320964667,9.795614320964667
down,5m,h1,234,1,0.020132184249310438,0.039775507561220586
down,5m,h1,234,2,-0.011174807636479593,-0.003323421718705691
down,5m,h1,234,3,-0.043124782598559785,0.013979630021034334
down,5m,h1,234,4,-0.03374029689710063,0.016289219774723446
down,5m,h1,234,5,-0.039492251675529895,0.014204117702717345
down,5m,h1,234,6,-0.0129680943169717,0.031606056114104136
