tf,col,n,p50,p90,p99,mean,frac_abs_ge1,rate_per_1k,rate_not_per_1k,ratio
1d,dist_high,9662,-0.09090398900975363,0.9142643478066281,20.0,-4.4371298774593955,0.5392258331608363,,,
1d,dist_low,9662,0.3479457160922473,20.0,20.0,5.3035792810802285,0.5294969985510246,,,
1d,ext_up,953,,,,,,29.38090241343127,7.627027607691481,3.852208740375094
1d,ext_down,594,,,,,,35.35353535353535,2.5858502275548196,13.671919191919192
1h,dist_high,59426,-0.12641741110064414,0.04694642947064913,20.0,-4.548160061368425,0.5243496112812573,,,
1h,dist_low,59426,0.09763911834950198,20.0,20.0,4.1936989162660945,0.5228519503247737,,,
1h,ext_up,4395,,,,,,33.44709897610922,7.334040373173231,4.5605283410292445
1h,ext_down,4836,,,,,,35.359801488833746,5.852509512592861,6.041818712596701
1w,dist_high,918,-0.13479487461733985,1.4174239769166028,20.0,-5.643022294079867,0.5631808278867102,,,
1w,dist_low,918,0.22280506897182192,20.0,20.0,5.281910864256019,0.5490196078431373,,,
1w,ext_up,94,,,,,,31.914893617021274,11.544011544011545,2.764627659574468
1w,ext_down,60,,,,,,33.333333333333336,0.7042253521126761,47.333333333333336
5m,dist_high,59689,-0.11844489574642694,0.33786144006102725,20.0,-4.226301411535608,0.5255239658898625,,,
5m,dist_low,59689,0.10251610168135578,20.0,20.0,4.232647417189851,0.5249543466970463,,,
5m,ext_up,5200,,,,,,24.423076923076923,6.734556808074207,3.626530686294837
5m,ext_down,5133,,,,,,29.807130333138513,4.93146711146566,6.044272355347751
