side,tf,n,mean5,median5,p25,p75,ext_n,con_n,mid_n,split,bucket,h1_mean5,h2_mean5,h1_n,h2_n
down,1d,46,2.4714604442204338,3.0688254026010613,-2.0617983740127275,8.288677377793856,0.0,0.0,0.0,,,,,,
down,1d,21,1.5888931677495748,2.560998323710188,-2.148679613838699,7.985766302548825,,,,ext,ext,-1.6639658671501314,2.3542717641965645,4.0,17.0
down,1d,20,2.792639259188253,3.0688254026010613,-2.8071325096913666,8.940190840594889,,,,ext,mid,3.61794662039945,2.2424343517141216,8.0,12.0
down,1d,5,4.89352774552677,8.321073383157762,0.0724569932685116,8.590361640036761,,,,ext,con,6.567198345542165,-1.8011546545348125,4.0,1.0
down,1d,33,3.652639790851146,3.2954727243641053,-0.854809092635978,8.331682187438078,,,,vol,high_vol,6.288925975584306,3.0667984164659994,6.0,27.0
down,1d,13,-0.5269178972267567,2.8421780808380173,-7.399677449957307,7.985766302548825,,,,vol,low_vol,1.0822947023257896,-5.890959895735246,10.0,3.0
down,1d,41,2.5565680137729343,3.4586320480526926,-1.8011546545348125,8.321073383157762,,,,regime,high_regime,3.316259947517843,2.2038539016770833,13.0,28.0
down,1d,5,1.7735783738899336,0.9897551658274025,-2.148679613838699,2.4330131445904954,,,,regime,low_regime,1.8150411863439235,1.711384155208949,3.0,2.0
down,1d,46,2.4714604442204338,3.0688254026010613,-2.0617983740127275,8.288677377793856,,,,hour,0-5,3.034781429797733,2.171022585245874,16.0,30.0
down,1d,0,,,,,,,,hour,6-11,,,0.0,0.0
down,1d,0,,,,,,,,hour,12-17,,,0.0,0.0
down,1d,0,,,,,,,,hour,18-23,,,0.0,0.0
down,1h,494,0.258371569362719,0.2742617068167293,-1.5484919585025623,2.1140500729521268,0.0,0.0,0.0,,,,,,
down,1h,171,0.009094792040612004,0.3775669951192528,-1.454440008636266,2.0623154813717766,,,,ext,ext,-0.1852212023207906,0.3977267807634174,114.0,57.0
down,1h,244,0.45668082045285013,0.28799658024321423,-1.5514582815470397,2.189719198786163,,,,ext,mid,-0.09857508526350599,1.2041406935325603,140.0,104.0
down,1h,79,0.18544589412332974,-0.1917105440799342,-1.517905011971984,1.919067569255848,,,,ext,con,-0.17519658338535188,0.5745601461721703,41.0,38.0
down,1h,397,0.2750404090121316,0.3438124739120013,-1.5539153116155182,2.1261401629499828,,,,vol,high_vol,-0.19035233124344378,0.8901208727417226,226.0,171.0
