side,tf,ext_bucket,n,mean5,median5
down,1d,ext,21,1.5888931677495748,2.560998323710188
down,1d,mid,20,2.792639259188253,3.0688254026010613
down,1d,con,5,4.89352774552677,8.321073383157762
down,1h,ext,171,0.009094792040612004,0.3775669951192528
down,1h,mid,244,0.45668082045285013,0.28799658024321423
down,1h,con,79,0.18544589412332974,-0.1917105440799342
down,1w,ext,2,-2.270454846179392,-2.270454846179392
down,1w,mid,1,12.934473615059371,12.934473615059371
down,1w,con,0,,
down,5m,ext,153,0.0444963068396515,0.060266759710085174
down,5m,mid,202,0.013499316809466136,0.05567559911378438
down,5m,con,70,0.02866442274538918,0.023453464123331026
up,1d,ext,28,4.270924816493884,2.653298452085309
up,1d,mid,53,7.611580376939201,3.0851195638706477
up,1d,con,18,-4.724470231505162,-3.811720191345028
up,1h,ext,147,0.3064751477724896,-0.193764720897585
up,1h,mid,295,0.099902494957741,-0.1328903654485082
up,1h,con,113,-0.3570749782542567,-0.3435595713385295
up,1w,ext,3,4.30235927605009,5.46073449036341
up,1w,mid,14,11.745148899650578,-0.8311633632593107
up,1w,con,2,-4.915041550594587,-4.915041550594587
up,5m,ext,127,0.06939738978107778,0.03696662441909831
up,5m,mid,266,-0.02469142020927098,-0.0670353495477284
up,5m,con,105,0.04384223915154023,0.06788866259334453
