coin,A5_n,A5,A5_net,A5_win,B5_n,B5,C_days,C
BTC,2,4.72036545498811,4.626138331952641,50.0,3,-3.4970432199503763,632,-0.03368526920645405
ETH,6,-4.80957119421803,-4.89522330408139,50.0,10,-1.746575497050686,632,-0.012162738367398344
HYPE,0,,,,1,-0.83403647692607,308,0.21232169704121737
SOL,4,1.68411741452506,1.5926222998857726,75.0,2,-12.741951528965814,629,-0.11059259999628593
PUMP,0,,,,0,,199,0.16917511717840122
ZEC,0,,,,0,,157,0.7410801783817157
XRP,3,4.888739602992387,4.79436097731949,66.66666666666666,3,-8.97442953232981,576,-0.09318056003407404
LIT,0,,,,1,-10.88240781045955,117,0.9655699743270688
DOGE,3,0.9317060282474701,0.8408879314925335,66.66666666666666,4,-5.1809331689098,614,-0.20748609557570877
CRV,4,0.48245352716174505,0.3920396666841476,75.0,4,-4.317029324388358,593,-0.09441287552880485
AAVE,5,4.4634406010309355,4.369444658336744,80.0,5,-3.9723991614859044,561,-0.09956260475898085
XMR,1,8.19148936170213,8.09413893005319,100.0,1,-10.740817168799,105,0.1251427169773445
