coin,split,bucket,n,mean_next_1d,median_next_1d,mean_next_5d,median_next_5d
BTC,first_half,extreme_negative,16,0.004106812786107417,0.5219787987179925,0.8497518023155696,2.088763792802417
BTC,first_half,normal,521,0.28921604977673776,0.0653774688596842,-1.0996739822229407,-0.5990386160746874
BTC,first_half,extreme_positive,57,-0.10277583714109874,0.03995319768270722,0.14984845205815903,-0.4896877520451648
BTC,second_half,normal,590,-0.03408636168540417,-0.03303776963082816,0.4961240027395389,0.0800113988842277
PUMP,first_half,normal,189,0.06685446939541259,-0.4179728317659337,2.125448408191414,0.6310319227913697
PUMP,second_half,normal,200,0.16917511717840084,0.16393442622950616,0.34381617599532094,0.3573555687909513
SOL,first_half,extreme_negative,104,-0.10845437439585047,-0.36082462651335634,-2.7030600393717443,-2.523051860092662
SOL,first_half,normal,487,0.5836642582469952,0.15724865577761982,-1.1195777298192982,-1.488984553051409
SOL,second_half,normal,595,-0.06513655375992103,-0.12852278450034005,1.24864724172774,0.6739761035661984
ZEC,first_half,normal,146,0.6910238403811627,-0.1185338966839089,1.6376839622652453,1.632439182140566
ZEC,second_half,normal,153,0.5621725623377466,-0.04982015765885861,-1.5568907134505527,-0.5544539913343582
AAVE,first_half,extreme_negative,30,0.4442659363551027,0.039591368049379794,-1.0850058403666938,-0.45812203893194625
AAVE,first_half,normal,461,0.34760235302837866,0.09682299546140971,-0.5181599865797161,-0.23262576330328466
AAVE,first_half,extreme_positive,70,0.5455932709633924,0.4862317274869188,-0.38935602048792717,-1.8614903828586105
AAVE,second_half,normal,561,-0.11491497647314637,-0.2861994733124984,1.3910723694900182,0.8485892875033207
ETH,first_half,extreme_negative,16,-0.3190334175637771,0.0026339160500987724,0.18579594590345597,0.21433695021484955
ETH,first_half,normal,558,0.17575024916602036,0.05726371981212841,-0.36080503373753786,-0.6508438838719932
ETH,first_half,extreme_positive,20,-0.22827074663636204,-0.6880681349650808,-0.18733809365383713,0.815115639882058
ETH,second_half,normal,595,-0.029150390010363958,-0.009389230552558914,1.009658563924326,0.6129497090224589
LIT,first_half,normal,108,-0.8497868394477281,-0.5981998602787031,5.9507654520459665,5.242916755178695
LIT,second_half,normal,117,1.0507319693560786,0.6967831061422958,-1.755148647799672,-5.3101870099814095
XRP,first_half,extreme_negative,34,1.8207187279278498,0.3807023791642328,-1.7512358181317453,0.8876326451830896
XRP,first_half,normal,472,0.28076125211337616,0.04180901162592621,-0.8706774556435583,-0.10820940247276423
XRP,first_half,extreme_positive,70,0.7816992486279302,-0.10714081375045592,-2.3619372185298753,0.22990859753345694
XRP,second_half,extreme_negative,11,1.0873292284546852,1.812346611289395,-1.4612331540813954,-1.8278907373177167
XRP,second_half,normal,560,-0.1563779879447057,-0.20614159795281362,0.9892721361687871,1.0158441361534543
CRV,first_half,extreme_negative,32,-0.33654630234204586,-0.5855824998815817,3.6770764566052185,2.5086838617913942
CRV,first_half,normal,546,0.1587495222002297,-0.223197926647678,0.4925520410116687,-0.16890060286834374
CRV,first_half,extreme_positive,15,1.3081145826450906,-0.2799748022677795,-2.9494850782088644,-5.173328616908379
CRV,second_half,normal,591,-0.10625191354075782,-0.3408623312025849,1.7939050574720767,1.5143702012028415
