coin,extreme_type,n_spells,avg_duration_days,median_duration_days,max_duration_days
BTC,positive,37,1.6486486486486487,1.0,9
BTC,negative,7,2.4285714285714284,1.0,8
PUMP,positive,4,2.25,2.0,4
PUMP,negative,1,1.0,1.0,1
SOL,positive,3,1.0,1.0,1
SOL,negative,21,4.9523809523809526,2.0,29
ZEC,positive,4,1.5,1.0,3
ZEC,negative,9,1.1111111111111112,1.0,2
AAVE,positive,28,2.5,1.0,11
AAVE,negative,14,2.142857142857143,1.0,10
ETH,positive,19,1.0526315789473684,1.0,2
ETH,negative,8,2.0,1.0,6
LIT,positive,3,1.0,1.0,1
LIT,negative,6,1.0,1.0,1
XRP,positive,36,2.0833333333333335,1.5,6
XRP,negative,23,1.9565217391304348,1.0,7
CRV,positive,11,1.4545454545454546,1.0,3
CRV,negative,16,2.0625,1.0,11
