trigger_coin,date,trigger_direction,trigger_ret,trigger_z,n_others,n_same_dir,frac_same_dir
AAVE,2023-06-25,up,20.5263,4.3521,8,7,0.875
AAVE,2024-03-06,up,20.7975,4.41,8,8,1.0
AAVE,2024-04-12,down,-15.0902,-3.2545,8,8,1.0
AAVE,2024-04-13,down,-17.4174,-3.7516,8,8,1.0
AAVE,2024-05-20,up,15.046,3.1817,8,8,1.0
AAVE,2024-11-06,up,28.0863,5.9667,8,8,1.0
AAVE,2024-11-27,up,15.6848,3.3181,8,7,0.875
AAVE,2024-12-12,up,21.3102,4.5195,9,3,0.3333
AAVE,2024-12-23,up,20.2757,4.2986,9,8,0.8889
AAVE,2025-02-24,down,-14.8993,-3.2138,9,9,1.0
AAVE,2025-03-02,up,14.6092,3.0884,9,9,1.0
AAVE,2025-03-03,down,-19.1472,-4.121,9,9,1.0
AAVE,2025-03-04,up,14.2731,3.0166,9,6,0.6667
AAVE,2025-04-06,down,-15.5393,-3.3504,9,9,1.0
AAVE,2025-04-09,up,14.2424,3.01,9,9,1.0
AAVE,2025-05-08,up,20.2281,4.2884,9,9,1.0
AAVE,2025-08-22,up,15.3282,3.2419,10,10,1.0
AAVE,2025-10-10,down,-17.5394,-3.7776,10,9,0.9
AAVE,2026-02-05,down,-18.3796,-3.957,11,11,1.0
AAVE,2026-04-13,up,15.0401,3.1804,11,11,1.0
AAVE,2026-06-26,up,15.4538,3.2688,11,11,1.0
BTC,2023-01-20,up,7.5602,3.0517,7,7,1.0
BTC,2023-02-15,up,9.6686,3.9178,7,7,1.0
BTC,2023-03-12,up,7.5065,3.0297,7,7,1.0
BTC,2023-03-13,up,9.7071,3.9336,7,7,1.0
BTC,2023-03-17,up,9.5623,3.8742,7,7,1.0
BTC,2023-08-17,down,-7.2956,-3.0507,8,8,1.0
BTC,2023-10-23,up,10.3482,4.197,8,8,1.0
BTC,2024-01-12,down,-7.7334,-3.2305,8,8,1.0
BTC,2024-02-28,up,9.5291,3.8605,8,4,0.5
BTC,2024-03-04,up,8.1773,3.3052,8,7,0.875
BTC,2024-03-19,down,-8.3151,-3.4694,8,8,1.0
BTC,2024-03-20,up,9.4787,3.8398,8,8,1.0
BTC,2024-05-20,up,7.7876,3.1451,8,8,1.0
BTC,2024-08-05,down,-7.224,-3.0213,8,8,1.0
BTC,2024-08-08,up,11.8612,4.8185,8,8,1.0
BTC,2024-11-06,up,8.9741,3.6325,8,8,1.0
BTC,2024-11-11,up,10.3383,4.1929,8,6,0.75
BTC,2025-03-02,up,9.4852,3.8425,9,9,1.0
BTC,2025-03-03,down,-8.5191,-3.5532,9,9,1.0
BTC,2025-04-09,up,8.3119,3.3605,9,9,1.0
BTC,2025-10-10,down,-7.2804,-3.0444,10,9,0.9
BTC,2026-02-05,down,-14.017,-5.8116,11,11,1.0
BTC,2026-02-06,up,12.1188,4.9243,11,10,0.9091
CRV,2023-01-13,up,17.0306,3.2296,7,7,1.0
CRV,2024-03-06,up,19.2054,3.644,8,8,1.0
CRV,2024-04-12,down,-20.4603,-3.9144,8,8,1.0
CRV,2024-06-13,down,-19.7154,-3.7724,8,8,1.0
CRV,2024-08-12,up,23.7143,4.5032,8,8,1.0
CRV,2024-11-18,up,17.1773,3.2575,8,7,0.875
CRV,2024-11-22,up,16.5409,3.1363,8,7,0.875
CRV,2024-11-30,up,25.9003,4.9197,8,5,0.625
CRV,2024-12-03,up,20.185,3.8306,8,4,0.5
CRV,2024-12-04,up,24.4018,4.6342,8,4,0.5
CRV,2024-12-06,up,18.0574,3.4252,9,8,0.8889
CRV,2024-12-23,up,16.3173,3.0937,9,8,0.8889
CRV,2025-02-02,down,-19.4326,-3.7185,9,9,1.0
CRV,2025-03-03,down,-17.5855,-3.3666,9,9,1.0
CRV,2025-04-22,up,16.9281,3.2101,9,9,1.0
CRV,2025-07-16,up,21.8223,4.1426,10,6,0.6
CRV,2025-10-10,down,-32.0321,-6.1194,10,9,0.9
CRV,2025-10-12,up,15.9174,3.0175,10,9,0.9
CRV,2026-02-05,down,-16.1931,-3.1012,11,11,1.0
CRV,2026-06-11,up,21.2222,4.0283,11,11,1.0
DOGE,2023-04-03,up,21.4873,4.832,7,3,0.4286
DOGE,2024-02-28,up,18.6333,4.1873,8,4,0.5
DOGE,2024-03-01,up,18.9746,4.2644,8,8,1.0
DOGE,2024-03-04,up,18.3182,4.1161,8,7,0.875
DOGE,2024-03-05,down,-15.8758,-3.608,8,8,1.0
DOGE,2024-03-20,up,18.2975,4.1115,8,8,1.0
DOGE,2024-03-28,up,15.4225,3.462,8,6,0.75
DOGE,2024-11-06,up,15.6353,3.5101,8,8,1.0
DOGE,2024-11-10,up,27.0519,6.089,8,5,0.625
DOGE,2024-11-11,up,26.4695,5.9575,8,6,0.75
DOGE,2025-02-24,down,-13.3116,-3.0288,9,9,1.0
DOGE,2025-03-02,up,15.7495,3.5359,9,9,1.0
DOGE,2025-03-03,down,-16.7552,-3.8067,9,9,1.0
DOGE,2025-05-08,up,15.3448,3.4445,9,9,1.0
DOGE,2025-05-10,up,22.1779,4.988,9,9,1.0
DOGE,2025-07-20,up,13.5393,3.0366,10,8,0.8
DOGE,2025-10-10,down,-22.3152,-5.0626,10,9,0.9
DOGE,2026-02-05,down,-14.8034,-3.3658,11,11,1.0
DOGE,2026-02-14,up,14.8745,3.3382,11,11,1.0
ETH,2023-11-09,up,12.3387,3.7066,8,4,0.5
ETH,2024-01-10,up,10.1074,3.0314,8,8,1.0
ETH,2024-03-19,down,-10.2511,-3.1284,8,8,1.0
ETH,2024-03-20,up,11.2513,3.3775,8,8,1.0
ETH,2024-05-20,up,19.3518,5.8285,8,8,1.0
ETH,2024-08-05,down,-10.0458,-3.0663,8,8,1.0
ETH,2024-08-08,up,14.5488,4.3753,8,8,1.0
ETH,2024-11-06,up,12.4525,3.741,8,8,1.0
ETH,2025-02-24,down,-10.8154,-3.2991,9,9,1.0
ETH,2025-03-02,up,13.5269,4.0661,9,9,1.0
ETH,2025-03-03,down,-14.7033,-4.4755,9,9,1.0
ETH,2025-04-06,down,-12.5138,-3.813,9,9,1.0
ETH,2025-04-09,up,13.3415,4.01,9,9,1.0
ETH,2025-04-22,up,11.1393,3.3436,9,9,1.0
ETH,2025-05-08,up,22.0075,6.632,9,9,1.0
ETH,2025-05-10,up,10.1704,3.0505,9,9,1.0
ETH,2025-08-22,up,14.3925,4.328,10,10,1.0
ETH,2025-10-10,down,-12.5172,-3.814,10,9,0.9
ETH,2025-10-12,up,10.8346,3.2515,10,9,0.9
ETH,2026-02-05,down,-14.9914,-4.5627,11,11,1.0
ETH,2026-02-06,up,12.9306,3.8857,11,10,0.9091
ETH,2026-02-25,up,11.1357,3.3426,11,11,1.0
ETH,2026-06-05,down,-10.614,-3.2382,11,10,0.9091
HYPE,2024-12-11,up,18.942,3.3137,9,9,1.0
HYPE,2024-12-14,up,24.1119,4.2376,9,3,0.3333
HYPE,2024-12-20,up,19.4311,3.4011,9,8,0.8889
HYPE,2025-04-09,up,20.9447,3.6716,9,9,1.0
HYPE,2025-05-22,up,18.22,3.1847,9,8,0.8889
HYPE,2026-01-27,up,23.617,4.1491,11,10,0.9091
PUMP,2025-07-12,up,24.9147,3.5,10,5,0.5
PUMP,2025-10-10,down,-27.1922,-3.8481,10,9,0.9
SOL,2023-01-03,up,18.3586,4.0188,6,3,0.5
SOL,2023-01-14,up,32.7738,7.2185,7,7,1.0
SOL,2023-01-20,up,19.1751,4.2,7,7,1.0
SOL,2023-07-13,up,18.6061,4.0737,8,8,1.0
SOL,2023-11-10,up,25.1579,5.528,8,5,0.625
SOL,2023-11-15,up,15.5317,3.3913,8,7,0.875
SOL,2023-12-21,up,14.1985,3.0954,8,7,0.875
SOL,2025-01-18,up,19.4479,4.2606,9,1,0.1111
SOL,2025-02-24,down,-15.4112,-3.4771,9,9,1.0
SOL,2025-03-02,up,24.3767,5.3546,9,9,1.0
SOL,2025-03-03,down,-20.3998,-4.5844,9,9,1.0
SOL,2025-10-10,down,-15.1448,-3.4179,10,9,0.9
SOL,2026-02-05,down,-14.9867,-3.3828,11,11,1.0
XMR,2024-02-06,down,-36.135,-10.2195,8,3,0.375
XMR,2024-02-07,up,22.5336,6.308,8,7,0.875
XMR,2024-12-03,up,16.7288,4.6727,8,4,0.5
XMR,2024-12-08,up,11.2037,3.1162,9,6,0.6667
XMR,2024-12-09,down,-21.0604,-5.9729,9,9,1.0
XMR,2024-12-11,up,11.9339,3.3219,9,9,1.0
XMR,2025-05-21,up,12.3,3.4251,9,8,0.8889
XMR,2025-10-10,down,-14.3262,-4.0758,10,9,0.9
XMR,2025-11-09,up,14.3009,3.9888,10,9,0.9
XMR,2026-01-11,up,18.545,5.1844,11,8,0.7273
XMR,2026-01-12,up,13.1188,3.6557,11,3,0.2727
XMR,2026-01-20,down,-19.4463,-5.5182,11,11,1.0
