date,n_coins,long_ret_pct,short_ret_pct,gross_pct,fees_pct,net_pct,top3_coins,bottom3_coins
2024-10-23,7,2.3857,0.548,2.9337,0.09,2.8437,"DOGE,SOL,BTC","CRV,XRP,AAVE"
2024-10-24,7,-5.4672,5.8356,0.3684,0.09,0.2784,"DOGE,SOL,BTC","CRV,AAVE,XRP"
2024-10-25,7,2.8991,-2.424,0.4751,0.09,0.3851,"DOGE,SOL,BTC","CRV,AAVE,XRP"
2024-10-26,8,6.4698,-1.811,4.6588,0.09,4.5688,"DOGE,ZEC,SOL","CRV,AAVE,XRP"
2024-10-27,8,4.2409,-1.2305,3.0105,0.09,2.9205,"DOGE,ZEC,SOL","CRV,XRP,AAVE"
2024-10-28,8,3.3353,-3.6433,-0.308,0.09,-0.398,"DOGE,ZEC,SOL","CRV,XRP,ETH"
2024-10-29,8,-2.3221,-0.6705,-2.9927,0.09,-3.0827,"DOGE,ZEC,SOL","CRV,XRP,AAVE"
2024-10-30,8,-3.4628,4.4223,0.9594,0.09,0.8694,"DOGE,SOL,BTC","XRP,CRV,AAVE"
2024-10-31,8,-1.4684,0.9128,-0.5556,0.09,-0.6456,"DOGE,SOL,BTC","XRP,CRV,AAVE"
2024-11-01,8,-0.0086,2.3013,2.2927,0.09,2.2027,"DOGE,SOL,BTC","AAVE,XRP,CRV"
2024-11-02,8,-2.6815,2.8959,0.2144,0.09,0.1244,"DOGE,SOL,BTC","AAVE,CRV,XRP"
2024-11-03,8,0.1969,1.9644,2.1612,0.09,2.0712,"DOGE,BTC,SOL","AAVE,CRV,XRP"
2024-11-04,8,5.0189,-4.1905,0.8284,0.09,0.7384,"DOGE,SOL,BTC","AAVE,CRV,ETH"
2024-11-05,8,13.5961,-16.6085,-3.0124,0.09,-3.1024,"DOGE,SOL,ZEC","AAVE,CRV,ETH"
2024-11-06,8,1.8833,-3.3541,-1.4708,0.09,-1.5608,"DOGE,SOL,ZEC","XRP,CRV,ETH"
2024-11-07,8,3.6475,-1.802,1.8455,0.09,1.7555,"DOGE,SOL,ZEC","CRV,XRP,ETH"
2024-11-08,8,2.7883,-2.9341,-0.1458,0.09,-0.2358,"DOGE,SOL,ZEC","CRV,XRP,ETH"
2024-11-09,8,7.7471,-4.3071,3.44,0.09,3.35,"DOGE,ZEC,AAVE","CRV,XRP,BTC"
2024-11-10,8,11.3651,-6.5189,4.8462,0.09,4.7562,"DOGE,SOL,AAVE","XRP,CRV,BTC"
2024-11-11,8,0.8447,0.0925,0.9372,0.09,0.8472,"DOGE,SOL,BTC","CRV,XRP,ZEC"
2024-11-12,8,1.947,-0.7912,1.1558,0.09,1.0658,"DOGE,XRP,BTC","CRV,ZEC,AAVE"
2024-11-13,8,-0.1728,5.4174,5.2446,0.09,5.1546,"DOGE,BTC,XRP","ZEC,AAVE,SOL"
2024-11-14,8,8.3062,-2.9733,5.3328,0.09,5.2428,"DOGE,XRP,BTC","ZEC,AAVE,CRV"
2024-11-15,8,6.7811,-11.7298,-4.9487,0.09,-5.0387,"DOGE,XRP,BTC","ZEC,AAVE,CRV"
2024-11-16,8,-3.2182,-1.6874,-4.9056,0.09,-4.9956,"DOGE,XRP,CRV","AAVE,ZEC,SOL"
2024-11-17,8,2.6142,-3.5788,-0.9646,0.09,-1.0546,"DOGE,XRP,SOL","AAVE,ZEC,ETH"
2024-11-18,8,4.2787,4.3881,8.6668,0.09,8.5768,"XRP,DOGE,CRV","AAVE,ZEC,ETH"
2024-11-19,8,-3.9315,2.5506,-1.3809,0.09,-1.4709,"DOGE,XRP,CRV","AAVE,ZEC,ETH"
2024-11-20,8,8.0481,-8.941,-0.893,0.09,-0.983,"DOGE,XRP,CRV","AAVE,ZEC,ETH"
2024-11-21,8,13.8132,-0.9921,12.8211,0.09,12.7311,"XRP,DOGE,CRV","AAVE,ZEC,ETH"
2024-11-22,8,2.8713,-2.9431,-0.0718,0.09,-0.1618,"XRP,DOGE,CRV","ZEC,AAVE,ETH"
2024-11-23,8,0.0906,-1.6335,-1.543,0.09,-1.633,"XRP,DOGE,CRV","AAVE,ZEC,ETH"
2024-11-24,8,-2.8216,0.526,-2.2956,0.09,-2.3856,"XRP,DOGE,CRV","AAVE,ETH,ZEC"
2024-11-25,8,-3.0249,-2.0872,-5.1121,0.09,-5.2021,"XRP,DOGE,CRV","ZEC,AAVE,BTC"
2024-11-26,8,4.7058,-10.0624,-5.3567,0.09,-5.4467,"XRP,DOGE,CRV","AAVE,ZEC,BTC"
2024-11-27,8,0.8419,2.9092,3.7512,0.09,3.6612,"XRP,DOGE,CRV","AAVE,SOL,ETH"
2024-11-28,8,10.6804,-0.7631,9.9173,0.09,9.8273,"XRP,DOGE,CRV","AAVE,SOL,ETH"
2024-11-29,8,11.0792,-6.115,4.9642,0.09,4.8742,"XRP,CRV,DOGE","AAVE,ETH,ZEC"
2024-11-30,8,6.7591,0.4887,7.2479,0.09,7.1579,"XRP,CRV,DOGE","AAVE,SOL,ETH"
2024-12-01,8,17.325,-2.1818,15.1432,0.09,15.0532,"XRP,CRV,ZEC","SOL,AAVE,BTC"
2024-12-02,8,3.4878,0.2382,3.726,0.09,3.636,"XRP,CRV,ZEC","SOL,BTC,DOGE"
2024-12-03,8,4.5146,-2.4524,2.0623,0.09,1.9723,"XRP,CRV,ZEC","DOGE,BTC,SOL"
2024-12-04,8,-2.1304,-0.0062,-2.1366,0.09,-2.2266,"CRV,XRP,ZEC","SOL,BTC,DOGE"
2024-12-05,8,8.5115,-1.6745,6.837,0.09,6.747,"CRV,XRP,ZEC","BTC,SOL,DOGE"
2024-12-06,8,0.6693,-1.5933,-0.924,0.09,-1.014,"CRV,XRP,AAVE","SOL,BTC,DOGE"
2024-12-07,8,0.7206,-1.2885,-0.5679,0.09,-0.6579,"CRV,XRP,AAVE","SOL,BTC,DOGE"
2024-12-08,8,-11.5084,6.5409,-4.9675,0.09,-5.0575,"CRV,XRP,AAVE","SOL,BTC,ETH"
2024-12-09,8,4.6753,2.4064,7.0817,0.09,6.9917,"CRV,XRP,AAVE","SOL,BTC,DOGE"
2024-12-10,8,5.3792,-5.3911,-0.0119,0.09,-0.1019,"CRV,XRP,AAVE","SOL,BTC,DOGE"
2024-12-11,8,8.1258,1.0936,9.2194,0.09,9.1294,"CRV,XRP,AAVE","SOL,BTC,DOGE"
2024-12-12,8,0.5663,-0.4651,0.1012,0.09,0.0112,"CRV,AAVE,XRP","SOL,DOGE,BTC"
2024-12-13,8,-1.1905,1.6467,0.4562,0.09,0.3662,"CRV,AAVE,XRP","SOL,DOGE,BTC"
2024-12-14,8,0.594,-2.4628,-1.8688,0.09,-1.9588,"CRV,AAVE,XRP","SOL,DOGE,BTC"
2024-12-15,8,-0.3088,1.1314,0.8226,0.09,0.7326,"CRV,AAVE,XRP","SOL,DOGE,BTC"
2024-12-16,8,0.382,0.2896,0.6717,0.09,0.5817,"CRV,AAVE,XRP","SOL,DOGE,ZEC"
2024-12-17,8,-9.8083,8.3438,-1.4645,0.09,-1.5545,"CRV,XRP,AAVE","SOL,ZEC,DOGE"
2024-12-18,9,-7.3001,7.7079,0.4079,0.09,0.3179,"CRV,AAVE,XRP","SOL,DOGE,ZEC"
2024-12-19,9,1.7665,-4.726,-2.9595,0.09,-3.0495,"AAVE,CRV,XRP","DOGE,SOL,ZEC"
2024-12-20,9,-6.9495,2.4859,-4.4636,0.09,-4.5536,"AAVE,CRV,XMR","DOGE,SOL,ZEC"
2024-12-21,9,4.6696,-2.0781,2.5915,0.09,2.5015,"AAVE,CRV,XMR","DOGE,SOL,ZEC"
2024-12-22,9,12.3832,-7.2634,5.1198,0.09,5.0298,"AAVE,CRV,XMR","DOGE,ZEC,SOL"
2024-12-23,9,2.6727,-4.2522,-1.5795,0.09,-1.6695,"AAVE,CRV,BTC","DOGE,SOL,ZEC"
2024-12-24,9,1.8254,0.174,1.9994,0.09,1.9094,"AAVE,BTC,ZEC","DOGE,SOL,ETH"
2024-12-25,9,-6.1407,5.247,-0.8937,0.09,-0.9837,"AAVE,ZEC,BTC","DOGE,SOL,ETH"
2024-12-26,9,-5.2242,2.5536,-2.6706,0.09,-2.7606,"AAVE,ZEC,BTC","DOGE,CRV,SOL"
2024-12-27,9,4.2108,-7.843,-3.6322,0.09,-3.7222,"AAVE,XMR,BTC","DOGE,CRV,SOL"
2024-12-28,9,-3.3079,3.3611,0.0532,0.09,-0.0368,"AAVE,BTC,XMR","DOGE,SOL,XRP"
2024-12-29,9,-2.7006,0.4656,-2.235,0.09,-2.325,"AAVE,XMR,ZEC","DOGE,SOL,CRV"
2024-12-30,9,-2.0543,0.6121,-1.4422,0.09,-1.5322,"AAVE,XMR,ZEC","DOGE,CRV,XRP"
2024-12-31,9,1.9852,-4.2124,-2.2272,0.09,-2.3172,"AAVE,XMR,BTC","DOGE,CRV,SOL"
2025-01-01,9,1.9021,-5.5056,-3.6035,0.09,-3.6935,"XRP,XMR,ZEC","DOGE,CRV,SOL"
2025-01-02,9,1.9388,-8.4418,-6.503,0.09,-6.593,"XRP,ZEC,BTC","DOGE,AAVE,CRV"
2025-01-03,9,-1.6225,-0.5487,-2.1712,0.09,-2.2612,"ZEC,XRP,SOL","ETH,CRV,DOGE"
2025-01-04,9,-1.7528,0.3984,-1.3544,0.09,-1.4444,"ZEC,XRP,DOGE","XMR,ETH,CRV"
2025-01-05,9,2.1059,-1.7505,0.3554,0.09,0.2654,"ZEC,SOL,XRP","AAVE,ETH,BTC"
2025-01-06,9,-10.3914,9.0192,-1.3722,0.09,-1.4622,"ZEC,DOGE,SOL","CRV,XRP,AAVE"
2025-01-07,9,-0.499,0.7429,0.244,0.09,0.154,"ZEC,XRP,SOL","AAVE,XMR,ETH"
2025-01-08,9,-5.7209,3.442,-2.2789,0.09,-2.3689,"DOGE,XRP,ZEC","AAVE,ETH,BTC"
2025-01-09,9,3.9748,-1.9618,2.013,0.09,1.923,"DOGE,XRP,XMR","AAVE,ZEC,ETH"
2025-01-10,9,3.9613,-0.308,3.6533,0.09,3.5633,"XMR,XRP,CRV","ZEC,AAVE,BTC"
2025-01-11,9,-1.2043,0.2928,-0.9115,0.09,-1.0015,"XRP,DOGE,XMR","ZEC,AAVE,BTC"
2025-01-12,9,0.8423,-0.1577,0.6845,0.09,0.5945,"XRP,XMR,DOGE","ZEC,AAVE,CRV"
2025-01-13,9,4.3318,-4.7305,-0.3986,0.09,-0.4886,"XRP,XMR,DOGE","ZEC,AAVE,CRV"
2025-01-14,9,9.1255,-9.2755,-0.15,0.09,-0.24,"XRP,XMR,DOGE","ZEC,AAVE,CRV"
2025-01-15,9,2.3116,2.7286,5.0403,0.09,4.9503,"XRP,DOGE,XMR","ZEC,AAVE,CRV"
2025-01-16,9,5.2834,-4.7386,0.5448,0.09,0.4548,"XRP,DOGE,XMR","ZEC,AAVE,ETH"
2025-01-17,9,-3.5755,5.255,1.6794,0.09,1.5894,"XRP,DOGE,XMR","ZEC,AAVE,ETH"
2025-01-18,9,-7.6634,7.7475,0.0841,0.09,-0.0059,"XRP,SOL,DOGE","ZEC,AAVE,CRV"
2025-01-19,9,-0.0005,-2.7412,-2.7418,0.09,-2.8318,"XRP,SOL,DOGE","ZEC,CRV,ETH"
2025-01-20,9,3.5313,-1.7581,1.7732,0.09,1.6832,"XRP,SOL,DOGE","ZEC,CRV,ETH"
2025-01-21,9,-1.2111,4.0469,2.8358,0.09,2.7458,"XRP,SOL,AAVE","ZEC,CRV,ETH"
2025-01-22,9,-1.526,-1.327,-2.853,0.09,-2.943,"XRP,SOL,XMR","CRV,ZEC,ETH"
2025-01-23,9,-0.3286,1.8489,1.5203,0.09,1.4303,"XRP,SOL,XMR","CRV,ZEC,ETH"
2025-01-24,9,0.5308,-0.489,0.0418,0.09,-0.0482,"XRP,SOL,XMR","CRV,ZEC,DOGE"
2025-01-25,9,-3.1769,3.2846,0.1078,0.09,0.0178,"XRP,SOL,XMR","CRV,ZEC,ETH"
2025-01-26,9,-1.1385,2.6282,1.4898,0.09,1.3998,"XRP,SOL,XMR","ZEC,CRV,DOGE"
2025-01-27,9,-0.5853,5.1095,4.5242,0.09,4.4342,"XRP,SOL,XMR","ZEC,CRV,ETH"
2025-01-28,9,0.8726,-2.1512,-1.2786,0.09,-1.3686,"XRP,SOL,XMR","CRV,ZEC,ETH"
2025-01-29,9,3.8161,-6.7344,-2.9184,0.09,-3.0084,"XRP,SOL,XMR","CRV,ZEC,ETH"
2025-01-30,9,-1.0583,1.0047,-0.0536,0.09,-0.1436,"XRP,SOL,XMR","ZEC,CRV,DOGE"
2025-01-31,9,-5.0976,9.3306,4.233,0.09,4.143,"SOL,XMR,XRP","ZEC,CRV,DOGE"
2025-02-01,9,-6.636,15.8509,9.2149,0.09,9.1249,"XMR,XRP,SOL","ZEC,CRV,DOGE"
2025-02-02,9,3.8076,-5.7951,-1.9875,0.09,-2.0775,"SOL,XMR,BTC","CRV,ZEC,DOGE"
2025-02-03,9,-3.4426,8.7506,5.3081,0.09,5.2181,"SOL,XMR,BTC","CRV,ZEC,DOGE"
2025-02-04,9,-1.0082,1.6007,0.5925,0.09,0.5025,"XMR,SOL,BTC","CRV,ZEC,DOGE"
2025-02-05,9,-1.8434,6.1622,4.3188,0.09,4.2288,"XMR,BTC,SOL","CRV,ZEC,DOGE"
2025-02-06,9,-2.1312,-0.5502,-2.6814,0.09,-2.7714,"XMR,BTC,SOL","CRV,ZEC,DOGE"
2025-02-07,9,1.4774,-5.1481,-3.6707,0.09,-3.7607,"XMR,BTC,ETH","CRV,ZEC,DOGE"
2025-02-08,9,0.5929,-0.9969,-0.404,0.09,-0.494,"XMR,BTC,XRP","CRV,ZEC,DOGE"
2025-02-09,9,0.595,-1.4872,-0.8922,0.09,-0.9822,"XMR,BTC,SOL","CRV,ZEC,DOGE"
2025-02-10,9,-0.7801,0.6543,-0.1258,0.09,-0.2158,"XMR,BTC,SOL","CRV,ZEC,AAVE"
2025-02-11,9,3.0639,-2.4871,0.5768,0.09,0.4868,"XMR,BTC,ETH","CRV,ZEC,DOGE"
2025-02-12,9,-1.5492,1.2969,-0.2523,0.09,-0.3423,"XMR,BTC,ETH","ZEC,CRV,AAVE"
2025-02-13,9,3.3952,-1.6467,1.7485,0.09,1.6585,"XMR,BTC,XRP","CRV,ZEC,DOGE"
2025-02-14,9,0.3425,1.9123,2.2548,0.09,2.1648,"XMR,BTC,XRP","CRV,ZEC,DOGE"
2025-02-15,9,-1.0182,-2.0618,-3.08,0.09,-3.17,"XMR,BTC,XRP","CRV,ZEC,AAVE"
2025-02-16,9,0.3093,-1.7045,-1.3952,0.09,-1.4852,"XMR,BTC,XRP","CRV,ZEC,DOGE"
2025-02-17,9,-2.0223,3.7206,1.6982,0.09,1.6082,"XMR,BTC,AAVE","CRV,SOL,DOGE"
2025-02-18,9,1.1782,-1.7293,-0.5511,0.09,-0.6411,"XMR,BTC,ETH","CRV,SOL,DOGE"
2025-02-19,9,-1.4936,-2.4053,-3.8989,0.09,-3.9889,"XMR,BTC,XRP","CRV,SOL,DOGE"
2025-02-20,9,-1.5406,5.4074,3.8668,0.09,3.7768,"XMR,BTC,XRP","CRV,SOL,DOGE"
2025-02-21,9,1.0424,-1.9074,-0.865,0.09,-0.955,"XMR,BTC,ZEC","CRV,DOGE,SOL"
2025-02-22,9,0.1287,0.9578,1.0866,0.09,0.9966,"ZEC,XMR,XRP","SOL,CRV,DOGE"
2025-02-23,9,-7.5934,14.4046,6.8112,0.09,6.7212,"XMR,ZEC,ETH","SOL,DOGE,CRV"
2025-02-24,9,-1.955,0.1673,-1.7877,0.09,-1.8777,"XMR,ZEC,BTC","SOL,AAVE,DOGE"
2025-02-25,9,0.4149,3.7108,4.1257,0.09,4.0357,"ZEC,XRP,XMR","SOL,AAVE,DOGE"
2025-02-26,9,-0.9417,-1.3125,-2.2542,0.09,-2.3442,"ZEC,CRV,XMR","SOL,DOGE,AAVE"
2025-02-27,9,1.908,0.2175,2.1255,0.09,2.0355,"ZEC,XMR,CRV","SOL,DOGE,AAVE"
2025-02-28,9,1.815,-0.3026,1.5124,0.09,1.4224,"ZEC,XMR,XRP","SOL,DOGE,AAVE"
2025-03-01,9,15.3671,-17.9737,-2.6066,0.09,-2.6966,"ZEC,XMR,XRP","SOL,AAVE,CRV"
