N,half,bucket,horizon,n,mean,median,std
5,full,top3,next_day,3945,0.2888,-0.0915,5.285
5,full,top3,next_5day,3933,1.5864,0.0796,12.5544
5,full,middle,next_day,5107,0.1576,0.0,4.1426
5,full,middle,next_5day,5083,0.4454,-0.094,9.4611
5,full,bottom3,next_day,3960,0.0631,0.0484,4.408
5,full,bottom3,next_5day,3948,0.5621,0.1564,9.8664
5,H1,top3,next_day,2229,0.2313,-0.0633,4.8424
5,H1,top3,next_5day,2229,1.2049,0.2096,10.4591
5,H1,middle,next_day,2046,0.3086,0.082,3.808
5,H1,middle,next_5day,2046,0.9036,0.4061,8.9342
5,H1,bottom3,next_day,2244,0.0107,0.0619,4.3059
5,H1,bottom3,next_5day,2244,0.4172,0.3095,9.4542
5,H2,top3,next_day,1716,0.3634,-0.136,5.8104
5,H2,top3,next_5day,1704,2.0855,-0.0932,14.8442
5,H2,middle,next_day,3061,0.0566,-0.0653,4.3497
5,H2,middle,next_5day,3037,0.1367,-0.5213,9.7895
5,H2,bottom3,next_day,1716,0.1316,0.0149,4.5383
5,H2,bottom3,next_5day,1704,0.753,-0.0052,10.384
20,full,top3,next_day,3900,0.3478,0.0018,5.1125
20,full,top3,next_5day,3888,1.624,0.2472,12.6276
20,full,middle,next_day,5152,0.0321,-0.0383,4.1592
20,full,middle,next_5day,5128,0.2229,-0.1186,9.0936
20,full,bottom3,next_day,3960,0.1697,0.0513,4.5945
20,full,bottom3,next_5day,3948,0.8271,0.0712,10.2418
20,H1,top3,next_day,2152,0.1632,-0.0494,4.326
20,H1,top3,next_5day,2152,0.8567,0.1539,9.8686
20,H1,middle,next_day,2140,0.2077,0.0903,4.2197
20,H1,middle,next_5day,2140,0.8231,0.4433,9.4634
20,H1,bottom3,next_day,2227,0.1685,0.038,4.5085
20,H1,bottom3,next_5day,2227,0.8377,0.2632,9.6456
20,H2,top3,next_day,1748,0.5751,0.0652,5.933
20,H2,top3,next_5day,1736,2.5752,0.5371,15.3253
20,H2,middle,next_day,3012,-0.0927,-0.1444,4.1118
20,H2,middle,next_5day,2988,-0.2069,-0.5466,8.7957
20,H2,bottom3,next_day,1733,0.1712,0.0876,4.7041
20,H2,bottom3,next_5day,1721,0.8133,-0.2535,10.9682
