coin,tf,feature,correlation,n_observations
AAVE,1d,lag_vol_pct,0.03881992310975872,1102
AAVE,1d,lag_cooloff,,1102
AAVE,1d,lag_hour,,1102
AAVE,1h,lag_vol_pct,0.0934114829346414,4980
AAVE,1h,lag_cooloff,-0.02068206354538903,4980
AAVE,1h,lag_hour,0.03585445162543408,4980
AAVE,1w,lag_vol_pct,0.035746527479539984,140
AAVE,1w,lag_cooloff,,140
AAVE,1w,lag_hour,,140
AAVE,5m,lag_vol_pct,0.037808418393596964,4997
AAVE,5m,lag_cooloff,,4997
AAVE,5m,lag_hour,-0.013489158197734276,4997
BTC,1d,lag_vol_pct,-0.047242921645488906,1243
BTC,1d,lag_cooloff,,1243
BTC,1d,lag_hour,,1243
BTC,1h,lag_vol_pct,0.12176508293962382,4981
BTC,1h,lag_cooloff,0.007380218956333484,4981
BTC,1h,lag_hour,0.047026057392849346,4981
BTC,1w,lag_vol_pct,0.020661767187521895,160
BTC,1w,lag_cooloff,,160
BTC,1w,lag_hour,,160
BTC,5m,lag_vol_pct,0.06640683738325594,5010
BTC,5m,lag_cooloff,,5010
BTC,5m,lag_hour,0.04238447594322295,5010
CRV,1d,lag_vol_pct,0.08049932262564613,1165
CRV,1d,lag_cooloff,0.0011734351729588983,1165
CRV,1d,lag_hour,,1165
CRV,1h,lag_vol_pct,0.08816441407643627,4980
CRV,1h,lag_cooloff,,4980
CRV,1h,lag_hour,0.04487278992580889,4980
CRV,1w,lag_vol_pct,0.07192772019632457,149
CRV,1w,lag_cooloff,,149
CRV,1w,lag_hour,,149
CRV,5m,lag_vol_pct,0.031116200993421567,5003
CRV,5m,lag_cooloff,0.0009455143814927745,5003
CRV,5m,lag_hour,-0.01198265647346868,5003
DOGE,1d,lag_vol_pct,0.06451239283318844,1207
DOGE,1d,lag_cooloff,,1207
DOGE,1d,lag_hour,,1207
DOGE,1h,lag_vol_pct,0.10670711212863522,4980
DOGE,1h,lag_cooloff,-0.029431321902270977,4980
DOGE,1h,lag_hour,0.055085858249876975,4980
DOGE,1w,lag_vol_pct,0.18565714326665564,155
DOGE,1w,lag_cooloff,0.09554378275034052,155
DOGE,1w,lag_hour,,155
DOGE,5m,lag_vol_pct,0.055029126875582486,5005
DOGE,5m,lag_cooloff,,5005
DOGE,5m,lag_hour,0.05311986530315562,5005
ETH,1d,lag_vol_pct,0.006124913495432586,1243
ETH,1d,lag_cooloff,,1243
ETH,1d,lag_hour,,1243
ETH,1h,lag_vol_pct,0.090448388534973,4981
ETH,1h,lag_cooloff,-0.0022000778500797305,4981
ETH,1h,lag_hour,0.05605715523512792,4981
ETH,1w,lag_vol_pct,0.02969441598639439,160
ETH,1w,lag_cooloff,,160
ETH,1w,lag_hour,,160
ETH,5m,lag_vol_pct,0.07103222953567548,5010
ETH,5m,lag_cooloff,,5010
ETH,5m,lag_hour,0.052405343278445364,5010
HYPE,1d,lag_vol_pct,0.06812208814558689,595
HYPE,1d,lag_cooloff,,595
HYPE,1d,lag_hour,,595
HYPE,1h,lag_vol_pct,0.06130537609603184,4978
HYPE,1h,lag_cooloff,0.009695507845456907,4978
HYPE,1h,lag_hour,0.06185009213194814,4978
HYPE,1w,lag_vol_pct,0.0823527331498043,67
HYPE,1w,lag_cooloff,,67
HYPE,1w,lag_hour,,67
HYPE,5m,lag_vol_pct,0.02298229185237706,4982
HYPE,5m,lag_cooloff,,4982
HYPE,5m,lag_hour,0.05939711866499018,4982
LIT,1d,lag_vol_pct,0.0939115714676503,213
LIT,1d,lag_cooloff,,213
LIT,1d,lag_hour,,213
LIT,1h,lag_vol_pct,0.06586666221216947,4980
LIT,1h,lag_cooloff,,4980
LIT,1h,lag_hour,0.05809262243273279,4980
LIT,5m,lag_vol_pct,0.0392031055660258,4999
LIT,5m,lag_cooloff,,4999
LIT,5m,lag_hour,-0.007650612288763181,4999
PUMP,1d,lag_vol_pct,-0.006745573842766108,378
PUMP,1d,lag_cooloff,,378
PUMP,1d,lag_hour,,378
PUMP,1h,lag_vol_pct,0.06361405495525742,4981
PUMP,1h,lag_cooloff,,4981
PUMP,1h,lag_hour,0.05608058330410285,4981
PUMP,5m,lag_vol_pct,0.03517528732180706,5010
PUMP,5m,lag_cooloff,,5010
PUMP,5m,lag_hour,-0.000999112716863596,5010
SOL,1d,lag_vol_pct,0.08408971934421772,1237
SOL,1d,lag_cooloff,,1237
SOL,1d,lag_hour,,1237
SOL,1h,lag_vol_pct,0.10620215773206837,4981
SOL,1h,lag_cooloff,-0.011571927254948674,4981
SOL,1h,lag_hour,0.049943318917366655,4981
SOL,1w,lag_vol_pct,0.15546513311959703,159
SOL,1w,lag_cooloff,,159
SOL,1w,lag_hour,,159
SOL,5m,lag_vol_pct,0.05191038889676504,5008
SOL,5m,lag_cooloff,0.009677357967355983,5008
SOL,5m,lag_hour,0.03951504458958947,5008
XMR,1d,lag_vol_pct,0.05332683770141109,189
XMR,1d,lag_cooloff,,189
XMR,1d,lag_hour,,189
XMR,1h,lag_vol_pct,0.053902667995701176,4980
XMR,1h,lag_cooloff,,4980
XMR,1h,lag_hour,0.02211586649261879,4980
XMR,5m,lag_vol_pct,0.0036185774608175486,4999
XMR,5m,lag_cooloff,,4999
XMR,5m,lag_hour,0.07301979567073517,4999
XRP,1d,lag_vol_pct,0.09536269092641718,1132
XRP,1d,lag_cooloff,-0.2468840414242803,1132
XRP,1d,lag_hour,,1132
XRP,1h,lag_vol_pct,0.09090546723796289,4980
XRP,1h,lag_cooloff,-0.013144628202637332,4980
XRP,1h,lag_hour,0.04645178600860711,4980
XRP,1w,lag_vol_pct,0.08313746457455692,144
XRP,1w,lag_cooloff,,144
XRP,1w,lag_hour,,144
XRP,5m,lag_vol_pct,0.05173274527097401,4998
XRP,5m,lag_cooloff,,4998
XRP,5m,lag_hour,0.02476234278718091,4998
ZEC,1d,lag_vol_pct,0.13661452500742738,294
ZEC,1d,lag_cooloff,,294
ZEC,1d,lag_hour,,294
ZEC,1h,lag_vol_pct,0.07605338663308238,4980
ZEC,1h,lag_cooloff,-0.0015132418268495448,4980
ZEC,1h,lag_hour,0.04545571616606687,4980
ZEC,5m,lag_vol_pct,0.0403211251235363,5004
ZEC,5m,lag_cooloff,-0.017086612898919898,5004
ZEC,5m,lag_hour,0.005852641401306258,5004
