coin,tf,threshold,xi,beta,n_exceedances,exceedance_rate,p_gt_3sigma,p_gt_4sigma,p_gt_5sigma,p_gt_6sigma,p_gt_7sigma,p_gt_8sigma,p_gt_9sigma,p_gt_10sigma
AAVE,1d,7.336552238948565,0.08395236331373636,3.2461794740221293,113,0.1006233303650935,0.04748953424442663,0.019068721023226466,0.008170586476441246,0.0037037575400700176,0.001763764920104681,0.0008772748107155563,0.0004535583124932158,0.0002427553302890808
AAVE,1h,1.288379354391056,0.1,0.8181671175708733,500,0.09998000399920016,0.05159788428923147,0.02611430415214262,0.013803461680558094,0.007580502651640493,0.004306555217453577,0.0025217816373999113,0.0015173795596288258,0.0009357245566576402
BTC,1d,3.9128185465916836,0.1,1.893495239252905,127,0.10047468354430379,0.05150951582342711,0.02260288704150251,0.010560305167290108,0.005206784273128296,0.002690001770432295,0.0014478039182489403,0.0008079158724121719,0.00046557554297185663
BTC,1h,0.6996002579585883,0.1,0.5071383989040382,501,0.10015993602558976,0.04810648927537349,0.025326454312629032,0.013859528058840966,0.007848991360632458,0.004583186142279174,0.0027507553055159365,0.0016924184391611172,0.0010649680886688437
CRV,1d,8.274189258000565,0.06354463309142368,3.767075189547676,119,0.10033726812816189,0.04798894514373047,0.01929734278390548,0.008156605663264382,0.0036051964598857373,0.0016589781141401767,0.0007917710168832042,0.00039064512521302046,0.00019867776991122076
CRV,1h,1.3387860525182926,0.1,0.7117485658902162,500,0.09998000399920016,0.05028545051712219,0.023145929783059332,0.0112662681846506,0.005755664425819946,0.0030674277502019294,0.0016968397063837446,0.0009702512125653258,0.0005714543672139627
DOGE,1d,6.963699260597897,0.07409604008863153,3.2780489299477154,123,0.1001628664495114,0.045609094626411856,0.018689027790069285,0.008093852474250493,0.0036808580743263263,0.0017483367273228112,0.0008633920845555849,0.00044158810702077134,0.00023313695822901824
DOGE,1h,0.9903194805803706,0.1,0.6908213465192752,500,0.09998000399920016,0.048292791103012836,0.025052854911660694,0.013532924869533555,0.007576123661825962,0.004378450034157608,0.0026036013328992885,0.0015884929390016021,0.0009919774124735163
ETH,1d,5.227894767164088,0.08535747064698596,2.3839822487466744,127,0.10047468354430379,0.04418750755858516,0.017812133620165843,0.007665548402216442,0.0034911092781128223,0.0016706290900835457,0.000835116058046051,0.0004339551477260524,0.00023344885976102984
ETH,1h,0.9139053327366421,0.1,0.6946099664750802,501,0.10015993602558976,0.04662222370197061,0.024807752907005702,0.013704028536271973,0.007826217302445784,0.004604317359505114,0.0027821916091784814,0.0017222783409304384,0.0010898162032815341
