vol_percentile,vol_threshold,risk_multiplier,normalized_multiplier,position_size_hint,coin,tf
10,3.987791700782613,0.25076535462064076,1.13911692613419,1.14x base,AAVE,1d
25,4.202018815701663,0.2379808477447328,1.0810425234853203,1.08x base,AAVE,1d
50,4.542561024258923,0.22014013563266127,1.0,1.00x base,AAVE,1d
75,5.05950784891181,0.19764768231658703,0.8978266582264378,0.90x base,AAVE,1d
90,6.114965544353077,0.16353321907487434,0.74285962714112,0.74x base,AAVE,1d
95,7.149671120298464,0.13986657332543917,0.6353524445847927,0.64x base,AAVE,1d
99,8.891827670380895,0.11246281833947908,0.5108692152672293,0.51x base,AAVE,1d
10,0.6236993625277388,1.603336575408998,1.209758921729596,1.21x base,AAVE,1h
25,0.6723312642852711,1.4873620388054698,1.1222531337987094,1.12x base,AAVE,1h
50,0.7545258682949938,1.3253356074586355,1.0,1.00x base,AAVE,1h
75,0.8791217560488269,1.1374988653385794,0.8582723190541618,0.86x base,AAVE,1h
90,1.0429715234198034,0.9587989485284278,0.723438609158739,0.72x base,AAVE,1h
95,1.2544166391079674,0.7971833032373625,0.6014954240654423,0.60x base,AAVE,1h
99,1.8358011371021972,0.544721309835604,0.4110063192824954,0.41x base,AAVE,1h
10,1.9843366181900095,0.5039467552194541,1.1350149726734107,1.14x base,BTC,1d
25,2.085166000156152,0.47957812467933625,1.080130681346769,1.08x base,BTC,1d
50,2.2522517724697817,0.44400009458241724,0.9999999999999999,1.00x base,BTC,1d
75,2.5086200041954516,0.3986255384743747,0.8978050755806316,0.90x base,BTC,1d
90,2.8606891737502727,0.3495661147586446,0.7873109015605324,0.79x base,BTC,1d
95,3.129173582668941,0.31957319515240123,0.7197592952158272,0.72x base,BTC,1d
99,4.2163065029560665,0.23717440828813008,0.5341764814514126,0.53x base,BTC,1d
10,0.2940499374122274,3.400782903749114,1.299179577595447,1.30x base,BTC,1h
25,0.3325383538662278,3.00717191979087,1.148810863581962,1.15x base,BTC,1h
50,0.38202367347918526,2.6176388256066687,1.0,1.00x base,BTC,1h
75,0.46086796713357675,2.169818844689118,0.8289221658324986,0.83x base,BTC,1h
90,0.5961124796867711,1.677535757220605,0.6408583723661022,0.64x base,BTC,1h
95,0.7496253820031232,1.3339996537041399,0.5096194481280165,0.51x base,BTC,1h
