correlation,rmse,mae,direction_accuracy,n_observations,coin,tf,model
0.161105124899484,3.5147534068887176,2.832495439264526,0.3244206773618538,562,AAVE,1d,GARCH
0.1681285689321634,3.473703148898615,2.8014954571224004,0.29411764705882354,562,AAVE,1d,EGARCH
0.35223051312526105,0.6030074989962595,0.47818727610029244,0.3056,2501,AAVE,1h,GARCH
0.34908555378390166,0.6038949099730498,0.4792138899357026,0.2896,2501,AAVE,1h,EGARCH
0.21377894719636012,1.7400271647877286,1.432021736311664,0.29952456418383516,632,BTC,1d,GARCH
0.21124990152770043,1.7446094052944767,1.4422279996349898,0.27099841521394613,632,BTC,1d,EGARCH
0.3198997467867985,0.34492068478255317,0.2676590832951417,0.3184,2501,BTC,1h,GARCH
0.33162065285012243,0.33881211756984864,0.2621016011913036,0.292,2501,BTC,1h,EGARCH
0.13200003390979573,3.954376784789297,3.142836324749117,0.32432432432432434,593,CRV,1d,GARCH
0.13836904653740711,3.9265320640457806,3.1294244508593327,0.2702702702702703,593,CRV,1d,EGARCH
0.326006020434242,0.6517488826890241,0.5119921403056853,0.338,2501,CRV,1h,GARCH
0.3308654241152482,0.645991535902972,0.5051307334526574,0.3004,2501,CRV,1h,EGARCH
0.1552905371535791,3.3775590232449932,2.680800085156305,0.30505709624796085,614,DOGE,1d,GARCH
0.16243418173677893,3.3617111817292264,2.6978036784097785,0.29853181076672103,614,DOGE,1d,EGARCH
0.30707223230609176,0.481186343070622,0.38500980888893804,0.3196,2501,DOGE,1h,GARCH
0.314872724024291,0.47898927562417365,0.3831363013551887,0.2868,2501,DOGE,1h,EGARCH
0.040851466967464535,2.8814890270264826,2.3248548253197767,0.33438985736925514,632,ETH,1d,GARCH
0.05149231321696288,2.8802709696698545,2.3480550623378122,0.2979397781299525,632,ETH,1d,EGARCH
0.2782343884984572,0.47100492302884434,0.3716756940672477,0.3288,2501,ETH,1h,GARCH
0.2890385493539733,0.4659600772789596,0.36612304690492076,0.2988,2501,ETH,1h,EGARCH
0.1617353158373902,3.5059242682513485,2.8658637988970135,0.25732899022801303,308,HYPE,1d,GARCH
-0.008635092468325917,7.639807603781726e+152,4.353184392838454e+151,0.4169381107491857,308,HYPE,1d,EGARCH
0.3756754336543576,0.6866220750633605,0.5360280725535005,0.3037214885954382,2500,HYPE,1h,GARCH
0.37518689140024075,0.683410658609669,0.5328612996858848,0.27651060424169666,2500,HYPE,1h,EGARCH
0.16034216164036424,4.680944883631495,3.9221273754211694,0.31896551724137934,117,LIT,1d,GARCH
-0.031563002307678126,11.799475703543608,7.705846755463306,0.3017241379310345,117,LIT,1d,EGARCH
0.3595258232744768,1.0962493242450162,0.8645871510512452,0.3112,2501,LIT,1h,GARCH
0.36287617799874294,1.0966868666646004,0.8670160386994066,0.2776,2501,LIT,1h,EGARCH
0.06381184966945554,3.8077178832103793,3.1128398995069086,0.3165829145728643,200,PUMP,1d,GARCH
-0.0,inf,1.3407807929942437e+152,0.5025125628140703,200,PUMP,1d,EGARCH
0.2778773289257804,0.900225590869825,0.704541362532023,0.3308,2501,PUMP,1h,GARCH
0.282797496164618,0.8895783586377779,0.6946932314879184,0.286,2501,PUMP,1h,EGARCH
0.2123425822690908,3.061464841001294,2.458471347744648,0.30095541401273884,629,SOL,1d,GARCH
0.2089035271853888,3.0453354384798583,2.4426370719431305,0.2659235668789809,629,SOL,1d,EGARCH
0.3317138084433689,0.4858304831454806,0.38391740537729296,0.32,2501,SOL,1h,GARCH
0.33676969177787913,0.4828988528822296,0.38180542144838087,0.286,2501,SOL,1h,EGARCH
0.2705318932711376,3.1058060853215617,2.3399324171334186,0.2980769230769231,105,XMR,1d,GARCH
-0.06447917034600587,109.89318482280055,32.10114890859457,0.33653846153846156,105,XMR,1d,EGARCH
0.45177082266783186,0.6274228265391573,0.4607234318330153,0.3264,2501,XMR,1h,GARCH
0.4506115745455221,0.6232049514193895,0.45996600023795065,0.2892,2501,XMR,1h,EGARCH
0.1758642921805938,3.267219327092264,2.49056206880548,0.3385416666666667,577,XRP,1d,GARCH
0.1853190203003027,3.3976179643920568,2.6326373380146766,0.2951388888888889,577,XRP,1d,EGARCH
0.3262974156139931,0.41832578174378654,0.3235549759843499,0.3208,2501,XRP,1h,GARCH
0.3314025036809194,0.4176583722443753,0.32426877364571877,0.2912,2501,XRP,1h,EGARCH
-0.07056211935447051,5.263380508753111,4.234340329183796,0.39490445859872614,158,ZEC,1d,GARCH
0.023305200289606746,1.1051769340734635e+47,8.792315602051443e+45,0.5286624203821656,158,ZEC,1d,EGARCH
0.46330101672854324,1.0113010284938697,0.7456530913817045,0.3208,2501,ZEC,1h,GARCH
0.4326882593042678,1.0155521382959662,0.7374171718770717,0.3044,2501,ZEC,1h,EGARCH
