tf,quarter,qidx,weekday_mon_med,weekday_wed_med,weekday_thu_med,weekday_sun_med,weekday_effect_med,weekday_n_down,weekday_n_up,weekday_coins_same_sign,weekday_coins_total,crash_ev_n,crash_ev_n5,crash_next5_mean,crash_next5_median,base_next5_mean,base_next5_median,crash_ev_mean_mag
1d,2023Q1,1,-0.3802755885571363,-2.0447745693101878,-0.3248407465734306,2.25172206772403,2.8538,28.0,26.0,3.0,3.0,,,,,,,
1d,2023Q2,2,-0.6140206862584141,-1.479902175957861,-0.32253110121334383,-0.0772412017443629,0.805,120.0,120.0,6.0,6.0,,,,,,,
1d,2023Q3,3,-0.1411698700581739,-0.3683824840070454,-0.41250468755326763,-0.46438429595301256,-0.2501,177.0,177.0,2.0,7.0,,,,,,,
1d,2023Q3,3,,,,,,,,,,2.0,2.0,0.347,0.347,-0.164,-0.494,-10.66
1d,2023Q4,4,0.04280821917808219,1.342841721323538,0.06768988587171058,0.17139026049254596,-0.2944,182.0,189.0,1.0,7.0,,,,,,,
1d,2024Q1,5,2.671333008461424,1.113397595581068,0.47681487662414224,-0.2047305832643559,-2.1286,182.0,182.0,0.0,7.0,,,,,,,
1d,2024Q1,5,,,,,,,,,,5.0,5.0,7.341,8.59,2.247,1.555,-11.082
1d,2024Q2,6,-0.007250580046397118,-0.5723905723905622,-0.18462610311194383,-0.04773784224953032,0.0931,182.0,182.0,5.0,7.0,,,,,,,
1d,2024Q2,6,,,,,,,,,,4.0,4.0,-1.987,-3.992,-1.419,-1.301,-18.171
1d,2024Q3,7,0.2443844583842542,-0.7502867337836103,-0.732772061116308,-1.6454749439042688,-1.1702,189.0,182.0,1.0,7.0,,,,,,,
1d,2024Q3,7,,,,,,,,,,1.0,1.0,7.986,7.986,0.693,0.493,-10.046
1d,2024Q4,8,0.5064885977069399,-0.034840316038653785,-1.1920363248436558,0.11599989209311627,-0.4673,189.0,189.0,3.0,8.0,,,,,,,
1d,2024Q4,8,,,,,,,,,,1.0,1.0,8.441,8.441,6.302,2.205,-14.901
1d,2025Q1,9,0.6649324484607586,1.5434840636470435,-1.441968863425384,-1.939088425195131,-2.7148,208.0,208.0,0.0,8.0,,,,,,,
1d,2025Q1,9,,,,,,,,,,11.0,11.0,-2.479,-2.579,-2.529,-2.518,-16.048
1d,2025Q2,10,0.5598172107057877,-0.7031434674877578,-0.4990365030881776,-0.5805171528882511,-0.5986,208.0,208.0,1.0,8.0,,,,,,,
1d,2025Q2,10,,,,,,,,,,2.0,2.0,2.457,2.457,2.248,0.499,-14.027
1d,2025Q3,11,-1.5360534397884993,2.4146349620414123,-0.37702186390183967,1.134660627384175,0.2818,231.0,231.0,4.0,9.0,,,,,,,
1d,2025Q4,12,-0.41706225417061327,-0.5552885898873385,-2.420424311319792,0.37298696739656095,-0.1787,272.0,261.0,2.0,11.0,,,,,,,
1d,2025Q4,12,,,,,,,,,,8.0,8.0,2.862,2.631,-1.434,-1.843,-18.711
1d,2026Q1,13,1.6876876219593258,-0.0395151572045375,-1.9034090909090966,-1.6153974293637052,-2.5812,296.0,307.0,0.0,12.0,,,,,,,
1d,2026Q1,13,,,,,,,,,,9.0,9.0,7.014,8.332,-2.128,-2.234,-17.312
1d,2026Q2,14,0.7661483894831917,-0.6725502821839515,0.03451310815185202,-0.13859177201810038,-0.1415,312.0,312.0,7.0,12.0,,,,,,,
1d,2026Q2,14,,,,,,,,,,3.0,3.0,1.381,2.433,1.068,-0.208,-17.944
1d,2026Q3,15,-0.8219783362158811,-0.5319830572160856,0.34038723481652855,0.7706996692375834,1.1209,156.0,156.0,12.0,12.0,,,,,,,
1h,2026Q1,13,0.03183910496037218,-0.04145083546374248,-0.07419268947346949,-0.07220005426877545,-0.0738,6048.0,6048.0,0.0,12.0,,,,,,,
1h,2026Q2,14,0.005836950374420408,-0.008200709081210088,0.0,0.0,0.0,7488.0,7488.0,6.0,12.0,,,,,,,
1h,2026Q3,15,-0.06570252869093621,-0.013470238392944664,-0.006896253600708521,0.03266254365666763,0.047,3744.0,3720.0,10.0,12.0,,,,,,,
