tf,quarter,sigma_med,sigma_iqr,kurt_med,p999_med,ev3_sum,n_sum,qidx
1d,2023Q1,3.5784,0.7992499999999998,3.378,9.702,3,93,1
1d,2023Q2,2.6188000000000002,1.327025,4.390499999999999,6.115,0,420,2
1d,2023Q3,2.8089,1.4934000000000003,9.478,10.118,4,627,3
1d,2023Q4,3.2793,1.52055,4.426,11.825,5,644,4
1d,2024Q1,4.5248,1.3853,5.02,17.984,18,637,5
1d,2024Q2,4.3562,1.4981,6.314,11.264,8,637,6
1d,2024Q3,4.2352,0.9343499999999998,5.434,13.625,5,644,7
1d,2024Q4,6.26385,3.0496499999999997,5.0355,24.478,27,670,8
1d,2025Q1,5.80535,1.29005,4.6215,14.6375,19,720,9
1d,2025Q2,4.74155,1.3953999999999995,5.5725,18.22,15,728,10
1d,2025Q3,4.0549,1.0196999999999998,3.858,13.878,6,818,11
1d,2025Q4,4.9567,3.0140999999999996,4.584,10.975,12,927,12
1d,2026Q1,4.44725,1.4829249999999998,5.677,13.783999999999999,15,1065,13
1d,2026Q2,4.23675,2.3095750000000006,4.271000000000001,13.167000000000002,8,1092,14
1d,2026Q3,2.79885,1.56575,3.6005000000000003,6.8335,0,528,15
1h,2026Q1,0.88405,0.38865000000000005,7.994999999999999,4.5075,512,21158,13
1h,2026Q2,0.89465,0.39587499999999987,10.7085,3.9215,470,26208,14
1h,2026Q3,0.60285,0.3511249999999999,6.8795,2.513,67,12648,15
1w,2023Q1,6.2873,1.3959000000000001,2.647,11.23,0,14,1
1w,2023Q2,6.971,4.3953500000000005,2.957,16.7285,1,61,2
1w,2023Q3,9.6594,5.464099999999998,3.516,16.841,1,89,3
1w,2023Q4,8.4615,3.535000000000001,2.793,17.826,4,91,4
1w,2024Q1,10.785,3.172550000000001,2.595,22.13,1,91,5
1w,2024Q2,10.9308,3.6412000000000004,4.07,11.948,1,91,6
1w,2024Q3,10.1021,5.203199999999999,4.867,14.511,2,91,7
1w,2024Q4,18.0489,17.113825,3.441,39.041,5,94,8
1w,2025Q1,11.7188,3.0650000000000013,2.574,15.011500000000002,0,104,9
1w,2025Q2,9.712,4.4693000000000005,3.6420000000000003,20.9565,1,104,10
1w,2025Q3,10.9638,4.0579,3.014,25.962,2,115,11
1w,2025Q4,8.1633,,2.801,6.485,0,130,12
1w,2026Q1,10.6499,3.8131000000000004,3.6725,16.969,2,153,13
1w,2026Q2,7.94985,6.9224499999999995,2.5815,11.2065,2,156,14
1w,2026Q3,4.9081,5.280075,2.4505,8.422,0,84,15
5m,2026Q3,0.16695,0.09435000000000002,9.2135,0.73,923,60277,15
