coin,tf,quarter,qidx,n,sigma_ret,median_range,kurtosis,p99,p99_9,min,max,ev3_count,ev3_rate
AAVE,1d,2023Q3,3,75,2.8089,4.0278,4.242,6.507,8.028,-8.135,8.197,0,0.0
AAVE,1d,2023Q4,4,92,4.1983,6.3478,4.482,13.098,13.287,-6.888,13.308,0,0.0
AAVE,1d,2024Q1,5,91,4.5248,6.6238,7.1,11.666,19.884,-11.355,20.798,1,10.99
AAVE,1d,2024Q2,6,91,4.5516,6.1374,6.461,7.902,14.332,-17.417,15.046,3,32.97
AAVE,1d,2024Q3,7,92,4.9779,6.9161,2.792,11.858,13.625,-11.928,13.822,0,0.0
AAVE,1d,2024Q4,8,92,6.6163,8.3306,6.303,21.92,27.47,-9.412,28.086,4,43.48
AAVE,1d,2025Q1,9,90,5.7753,8.9428,4.05,14.31,14.579,-19.147,14.609,3,33.33
AAVE,1d,2025Q2,10,91,5.2291,7.509,5.429,14.841,19.689,-15.539,20.228,2,21.98
AAVE,1d,2025Q3,11,92,4.0549,5.696,4.361,10.471,14.843,-8.692,15.328,1,10.87
AAVE,1d,2025Q4,12,92,4.9567,7.627,3.909,7.842,10.587,-17.539,10.892,1,10.87
AAVE,1d,2026Q1,13,90,4.4521,6.3068,5.846,11.243,12.698,-18.38,12.859,1,11.11
AAVE,1d,2026Q2,14,91,4.4327,6.0369,6.402,15.081,15.417,-12.636,15.454,2,21.98
AAVE,1d,2026Q3,15,44,3.2978,4.5775,4.022,8.722,10.199,-5.871,10.363,0,0.0
BTC,1d,2023Q1,1,33,3.5784,4.3057,4.175,9.661,9.702,-6.199,9.707,3,90.91
BTC,1d,2023Q2,2,91,2.1431,3.0061,4.035,5.928,6.086,-5.217,6.103,0,0.0
BTC,1d,2023Q3,3,92,1.597,1.9248,9.796,3.782,5.918,-7.296,6.156,1,10.87
BTC,1d,2023Q4,4,92,2.292,2.8358,6.668,6.862,10.0,-5.76,10.348,1,10.87
BTC,1d,2024Q1,5,91,3.164,3.8359,4.489,9.484,9.525,-8.315,9.529,5,54.95
BTC,1d,2024Q2,6,91,2.4919,3.6351,4.279,7.446,7.753,-6.138,7.788,2,21.98
BTC,1d,2024Q3,7,92,2.828,3.9795,5.774,6.981,11.373,-7.224,11.861,1,10.87
BTC,1d,2024Q4,8,92,2.5764,3.7107,5.561,9.097,10.214,-5.542,10.338,2,21.74
BTC,1d,2025Q1,9,90,2.6761,3.7106,4.913,5.965,9.133,-8.519,9.485,2,22.22
BTC,1d,2025Q2,10,91,2.212,2.5855,5.716,6.931,8.174,-6.14,8.312,1,10.99
BTC,1d,2025Q3,11,92,1.5493,2.1296,3.858,4.046,4.315,-4.141,4.345,0,0.0
BTC,1d,2025Q4,12,92,2.1792,3.5565,3.904,4.144,5.656,-7.28,5.824,1,10.87
BTC,1d,2026Q1,13,90,3.0777,3.75,9.174,6.981,11.605,-14.017,12.119,2,22.22
BTC,1d,2026Q2,14,91,1.9293,2.9291,4.065,4.576,5.144,-6.552,5.208,0,0.0
BTC,1d,2026Q3,15,44,1.4236,2.2611,3.68,3.571,4.211,-2.931,4.282,0,0.0
CRV,1d,2023Q2,2,46,4.2465,4.7509,4.406,7.318,7.33,-12.308,7.331,0,0.0
CRV,1d,2023Q3,3,92,3.6564,4.5227,6.208,8.712,10.118,-14.621,10.274,0,0.0
CRV,1d,2023Q4,4,92,4.1263,5.9565,3.506,9.746,11.825,-10.252,12.056,0,0.0
CRV,1d,2024Q1,5,91,4.9916,6.5781,5.36,15.846,18.869,-12.908,19.205,1,10.99
CRV,1d,2024Q2,6,91,5.117,6.1636,6.314,10.571,10.757,-20.46,10.777,2,21.98
CRV,1d,2024Q3,7,92,5.8189,7.4574,5.434,13.929,22.736,-14.629,23.714,1,10.87
CRV,1d,2024Q4,8,92,7.5157,10.4203,4.51,24.537,25.764,-13.47,25.9,7,76.09
CRV,1d,2025Q1,9,90,6.6191,10.5479,3.519,12.541,14.696,-19.433,14.935,2,22.22
CRV,1d,2025Q2,10,91,5.5038,9.475,4.091,15.156,16.751,-14.918,16.928,1,10.99
CRV,1d,2025Q3,11,92,5.403,8.0043,5.001,10.263,20.666,-14.351,21.822,1,10.87
CRV,1d,2025Q4,12,92,5.987,7.8357,11.185,15.478,15.873,-32.032,15.917,2,21.74
CRV,1d,2026Q1,13,90,4.3367,6.4943,5.57,11.97,12.962,-16.193,13.073,1,11.11
CRV,1d,2026Q2,14,91,4.0408,5.8153,10.537,9.277,20.028,-7.837,21.222,1,10.99
CRV,1d,2026Q3,15,44,3.3724,5.3613,5.435,11.094,11.285,-4.885,11.306,0,0.0
DOGE,1d,2023Q2,2,88,2.8634,3.8438,5.361,4.944,5.775,-11.086,5.868,0,0.0
DOGE,1d,2023Q3,3,92,2.6251,3.1275,7.105,8.428,10.169,-9.249,10.363,0,0.0
DOGE,1d,2023Q4,4,92,3.2793,4.9031,3.681,8.68,9.303,-7.703,9.372,0,0.0
DOGE,1d,2024Q1,5,91,6.263,6.7627,4.806,18.667,18.944,-15.876,18.975,6,65.93
DOGE,1d,2024Q2,6,91,4.4837,7.1366,3.471,10.75,11.264,-12.346,11.321,0,0.0
DOGE,1d,2024Q3,7,92,4.2352,5.9003,3.542,9.151,12.143,-11.451,12.476,0,0.0
DOGE,1d,2024Q4,8,92,6.1668,8.5604,8.247,26.522,26.999,-12.261,27.052,3,32.61
DOGE,1d,2025Q1,9,90,5.351,7.0772,4.33,12.572,15.432,-16.755,15.749,2,22.22
DOGE,1d,2025Q2,10,91,5.0204,5.8718,7.508,16.028,21.563,-11.699,22.178,2,21.98
DOGE,1d,2025Q3,11,92,4.6635,7.1686,3.108,12.236,13.409,-11.181,13.539,1,10.87
DOGE,1d,2025Q4,12,92,4.5312,6.1118,8.291,10.779,11.672,-22.315,11.771,1,10.87
DOGE,1d,2026Q1,13,90,4.4424,5.5759,5.784,12.187,14.606,-14.803,14.875,2,22.22
DOGE,1d,2026Q2,14,91,2.4496,4.0147,4.477,4.903,5.303,-8.303,5.348,0,0.0
DOGE,1d,2026Q3,15,44,1.9913,3.263,3.521,4.114,4.552,-5.183,4.601,0,0.0
ETH,1d,2023Q1,1,33,3.2949,4.727,2.799,7.239,7.337,-6.214,7.348,0,0.0
ETH,1d,2023Q2,2,91,2.3742,3.4809,4.375,5.504,6.144,-8.036,6.215,0,0.0
ETH,1d,2023Q3,3,92,1.6675,2.2567,9.506,4.86,6.915,-6.851,7.144,0,0.0
ETH,1d,2023Q4,4,92,2.6372,3.3197,7.294,7.292,11.834,-5.378,12.339,1,10.87
ETH,1d,2024Q1,5,91,3.2644,4.3361,5.02,10.222,11.148,-10.251,11.251,3,32.97
ETH,1d,2024Q2,6,91,3.3476,4.0542,14.8,8.227,18.239,-7.609,19.352,1,10.99
