signal,effect,tf,target,bucket_A,bucket_B,pooled_effect,effect_h1,effect_h2,n_coins_valid,replication_rate,split_half_consistent,per_coin_effects
move_vol,up_hi_vol_minus_lo,1d,ret_next1_mean,up|>99,up|<50,-0.10805911522810119,-0.4575285551748493,0.4629987386207215,1,0.0,False,{'ETH': 0.6753611605795826}
move_vol,up_hi_vol_minus_lo,1d,ret_next5_mean,up|>99,up|<50,-0.20995678678276275,,,1,1.0,,{'ETH': -1.226454855926356}
move_vol,up_hi_vol_minus_lo,1h,ret_next1_mean,up|>99,up|<50,-0.0023696580972699,-0.0238021547613793,0.0231693897639847,12,0.4166666666666667,False,"{'AAVE': 0.07198199495704549, 'BTC': 0.0163648526953436, 'CRV': 0.0161263539245312, 'DOGE': -0.0394646479480225, 'ETH': 0.015210425329817999, 'HYPE': -0.0204825424104624, 'LIT': -0.029492477790308697, 'PUMP': 0.0782458714693121, 'SOL': -0.004840021806879001, 'XMR': 0.019749812007900505, 'XRP': 0.009301731340684953, 'ZEC': -0.1539900921171424}"
move_vol,up_hi_vol_minus_lo,1h,ret_next5_mean,up|>99,up|<50,-0.1467283794569666,,,12,0.8333333333333334,,"{'AAVE': -0.2906866648047969, 'BTC': -0.021835689663838406, 'CRV': -0.12391081566367489, 'DOGE': -0.189780758246556, 'ETH': 0.168931146020289, 'HYPE': -0.2983826226935173, 'LIT': -0.3256718275129828, 'PUMP': -0.3240263310331022, 'SOL': -0.0061394676130165984, 'XMR': 0.15219305555966378, 'XRP': -0.023112716998468404, 'ZEC': -0.5313888470744715}"
move_vol,dn_hi_vol_minus_lo,1d,ret_next1_mean,down|>99,down|<50,0.1316970284233646,0.09209984770803042,-0.2512228645258018,3,0.3333333333333333,False,"{'CRV': -0.4321727243349392, 'DOGE': -0.9520118784460864, 'SOL': 0.9423716666271561}"
move_vol,dn_hi_vol_minus_lo,1d,ret_next5_mean,down|>99,down|<50,0.7772453129602199,,,3,0.3333333333333333,,"{'CRV': -2.4403683094543, 'DOGE': -0.09085594595706753, 'SOL': 2.5013199828180372}"
move_vol,dn_hi_vol_minus_lo,1h,ret_next1_mean,down|>99,down|<50,-0.040803816046159,-0.026232362759694206,-0.0500899815240024,12,0.5833333333333334,True,"{'AAVE': 0.0730597260430306, 'BTC': 0.0204789817410896, 'CRV': -0.1642884178963103, 'DOGE': 0.019467266505184502, 'ETH': -0.011282880332592098, 'HYPE': -0.0572804256238081, 'LIT': -0.1588834819523287, 'PUMP': -0.13092004300905669, 'SOL': -0.0135149266879514, 'XMR': 0.0691180497764594, 'XRP': 0.003306631148171601, 'ZEC': -0.1373511605189398}"
move_vol,dn_hi_vol_minus_lo,1h,ret_next5_mean,down|>99,down|<50,-0.06385367548052981,,,12,0.4166666666666667,,"{'AAVE': -0.07149705348320119, 'BTC': 0.0958295548509544, 'CRV': -0.5452891495422497, 'DOGE': 0.1734425604664271, 'ETH': 0.1674242800854268, 'HYPE': -0.2659322136628967, 'LIT': -0.3376826697592366, 'PUMP': 0.0377883171903185, 'SOL': 0.0169265883640239, 'XMR': 0.0330427441219362, 'XRP': 0.03886498831507859, 'ZEC': -0.16337246445697}"
obv,bear_div_minus_up_conf,1d,ret_next1_mean,obv_dn/price_up(bear_div),obv_up/price_up,-0.3408953284264443,-0.552077265570301,-0.09804870952721201,10,0.6,True,"{'AAVE': -0.2032774526331649, 'BTC': 0.12571060633316322, 'CRV': -1.1336570929739311, 'DOGE': 0.18569424031731901, 'ETH': -0.4184914032656555, 'HYPE': -0.7171734159811841, 'PUMP': -1.954680582482562, 'SOL': 0.017265432718509, 'XMR': 0.4328022673993077, 'XRP': -0.2575654343709924}"
obv,bear_div_minus_up_conf,1d,ret_next5_mean,obv_dn/price_up(bear_div),obv_up/price_up,-1.1098009471004464,,,10,0.8,,"{'AAVE': 0.7714311282660586, 'BTC': -0.12670311441959015, 'CRV': -4.8939714529341, 'DOGE': -0.7731602347649679, 'ETH': -1.1882425984711351, 'HYPE': -1.47231215780527, 'PUMP': -7.131350912606922, 'SOL': -0.362745126662267, 'XMR': 1.1720196559230536, 'XRP': -1.1952276854143862}"
obv,bear_div_minus_up_conf,1h,ret_next1_mean,obv_dn/price_up(bear_div),obv_up/price_up,0.008662266815842999,-0.0049427611904292006,0.0216496855906066,12,0.5833333333333334,False,"{'AAVE': 0.0070611778834547, 'BTC': 0.0009563157165480996, 'CRV': 0.004675937352228101, 'DOGE': -0.0286603303855468, 'ETH': -0.0037643178765506004, 'HYPE': -0.009072945244378, 'LIT': 0.042675158862615796, 'PUMP': 0.0498584372266554, 'SOL': -0.0134241635516245, 'XMR': 0.0740589132190822, 'XRP': -0.050774728291279395, 'ZEC': 0.048731282094656304}"
obv,bear_div_minus_up_conf,1h,ret_next5_mean,obv_dn/price_up(bear_div),obv_up/price_up,0.042436282446014995,,,12,0.8333333333333334,,"{'AAVE': 0.1027392931083374, 'BTC': 0.0378080816402855, 'CRV': 0.025485893883616294, 'DOGE': 0.044819720307854596, 'ETH': 0.028065728238329698, 'HYPE': -0.007463065805709587, 'LIT': 0.1213696060921502, 'PUMP': 0.0544237269147593, 'SOL': 0.0026246865443460997, 'XMR': 0.30682918814228827, 'XRP': -0.1519278875486197, 'ZEC': 0.01202170418493509}"
obv,bull_div_minus_dn_conf,1d,ret_next1_mean,obv_up/price_dn(bull_div),obv_dn/price_dn,-0.1725576287593398,-0.3201220683282431,-0.046989246597891304,10,0.6,True,"{'AAVE': -1.0681659479225771, 'BTC': -0.023514722056646897, 'CRV': -0.312206303996473, 'DOGE': 0.44616319601960697, 'ETH': -0.6028461650646337, 'HYPE': -0.4688914879481395, 'LIT': 0.08881255201718574, 'PUMP': 0.2019921844682063, 'SOL': 0.0721510178323204, 'XRP': -0.480586855687051}"
obv,bull_div_minus_dn_conf,1d,ret_next5_mean,obv_up/price_dn(bull_div),obv_dn/price_dn,-0.24966535049736727,,,10,0.7,,"{'AAVE': -1.5110172467352643, 'BTC': -0.12478386444794665, 'CRV': -1.0684221876101678, 'DOGE': 2.787158650624386, 'ETH': -0.8708472363474575, 'HYPE': -2.0096432515234244, 'LIT': 2.725590907031987, 'PUMP': 1.4860823509172747, 'SOL': -2.2064384298538213, 'XRP': -1.0590874486074988}"
obv,bull_div_minus_dn_conf,1h,ret_next1_mean,obv_up/price_dn(bull_div),obv_dn/price_dn,-0.0146130317892385,0.0004940342022401994,-0.030869716058802302,12,0.6666666666666666,False,"{'AAVE': -0.0723868693640352, 'BTC': 0.012528065980992, 'CRV': 0.044657497209315306, 'DOGE': -0.0136430814186665, 'ETH': -0.00022192431855760052, 'HYPE': -0.0302949202437901, 'LIT': -0.049145163919104194, 'PUMP': -0.0912960214760572, 'SOL': -0.0212369961511832, 'XMR': -0.0445101660818902, 'XRP': 0.0149333476256396, 'ZEC': 0.0659789253285181}"
obv,bull_div_minus_dn_conf,1h,ret_next5_mean,obv_up/price_dn(bull_div),obv_dn/price_dn,-0.0271699332930875,,,12,0.5,,"{'AAVE': 0.12421737352967391, 'BTC': 0.051668673314754096, 'CRV': 0.1701573458065976, 'DOGE': 0.004243086766282898, 'ETH': 0.020454618685394305, 'HYPE': -0.18611239250762168, 'LIT': -0.3537365501979548, 'PUMP': -0.2938308839354568, 'SOL': -0.0689741371828437, 'XMR': -0.1755279527919818, 'XRP': -0.008248776372533503, 'ZEC': 0.3862764066669687}"
vwap_dist,stretched_up_minus_dn,1d,ret_next1_mean,>1,z<-1,0.13392425487745602,0.5066060788997211,-0.312878235934803,12,0.5833333333333334,False,"{'AAVE': -0.29060626195240974, 'BTC': -0.010558066853664783, 'CRV': 0.3145516030667801, 'DOGE': 0.6411914845547039, 'ETH': 0.02813087058697751, 'HYPE': -0.3250776436366272, 'LIT': -1.4367359452939947, 'PUMP': 0.4480470449533655, 'SOL': 0.46324175828304087, 'XMR': -1.2572147814321917, 'XRP': 0.5698820174695429, 'ZEC': 0.3487218132129029}"
