coin,A_n,A_mean_net,A_win,B_n,B_mean_net,B_win,C_n,C_mean_net,C_win,D_n,D_mean_net,D_win,E_n,E_mean_net,E_win
BTC,2,4.626138331952641,50.0,32,-0.3859290825547331,43.75,32,-0.3859290825547331,43.75,2,4.626138331952641,50.0,632,-0.1236347092854252,46.99367088607595
ETH,6,-4.89522330408139,50.0,50,-0.18047756158170827,50.0,50,-0.18047756158170827,50.0,6,-4.89522330408139,50.0,632,-0.1021315443658126,48.575949367088604
HYPE,0,,,19,2.5371375033410226,52.63157894736842,19,2.5371375033410226,52.63157894736842,0,,,308,0.12215090050903424,49.67532467532468
SOL,4,1.5926222998857726,75.0,32,-1.5300578755241512,31.25,33,-1.3848420360377844,33.33333333333333,2,-0.28167679389980993,50.0,629,-0.20047283905128116,46.74085850556439
PUMP,0,,,3,4.75470020496986,66.66666666666666,3,4.75470020496986,66.66666666666666,0,,,199,0.07904314383091145,50.753768844221106
ZEC,0,,,1,-3.3243035002044,0.0,1,-3.3243035002044,0.0,0,,,157,0.6504336062899183,48.40764331210191
XRP,3,4.79436097731949,66.66666666666666,53,0.6535993395648723,47.16981132075472,54,0.9225029475729762,48.148148148148145,2,-0.39565562002201493,50.0,576,-0.1830764663990969,43.57638888888889
LIT,0,,,5,6.888578108127614,80.0,5,6.888578108127614,80.0,0,,,117,0.8747214068781027,54.700854700854705
DOGE,3,0.8408879314925335,66.66666666666666,34,-0.6967210555058018,47.05882352941176,35,-0.5585109137923987,48.57142857142857,1,-3.57789737476139,0.0,614,-0.29727915010561523,42.99674267100978
CRV,4,0.3920396666841476,75.0,37,1.1582129500727172,54.054054054054056,37,0.9858776181528451,54.054054054054056,3,0.22309127671100346,66.66666666666666,593,-0.18430767305942541,44.68802698145025
AAVE,5,4.369444658336744,80.0,41,1.4303129684499036,51.21951219512195,41,1.4303129684499036,51.21951219512195,4,3.403254420262177,75.0,561,-0.18945276857611484,46.16755793226381
XMR,1,8.09413893005319,100.0,1,12.52203691437696,100.0,2,10.308087922215076,100.0,0,,,105,0.035050363873475064,51.42857142857142
